Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,OuterLoop_5,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_1_4,InnerLoop_1_5,InnerLoop_2_1,InnerLoop_3_1,Replicate_Count,Area,Weight,is_pareto
workload_4649.cpp,xcu200-fsgd2104-2-e,3.33,147.62811078,1764,2,3,9,16,block_16_1,cyclic_16_1,block_32_1,block_8_1,complete_1,unroll_5,unroll_8,unroll_2,pipeline_1,unroll_2,pipeline_1,unroll_2,pipeline_1,unroll_64,unroll_16,pipeline_1,unroll_5,1,7.5,0.665822503522,False
workload_4789.cpp,xcu200-fsgd2104-2-e,3.33,70.56399204,174,2,0,5,7,block_16_1,cyclic_32_1,block_32_1,block_8_1,block_4_1,pipeline_1,unroll_8,unroll_2,pipeline_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,1,3.5,0.866305734419,False
workload_4916.cpp,xcu200-fsgd2104-2-e,3.33,52.22247858,1522,3,0,3,9,cyclic_128_1,block_16_1,block_2_1,complete_1,block_4_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_4,pipeline_1,unroll_4,unroll_4,unroll_16,pipeline_1,pipeline_1,pipeline_1,1,3.75,0.853141945558,False
workload_4879.cpp,xcu200-fsgd2104-2-e,3.33,4.70941254,725,3,0,3,13,cyclic_128_1,block_4_1,cyclic_32_1,cyclic_2_1,cyclic_8_1,pipeline_1,pipeline_1,unroll_36,unroll_16,unroll_2,pipeline_1,unroll_4,unroll_4,pipeline_1,unroll_2,unroll_5,pipeline_1,1,4.75,0.800858439469,False
workload_4677.cpp,xcu200-fsgd2104-2-e,3.33,8.4658257,1002,4,0,3,12,cyclic_128_1,block_64_1,block_16_1,cyclic_2_1,block_2_1,pipeline_1,pipeline_1,unroll_2,unroll_16,unroll_4,unroll_5,pipeline_1,pipeline_1,unroll_4,pipeline_1,pipeline_1,pipeline_1,1,4.75,0.800862140197,False
workload_4741.cpp,xcu200-fsgd2104-2-e,3.33,4.34243322,1215,4,0,5,17,cyclic_128_1,block_64_1,cyclic_32_1,cyclic_2_1,block_2_1,pipeline_1,pipeline_1,unroll_36,unroll_16,unroll_4,unroll_5,pipeline_1,pipeline_1,unroll_16,unroll_2,pipeline_1,pipeline_1,1,6.5,0.713636805128,False
workload_4912.cpp,xcu200-fsgd2104-2-e,3.33,75.68203554,773,3,0,3,6,cyclic_128_1,block_8_1,block_128_1,block_2_1,complete_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_4,pipeline_1,unroll_4,unroll_4,unroll_16,unroll_2,pipeline_1,pipeline_1,1,3,0.893164491729,False
workload_4822.cpp,xcu200-fsgd2104-2-e,3.33,2.41239186,1038,3,0,1,8,cyclic_128_1,block_8_1,cyclic_64_1,block_2_1,block_4_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_4,pipeline_1,unroll_4,unroll_4,unroll_16,pipeline_1,pipeline_1,pipeline_1,1,3,0.893859998579,False
workload_4848.cpp,xcu200-fsgd2104-2-e,3.33,145.30766022,403,3,0,2,12,cyclic_128_1,block_8_1,cyclic_64_1,block_2_1,block_4_1,pipeline_1,unroll_4,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_4,unroll_4,unroll_16,pipeline_1,pipeline_1,pipeline_1,1,4.25,0.825436973119,False
workload_4941.cpp,xcu200-fsgd2104-2-e,3.33,3.45247074,1089,3,0,1,8,cyclic_128_1,block_8_1,cyclic_64_1,block_4_1,block_4_1,pipeline_1,pipeline_1,unroll_4,pipeline_1,unroll_4,pipeline_1,unroll_4,unroll_4,unroll_16,unroll_2,pipeline_1,pipeline_1,1,3,0.893862584454,False
