Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,Array_7,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,OuterLoop_5,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_1_4,InnerLoop_1_5,InnerLoop_1_6,InnerLoop_2_1,InnerLoop_2_2,InnerLoop_2_3,InnerLoop_2_4,InnerLoop_2_5,InnerLoop_2_6,InnerLoop_2_7,InnerLoop_3_1,Replicate_Count,Area,Weight,is_pareto
workload_5564.cpp,xcu200-fsgd2104-2-e,3.33,4.95971865,1744,1,1,2,16,cyclic_16_1,cyclic_128_1,block_128_1,block_128_1,cyclic_128_1,block_2_1,cyclic_2_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_4,unroll_4,unroll_4,unroll_2,unroll_2,pipeline_1,unroll_2,unroll_2,pipeline_1,unroll_8,pipeline_1,unroll_4,unroll_5,1,5,0.380934965391,False
workload_5687.cpp,xcu200-fsgd2104-2-e,3.33,4.56543333,1062,1,1,1,14,cyclic_2_1,cyclic_128_1,cyclic_2_1,block_2_1,cyclic_128_1,block_2_1,cyclic_4_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_4,unroll_4,unroll_32,unroll_2,unroll_5,unroll_8,unroll_2,unroll_16,unroll_16,pipeline_1,unroll_4,unroll_5,1,4.25,0.619997027569,False
workload_5646.cpp,xcu200-fsgd2104-2-e,3.33,4.56807069,867.5,1,1,1,12,cyclic_2_1,cyclic_128_1,cyclic_2_1,block_2_1,cyclic_128_1,block_2_1,cyclic_4_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_4,unroll_4,unroll_4,unroll_8,unroll_2,unroll_5,unroll_2,unroll_2,unroll_16,pipeline_1,pipeline_1,unroll_4,unroll_5,2,3.75,0.71768342117,False
workload_5713.cpp,xcu200-fsgd2104-2-e,3.33,4.84978869,931,1,1,2,12,cyclic_2_1,cyclic_2_1,block_128_1,block_2_1,cyclic_128_1,block_2_1,cyclic_4_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_5,pipeline_1,unroll_4,pipeline_1,unroll_8,unroll_2,unroll_5,unroll_16,unroll_2,unroll_36,pipeline_1,pipeline_1,unroll_4,unroll_5,1,4,0.686337323119,False
workload_5677.cpp,xcu200-fsgd2104-2-e,3.33,4.68027837,1550,1,1,2,16,cyclic_2_1,cyclic_2_1,cyclic_16_1,block_128_1,cyclic_128_1,block_2_1,cyclic_4_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_4,unroll_4,unroll_2,unroll_2,unroll_5,unroll_8,unroll_2,unroll_16,pipeline_1,pipeline_1,unroll_4,unroll_5,1,5,0.38253689822,False
workload_5603.cpp,xcu200-fsgd2104-2-e,3.33,4.68051813,1273,1,1,2,13,cyclic_2_1,cyclic_2_1,cyclic_2_1,block_128_1,cyclic_128_1,block_2_1,complete_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_4,unroll_4,unroll_2,unroll_2,unroll_5,unroll_4,unroll_2,unroll_16,unroll_16,pipeline_1,unroll_4,unroll_5,1,4.25,0.617902258065,False
workload_5656.cpp,xcu200-fsgd2104-2-e,3.33,4.68051813,1305,1,1,2,14,cyclic_2_1,cyclic_2_1,cyclic_2_1,block_128_1,cyclic_128_1,block_2_1,cyclic_2_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_4,unroll_4,unroll_32,unroll_2,unroll_5,unroll_8,unroll_2,unroll_16,unroll_16,pipeline_1,unroll_4,unroll_5,1,4.5,0.533032223584,False
workload_5704.cpp,xcu200-fsgd2104-2-e,3.33,4.68315549,1241,1,1,1,12,cyclic_2_1,cyclic_2_1,cyclic_2_1,block_128_1,cyclic_128_1,block_2_1,cyclic_2_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_4,unroll_4,unroll_4,unroll_8,unroll_2,unroll_5,unroll_2,unroll_2,unroll_16,pipeline_1,pipeline_1,unroll_4,unroll_5,1,3.75,0.715519216672,False
workload_5555.cpp,xcu200-fsgd2104-2-e,3.33,5.67072693,1545,1,1,2,15,cyclic_2_1,cyclic_2_1,cyclic_2_1,block_128_1,cyclic_128_1,block_2_1,cyclic_4_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,unroll_2,unroll_5,pipeline_1,unroll_2,unroll_4,unroll_2,unroll_2,unroll_5,pipeline_1,unroll_36,unroll_16,unroll_16,pipeline_1,unroll_4,unroll_5,1,4.75,0.442969376983,False
workload_5592.cpp,xcu200-fsgd2104-2-e,3.33,5.66976789,1273,1,1,2,13,cyclic_2_1,cyclic_2_1,cyclic_2_1,block_128_1,cyclic_128_1,block_2_1,cyclic_4_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,unroll_2,unroll_5,pipeline_1,unroll_8,unroll_4,unroll_2,unroll_2,unroll_5,unroll_2,unroll_2,unroll_16,unroll_16,pipeline_1,unroll_4,unroll_5,2,4.25,0.591007781659,False
workload_5605.cpp,xcu200-fsgd2104-2-e,3.33,4.56543333,630,1,1,1,9,cyclic_2_1,cyclic_2_1,cyclic_2_1,block_2_1,cyclic_128_1,block_2_1,cyclic_4_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_5,pipeline_1,unroll_4,unroll_4,unroll_8,unroll_2,unroll_5,unroll_2,unroll_2,unroll_16,pipeline_1,pipeline_1,unroll_4,unroll_5,1,3,0.87517306453,False
workload_5745.cpp,xcu200-fsgd2104-2-e,3.33,4.44823731,640,1,1,1,8,cyclic_2_1,cyclic_2_1,cyclic_2_1,block_2_1,cyclic_128_1,block_2_1,cyclic_4_1,pipeline_1,pipeline_1,unroll_8,pipeline_1,unroll_2,unroll_5,pipeline_1,unroll_4,pipeline_1,unroll_2,unroll_2,pipeline_1,unroll_8,unroll_2,unroll_16,pipeline_1,pipeline_1,unroll_4,unroll_5,1,2.75,0.965569629789,False
workload_5645.cpp,xcu200-fsgd2104-2-e,3.33,5.66976789,768,1,1,2,11,cyclic_2_1,cyclic_2_1,cyclic_2_1,block_64_1,cyclic_128_1,block_2_1,cyclic_2_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,unroll_2,unroll_5,pipeline_1,unroll_8,unroll_4,unroll_2,unroll_2,pipeline_1,unroll_2,unroll_2,unroll_16,unroll_8,pipeline_1,unroll_4,unroll_5,1,3.75,0.685232741746,False
workload_5680.cpp,xcu200-fsgd2104-2-e,3.33,4.56519357,613,1,1,1,9,cyclic_2_1,cyclic_2_1,cyclic_4_1,block_2_1,cyclic_128_1,block_2_1,cyclic_4_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_5,pipeline_1,unroll_4,unroll_4,unroll_8,unroll_2,unroll_5,unroll_2,unroll_2,unroll_16,pipeline_1,pipeline_1,unroll_4,unroll_5,1,3,0.875180093682,False
workload_5714.cpp,xcu200-fsgd2104-2-e,3.33,4.17750165,1197,2,1,1,9,cyclic_2_1,cyclic_2_1,cyclic_4_1,cyclic_16_1,cyclic_128_1,block_2_1,cyclic_4_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_4,unroll_4,unroll_2,unroll_2,unroll_5,unroll_4,unroll_2,unroll_36,unroll_16,pipeline_1,unroll_4,unroll_5,1,3.25,0.826878750614,False
workload_5746.cpp,xcu200-fsgd2104-2-e,3.33,4.17750165,1196,2,1,1,9,cyclic_2_1,cyclic_2_1,cyclic_4_1,cyclic_16_1,cyclic_128_1,block_2_1,cyclic_4_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_5,pipeline_1,unroll_4,unroll_4,unroll_2,unroll_2,unroll_5,unroll_4,unroll_2,unroll_36,unroll_16,pipeline_1,unroll_4,unroll_5,1,3.25,0.826878750614,False
workload_5440.cpp,xcu200-fsgd2104-2-e,3.33,6.78393261,1206,2,1,2,14,cyclic_2_1,cyclic_32_1,block_128_1,block_32_1,cyclic_128_1,block_2_1,complete_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,unroll_2,unroll_5,pipeline_1,unroll_2,unroll_4,unroll_8,unroll_2,unroll_5,pipeline_1,unroll_36,unroll_16,unroll_16,pipeline_1,unroll_4,unroll_5,1,4.75,0.421889788766,False
workload_5591.cpp,xcu200-fsgd2104-2-e,3.33,5.41070721,1474,1,1,2,13,cyclic_2_1,cyclic_32_1,cyclic_2_1,block_128_1,cyclic_128_1,block_2_1,complete_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_8,unroll_2,unroll_5,unroll_4,unroll_36,unroll_16,unroll_16,unroll_2,unroll_4,unroll_5,1,4.25,0.599232555365,False
workload_5486.cpp,xcu200-fsgd2104-2-e,3.33,5.15979837,1541,1,1,2,14,cyclic_2_1,cyclic_32_1,cyclic_2_1,block_128_1,cyclic_128_1,block_2_1,complete_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_5,pipeline_1,unroll_2,unroll_4,unroll_8,unroll_2,unroll_5,pipeline_1,unroll_36,unroll_16,unroll_16,unroll_2,unroll_4,unroll_5,1,4.5,0.526492759873,False
workload_5400.cpp,xcu200-fsgd2104-2-e,3.33,6.49933749,1774,1,1,2,17,cyclic_2_1,cyclic_32_1,cyclic_2_1,block_128_1,cyclic_128_1,block_2_1,complete_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,unroll_2,unroll_5,pipeline_1,unroll_2,unroll_4,unroll_8,unroll_2,unroll_5,pipeline_1,unroll_36,unroll_16,unroll_16,pipeline_1,unroll_4,unroll_5,1,5.25,0.304939922183,False
workload_5570.cpp,xcu200-fsgd2104-2-e,3.33,6.65278389,1705,1,1,2,17,cyclic_2_1,cyclic_32_1,cyclic_2_1,block_128_1,cyclic_128_1,block_2_1,cyclic_4_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,unroll_2,unroll_5,pipeline_1,unroll_2,unroll_4,unroll_2,unroll_2,unroll_5,pipeline_1,unroll_36,unroll_16,unroll_16,pipeline_1,unroll_4,unroll_5,1,5.25,0.30312357288,False
workload_5667.cpp,xcu200-fsgd2104-2-e,3.33,5.42065725,856,1,1,1,9,cyclic_2_1,cyclic_32_1,cyclic_2_1,block_2_1,cyclic_128_1,block_2_1,block_4_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_8,unroll_2,unroll_5,unroll_16,unroll_36,unroll_16,unroll_16,unroll_2,unroll_4,unroll_5,1,3,0.835863077361,False
workload_5732.cpp,xcu200-fsgd2104-2-e,3.33,5.42065725,679,1,1,1,8,cyclic_2_1,cyclic_32_1,cyclic_2_1,block_2_1,cyclic_128_1,block_2_1,block_4_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_5,pipeline_1,unroll_2,pipeline_1,unroll_2,unroll_2,unroll_5,unroll_16,unroll_2,unroll_16,unroll_16,unroll_2,unroll_4,unroll_5,1,2.75,0.881658978051,False
