Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,OuterLoop_1,InnerLoop_1_1,InnerLoop_2_1,InnerLoop_3_1,Replicate_Count,Area,Weight,is_pareto
workload_3243.cpp,xcu200-fsgd2104-2-e,3.33,46.15391322,82.5,0,0,0,1,block_2_1,unroll_2,unroll_2,unroll_2,pipeline_1,6,0.25,0.965434107832,False
workload_3447.cpp,xcu200-fsgd2104-2-e,3.33,38.69471322,188,0,0,1,1,block_2_1,unroll_2,unroll_2,unroll_4,pipeline_1,2,0.5,0.973037065265,False
workload_3326.cpp,xcu200-fsgd2104-2-e,3.33,40.7511747,920,0,0,2,5,block_2_1,unroll_2,unroll_2,unroll_8,pipeline_1,1,1.75,0.844129644387,False
workload_3322.cpp,xcu200-fsgd2104-2-e,3.33,46.0326879,190.5,0,0,1,2,block_2_1,unroll_4,unroll_2,unroll_2,pipeline_1,6,0.75,0.936877997679,False
workload_3405.cpp,xcu200-fsgd2104-2-e,3.33,374.8715199,226,0,0,1,2,block_2_1,unroll_4,unroll_2,unroll_2,unroll_2,1,0.75,0.117862883447,False
workload_3198.cpp,xcu200-fsgd2104-2-e,3.33,98.1351999,3010,0,1,5,6,block_2_1,unroll_4,unroll_2,unroll_2,unroll_32,1,3,0.640381443982,False
workload_3465.cpp,xcu200-fsgd2104-2-e,3.33,214.4987199,312,0,0,1,2,block_2_1,unroll_4,unroll_2,unroll_2,unroll_4,1,0.75,0.372073404681,False
workload_3427.cpp,xcu200-fsgd2104-2-e,3.33,38.6434179,833,0,0,1,3,block_2_1,unroll_4,unroll_2,unroll_4,pipeline_1,2,1,0.920361193497,False
workload_3504.cpp,xcu200-fsgd2104-2-e,3.33,38.61909558,957,0,0,2,3,block_2_1,unroll_4,unroll_4,unroll_2,pipeline_1,1,1.25,0.894635455195,False
workload_3365.cpp,xcu200-fsgd2104-2-e,3.33,38.73200922,87,0,0,0,1,block_4_1,unroll_2,unroll_2,unroll_2,pipeline_1,2,0.25,0.999201701448,False
workload_3433.cpp,xcu200-fsgd2104-2-e,3.33,38.69471322,190,0,0,1,1,block_4_1,unroll_2,unroll_2,unroll_4,pipeline_1,1,0.5,0.973037065265,False
workload_3438.cpp,xcu200-fsgd2104-2-e,3.33,40.7511747,938,0,0,2,5,block_4_1,unroll_2,unroll_2,unroll_8,pipeline_1,1,1.75,0.844129644387,False
workload_3307.cpp,xcu200-fsgd2104-2-e,3.33,242.40430638,1115,0,0,3,7,block_4_1,unroll_2,unroll_2,unroll_8,unroll_4,1,2.5,0.292237114587,False
workload_3393.cpp,xcu200-fsgd2104-2-e,3.33,38.6107839,197.5,0,0,1,2,block_4_1,unroll_4,unroll_2,unroll_2,pipeline_1,4,0.75,0.946497704273,False
workload_3442.cpp,xcu200-fsgd2104-2-e,3.33,374.8715199,233,0,0,1,2,block_4_1,unroll_4,unroll_2,unroll_2,unroll_2,1,0.75,0.117862883447,False
workload_3441.cpp,xcu200-fsgd2104-2-e,3.33,38.6434179,888,0,0,1,3,block_4_1,unroll_4,unroll_2,unroll_4,pipeline_1,1,1,0.920361193497,False
workload_3437.cpp,xcu200-fsgd2104-2-e,3.33,38.67947514,78.5,0,0,0,1,block_8_1,unroll_2,unroll_2,unroll_2,pipeline_1,4,0.25,0.999443020128,False
workload_3425.cpp,xcu200-fsgd2104-2-e,3.33,38.63751714,179,0,0,0,1,block_8_1,unroll_2,unroll_2,unroll_4,pipeline_1,4,0.25,0.99963578016,False
workload_3493.cpp,xcu200-fsgd2104-2-e,3.33,40.69864062,839,0,0,2,5,block_8_1,unroll_2,unroll_2,unroll_8,pipeline_1,1,1.75,0.844143030715,False
workload_3608.cpp,xcu200-fsgd2104-2-e,3.33,38.68882578,191,0,0,1,1,block_8_1,unroll_2,unroll_4,unroll_2,pipeline_1,1,0.5,0.97303766705,False
workload_3466.cpp,xcu200-fsgd2104-2-e,3.33,38.65619178,825,0,0,1,2,block_8_1,unroll_2,unroll_4,unroll_4,pipeline_1,1,0.75,0.946496416303,False
workload_3470.cpp,xcu200-fsgd2104-2-e,3.33,38.55824982,181.5,0,0,0,1,block_8_1,unroll_4,unroll_2,unroll_2,pipeline_1,4,0.25,1,True
workload_3567.cpp,xcu200-fsgd2104-2-e,3.33,374.81898582,214,0,0,1,1,block_8_1,unroll_4,unroll_2,unroll_2,unroll_2,1,0.5,0.117997976027,False
workload_3426.cpp,xcu200-fsgd2104-2-e,3.33,38.58622182,843,0,0,1,2,block_8_1,unroll_4,unroll_2,unroll_4,pipeline_1,3,0.75,0.946498077015,False
workload_3535.cpp,xcu200-fsgd2104-2-e,3.33,38.56293846,864,0,0,1,2,block_8_1,unroll_4,unroll_4,unroll_2,pipeline_1,3,0.75,0.946498220362,False
