Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,OuterLoop_1,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_2_1,InnerLoop_2_2,InnerLoop_2_3,InnerLoop_3_1,Replicate_Count,Area,Weight,is_pareto
workload_5238.cpp,xcu200-fsgd2104-2-e,3.33,37.4804487,898,1,1,4,7,block_128_1,block_128_1,cyclic_2_1,cyclic_2_1,block_8_1,unroll_4,unroll_8,unroll_4,unroll_4,unroll_16,unroll_8,unroll_2,pipeline_1,1,3.25,0.832010173322,False
workload_5353.cpp,xcu200-fsgd2104-2-e,3.33,37.47928986,182,1,1,1,2,block_128_1,block_128_1,cyclic_4_1,cyclic_2_1,cyclic_4_1,unroll_2,unroll_2,unroll_2,pipeline_1,unroll_16,unroll_8,unroll_2,pipeline_1,1,1.25,0.982350781122,False
workload_5404.cpp,xcu200-fsgd2104-2-e,3.33,37.4734557,379,1,1,1,3,block_128_1,block_128_1,cyclic_8_1,cyclic_2_1,cyclic_8_1,unroll_2,unroll_64,unroll_2,unroll_4,unroll_32,unroll_8,unroll_2,pipeline_1,1,1.5,0.964960543742,False
workload_5371.cpp,xcu200-fsgd2104-2-e,3.33,37.4175117,443,1,1,2,4,block_128_1,block_128_1,cyclic_8_1,cyclic_2_1,cyclic_8_1,unroll_2,unroll_64,unroll_2,unroll_4,unroll_32,unroll_8,unroll_4,pipeline_1,1,2,0.913889782326,False
workload_5357.cpp,xcu200-fsgd2104-2-e,3.33,645.6518685,635,1,1,1,3,block_128_1,block_32_1,cyclic_16_1,cyclic_16_1,cyclic_8_1,unroll_2,unroll_64,unroll_2,pipeline_1,unroll_32,unroll_64,unroll_4,unroll_2,1,1.5,0.115046624586,False
workload_5354.cpp,xcu200-fsgd2104-2-e,3.33,37.52961282,161,1,1,1,2,block_128_1,block_32_1,cyclic_2_1,cyclic_16_1,block_8_1,unroll_2,unroll_2,unroll_2,unroll_8,pipeline_1,unroll_8,unroll_2,pipeline_1,1,1.25,0.982286301195,False
workload_5223.cpp,xcu200-fsgd2104-2-e,3.33,59.68399626,263,1,1,2,3,block_128_1,block_32_1,cyclic_2_1,cyclic_16_1,cyclic_8_1,unroll_2,unroll_4,unroll_2,unroll_4,unroll_4,unroll_64,unroll_4,pipeline_1,1,1.75,0.913256910853,False
workload_5464.cpp,xcu200-fsgd2104-2-e,3.33,37.41942978,262,1,1,2,3,block_128_1,block_32_1,cyclic_2_1,cyclic_16_1,cyclic_8_1,unroll_2,unroll_4,unroll_2,unroll_8,pipeline_1,unroll_64,unroll_4,pipeline_1,1,1.75,0.947762706675,False
workload_5269.cpp,xcu200-fsgd2104-2-e,3.33,37.45430154,404,1,1,2,4,block_128_1,block_32_1,cyclic_2_1,cyclic_16_1,cyclic_8_1,unroll_2,unroll_64,unroll_2,unroll_4,unroll_4,unroll_64,unroll_4,pipeline_1,1,2,0.913889592858,False
workload_5496.cpp,xcu200-fsgd2104-2-e,3.33,37.40373882,423,1,1,2,4,block_128_1,block_32_1,cyclic_4_1,block_32_1,cyclic_8_1,unroll_2,unroll_2,unroll_2,unroll_16,unroll_32,unroll_64,unroll_4,pipeline_1,1,2,0.913889814381,False
workload_5478.cpp,xcu200-fsgd2104-2-e,3.33,37.39825098,313,1,1,2,4,block_128_1,block_32_1,cyclic_4_1,cyclic_16_1,block_8_1,unroll_2,unroll_32,unroll_2,unroll_8,pipeline_1,unroll_64,unroll_4,pipeline_1,1,2,0.913889821253,False
workload_5473.cpp,xcu200-fsgd2104-2-e,3.33,37.40475114,364,1,1,2,4,block_128_1,block_32_1,cyclic_4_1,cyclic_16_1,block_8_1,unroll_2,unroll_64,unroll_2,unroll_8,pipeline_1,unroll_16,unroll_4,pipeline_1,1,2,0.913889812746,False
workload_5439.cpp,xcu200-fsgd2104-2-e,3.33,37.45408842,347,1,1,1,3,block_128_1,block_32_1,cyclic_4_1,cyclic_16_1,cyclic_4_1,unroll_2,unroll_64,unroll_2,unroll_8,pipeline_1,unroll_64,unroll_2,pipeline_1,1,1.5,0.964985017615,False
workload_5431.cpp,xcu200-fsgd2104-2-e,3.33,37.3976649,525,1,1,2,4,block_128_1,block_32_1,cyclic_4_1,cyclic_16_1,cyclic_8_1,unroll_2,unroll_64,unroll_2,unroll_16,pipeline_1,unroll_64,unroll_4,pipeline_1,1,2,0.913889821788,False
workload_5305.cpp,xcu200-fsgd2104-2-e,3.33,37.39814442,435,1,1,2,4,block_128_1,block_32_1,cyclic_4_1,cyclic_16_1,cyclic_8_1,unroll_2,unroll_64,unroll_2,unroll_8,pipeline_1,unroll_64,unroll_4,pipeline_1,2,2,0.913889821353,False
workload_5390.cpp,xcu200-fsgd2104-2-e,3.33,645.64928442,531,1,1,1,3,block_128_1,block_32_1,cyclic_4_1,cyclic_16_1,cyclic_8_1,unroll_2,unroll_64,unroll_2,unroll_8,pipeline_1,unroll_64,unroll_4,unroll_2,1,1.5,0.115047484678,False
workload_5456.cpp,xcu200-fsgd2104-2-e,3.33,37.39760496,763,1,1,4,7,block_128_1,block_32_1,cyclic_4_1,cyclic_16_1,cyclic_8_1,unroll_4,unroll_16,unroll_2,unroll_8,pipeline_1,unroll_64,unroll_4,pipeline_1,1,3.25,0.832020550086,False
workload_5539.cpp,xcu200-fsgd2104-2-e,3.33,37.41721866,291,1,1,2,3,block_128_1,block_32_1,cyclic_4_1,cyclic_2_1,block_8_1,unroll_2,pipeline_1,unroll_2,unroll_8,unroll_32,unroll_8,unroll_4,pipeline_1,1,1.75,0.947765468905,False
workload_5450.cpp,xcu200-fsgd2104-2-e,3.33,37.41082506,299,1,1,2,3,block_128_1,block_32_1,cyclic_4_1,cyclic_2_1,block_8_1,unroll_2,unroll_2,unroll_2,unroll_8,unroll_32,unroll_16,unroll_4,pipeline_1,1,1.75,0.947773455265,False
workload_5419.cpp,xcu200-fsgd2104-2-e,3.33,37.40802786,309,1,1,2,4,block_128_1,block_32_1,cyclic_4_1,cyclic_2_1,complete_1,unroll_2,unroll_16,unroll_2,unroll_4,unroll_32,unroll_16,unroll_4,pipeline_1,1,2,0.91388980667,False
workload_5458.cpp,xcu200-fsgd2104-2-e,3.33,37.40776146,447,1,1,2,4,block_128_1,block_32_1,cyclic_4_1,cyclic_2_1,complete_1,unroll_2,unroll_64,unroll_2,unroll_4,unroll_32,unroll_16,unroll_4,pipeline_1,1,2,0.913889807209,False
workload_5224.cpp,xcu200-fsgd2104-2-e,3.33,366.18177834,944,1,1,1,5,block_128_1,block_32_1,cyclic_4_1,cyclic_2_1,complete_1,unroll_2,unroll_64,unroll_4,pipeline_1,unroll_32,unroll_8,unroll_4,unroll_2,1,2,0.349132803659,False
workload_5343.cpp,xcu200-fsgd2104-2-e,3.33,37.41793794,1290,1,1,3,7,block_128_1,block_32_1,cyclic_4_1,cyclic_2_1,complete_1,unroll_2,unroll_64,unroll_4,unroll_16,unroll_32,unroll_8,unroll_4,pipeline_1,1,3,0.862563023539,False
