Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_2,Array_3,Array_4,Array_5,OuterLoop_1,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_2_1,InnerLoop_2_2,InnerLoop_2_3,InnerLoop_3_1,Replicate_Count,Area,Weight,is_pareto
workload_5469.cpp,xcu200-fsgd2104-2-e,3.33,37.41689898,202,1,1,1,2,block_2_2,block_16_1,block_32_1,complete_2,unroll_2,unroll_8,unroll_2,unroll_16,pipeline_1,unroll_64,unroll_2,pipeline_1,1,1.25,0.990584370487,False
workload_5092.cpp,xcu200-fsgd2104-2-e,3.33,209.18016378,984,1,1,2,4,block_2_2,block_16_1,cyclic_2_1,block_8_1,unroll_4,unroll_8,unroll_2,unroll_2,unroll_4,unroll_2,unroll_2,unroll_8,1,2,0.656700111433,False
workload_5500.cpp,xcu200-fsgd2104-2-e,3.33,37.4165793,233,1,1,1,2,block_2_2,block_16_1,cyclic_2_1,cyclic_8_1,unroll_2,unroll_16,unroll_2,unroll_16,pipeline_1,unroll_64,unroll_2,pipeline_1,1,1.25,0.990584722549,False
workload_5599.cpp,xcu200-fsgd2104-2-e,3.33,35.9714925,343,1,1,3,4,block_2_2,block_16_1,cyclic_2_1,cyclic_8_1,unroll_2,unroll_16,unroll_2,unroll_8,pipeline_1,unroll_2,unroll_8,pipeline_1,1,2.25,0.953317966149,False
workload_5509.cpp,xcu200-fsgd2104-2-e,3.33,37.41689898,209,1,1,1,2,block_2_2,block_16_1,cyclic_2_1,cyclic_8_1,unroll_2,unroll_8,unroll_2,unroll_16,pipeline_1,unroll_64,unroll_2,pipeline_1,1,1.25,0.990584370487,False
workload_5522.cpp,xcu200-fsgd2104-2-e,3.33,409.9591305,889,1,1,1,3,block_2_2,block_16_1,cyclic_2_1,cyclic_8_1,unroll_2,unroll_8,unroll_2,unroll_8,pipeline_1,unroll_64,unroll_16,unroll_2,1,1.5,0.36380479689,False
workload_5289.cpp,xcu200-fsgd2104-2-e,3.33,35.9240733,860,1,1,9,11,block_2_2,block_16_1,cyclic_32_1,cyclic_8_1,unroll_2,unroll_8,unroll_2,unroll_8,unroll_4,unroll_64,unroll_16,pipeline_1,1,5.5,0.821106906183,False
workload_5137.cpp,xcu200-fsgd2104-2-e,3.33,38.19758418,1023,1,1,5,8,block_2_2,block_2_1,block_32_1,block_2_1,unroll_2,unroll_16,unroll_4,unroll_8,unroll_8,unroll_64,unroll_2,pipeline_1,1,3.75,0.881307558328,False
workload_4992.cpp,xcu200-fsgd2104-2-e,3.33,38.21569938,935,1,1,5,8,block_2_2,block_2_1,block_32_1,block_4_1,unroll_2,unroll_16,unroll_4,unroll_8,unroll_4,unroll_64,unroll_2,pipeline_1,1,3.75,0.881304879999,False
workload_4871.cpp,xcu200-fsgd2104-2-e,3.33,38.43550602,710,1,1,7,9,block_2_2,block_2_1,block_32_1,cyclic_8_1,unroll_2,pipeline_1,unroll_4,unroll_8,unroll_2,unroll_2,unroll_4,pipeline_1,1,4.5,0.863594179218,False
