Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,OuterLoop_1,InnerLoop_1_1,InnerLoop_2_1,InnerLoop_3_1,InnerLoop_3_2,InnerLoop_3_3,Replicate_Count,Area,Weight,is_pareto
workload_4142.cpp,xcu200-fsgd2104-2-e,3.33,7.62944958,111,1,1,1,1,block_2_2,block_8_2,block_4_1,block_4_1,complete_1,unroll_2,pipeline_1,unroll_2,pipeline_1,unroll_4,pipeline_1,1,1,1,True
workload_4217.cpp,xcu200-fsgd2104-2-e,3.33,7.62944958,113,1,1,1,1,block_2_2,block_8_2,block_4_1,block_8_1,block_2_1,unroll_2,pipeline_1,unroll_2,pipeline_1,unroll_4,pipeline_1,1,1,1,True
workload_4096.cpp,xcu200-fsgd2104-2-e,3.33,7.62944958,107,1,1,1,1,block_2_2,complete_1,complete_1,block_4_1,cyclic_2_1,unroll_2,pipeline_1,unroll_2,unroll_8,pipeline_1,unroll_2,1,1,1,True
workload_3974.cpp,xcu200-fsgd2104-2-e,3.33,163.58750208,94,1,1,1,1,block_2_2,cyclic_2_2,cyclic_8_1,complete_1,block_4_1,unroll_2,unroll_2,unroll_2,unroll_16,pipeline_1,unroll_2,1,1,0.374050903637,False
workload_4015.cpp,xcu200-fsgd2104-2-e,3.33,120.21072894,134,1,1,1,1,block_4_2,block_2_2,complete_1,block_4_1,cyclic_2_1,unroll_4,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_16,1,1,0.511850428044,False
workload_3818.cpp,xcu200-fsgd2104-2-e,3.33,7.81224993,279,1,1,2,3,block_4_2,block_4_2,block_8_1,block_2_1,cyclic_2_1,unroll_8,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_8,1,1.75,0.884003447226,False
workload_3967.cpp,xcu200-fsgd2104-2-e,3.33,122.11872903,286,1,1,1,3,block_4_2,block_4_2,block_8_1,block_2_1,cyclic_8_1,unroll_8,pipeline_1,pipeline_1,unroll_16,pipeline_1,pipeline_1,1,1.5,0.50160028521,False
workload_4046.cpp,xcu200-fsgd2104-2-e,3.33,7.69028868,152,1,1,1,2,block_4_2,block_4_2,complete_1,block_4_1,block_2_1,unroll_4,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_8,1,1.25,0.960445651994,False
workload_3978.cpp,xcu200-fsgd2104-2-e,3.33,7.69028868,143,1,1,1,2,block_4_2,block_4_2,complete_1,block_4_1,block_2_1,unroll_4,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_8,1,1.25,0.960445651994,False
workload_3875.cpp,xcu200-fsgd2104-2-e,3.33,7.69028868,147,1,1,1,2,block_4_2,block_4_2,complete_1,block_4_1,cyclic_2_1,unroll_4,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_8,1,1.25,0.960445651994,False
workload_4035.cpp,xcu200-fsgd2104-2-e,3.33,7.69028868,144,1,1,1,2,block_4_2,block_4_2,complete_1,block_4_1,cyclic_2_1,unroll_4,pipeline_1,unroll_2,unroll_2,unroll_2,unroll_8,1,1.25,0.960445651994,False
workload_4085.cpp,xcu200-fsgd2104-2-e,3.33,7.69028868,158,1,1,1,2,block_4_2,block_4_2,complete_1,cyclic_8_1,block_2_1,unroll_4,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_8,1,1.25,0.960445651994,False
workload_3944.cpp,xcu200-fsgd2104-2-e,3.33,7.81224993,340,1,1,2,3,block_4_2,block_8_2,block_4_1,cyclic_8_1,block_2_1,unroll_8,pipeline_1,unroll_2,unroll_2,unroll_8,unroll_16,1,1.75,0.884003447226,False
workload_3979.cpp,xcu200-fsgd2104-2-e,3.33,7.81224993,281,1,1,2,3,block_4_2,block_8_2,cyclic_4_1,cyclic_8_1,cyclic_2_1,unroll_8,pipeline_1,unroll_2,unroll_2,unroll_2,unroll_16,1,1.75,0.884003447226,False
workload_3883.cpp,xcu200-fsgd2104-2-e,3.33,122.11870239,858,1,1,3,6,block_4_2,complete_1,block_2_1,block_2_1,cyclic_8_1,unroll_16,pipeline_1,pipeline_1,unroll_16,pipeline_1,unroll_8,1,2.75,0.464127947821,False
workload_3946.cpp,xcu200-fsgd2104-2-e,3.33,7.81224993,893,1,1,4,7,block_4_2,complete_1,block_2_1,block_4_1,complete_1,unroll_16,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_8,1,3.25,0.676016812498,False
workload_3917.cpp,xcu200-fsgd2104-2-e,3.33,122.11872903,272,1,1,1,3,block_4_2,complete_1,block_8_1,block_2_1,cyclic_8_1,unroll_8,pipeline_1,pipeline_1,unroll_16,pipeline_1,unroll_8,1,1.5,0.50160028521,False
workload_4012.cpp,xcu200-fsgd2104-2-e,3.33,7.81224993,409,1,1,2,3,block_4_2,complete_1,complete_1,block_4_1,complete_1,unroll_8,pipeline_1,pipeline_1,unroll_4,unroll_2,pipeline_1,1,1.75,0.884003447226,False
workload_4020.cpp,xcu200-fsgd2104-2-e,3.33,301.45920903,562,1,1,1,5,block_4_2,complete_1,cyclic_4_1,cyclic_8_1,block_2_1,unroll_8,unroll_2,pipeline_1,unroll_2,unroll_2,unroll_16,1,2,0.120505295734,False
workload_3950.cpp,xcu200-fsgd2104-2-e,3.33,7.81224993,788,1,1,4,7,block_4_2,complete_2,block_4_1,cyclic_2_1,block_8_1,unroll_16,pipeline_1,pipeline_1,pipeline_1,unroll_8,unroll_2,1,3.25,0.676016812498,False
workload_3886.cpp,xcu200-fsgd2104-2-e,3.33,7.81224993,739,1,1,4,7,block_4_2,complete_2,block_8_1,cyclic_2_1,block_2_1,unroll_16,pipeline_1,pipeline_1,pipeline_1,unroll_4,unroll_8,1,3.25,0.676016812498,False
workload_3814.cpp,xcu200-fsgd2104-2-e,3.33,7.81224993,680,1,1,4,7,block_4_2,complete_2,block_8_1,cyclic_2_1,block_2_1,unroll_16,pipeline_1,pipeline_1,pipeline_1,unroll_8,unroll_8,1,3.25,0.676016812498,False
workload_3968.cpp,xcu200-fsgd2104-2-e,3.33,7.81224993,278,1,1,2,3,block_4_2,complete_2,complete_1,block_4_1,block_4_1,unroll_8,pipeline_1,pipeline_1,pipeline_1,unroll_4,unroll_2,1,1.75,0.884003447226,False
workload_4024.cpp,xcu200-fsgd2104-2-e,3.33,7.81224993,331,1,1,2,3,block_4_2,complete_2,complete_1,block_8_1,block_4_1,unroll_8,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_2,1,1.75,0.884003447226,False
workload_3884.cpp,xcu200-fsgd2104-2-e,3.33,7.81224993,699,1,1,4,7,block_4_2,cyclic_2_2,block_4_1,block_2_1,cyclic_8_1,unroll_16,pipeline_1,pipeline_1,unroll_8,unroll_2,unroll_2,1,3.25,0.676016812498,False
workload_3937.cpp,xcu200-fsgd2104-2-e,3.33,7.81232985,2246,1,1,7,13,block_4_2,cyclic_2_2,block_4_1,block_2_1,cyclic_8_1,unroll_32,pipeline_1,pipeline_1,unroll_8,unroll_2,unroll_4,1,5.5,0.424026336489,False
workload_4000.cpp,xcu200-fsgd2104-2-e,3.33,122.11872903,295,1,1,1,3,block_4_2,cyclic_4_2,block_8_1,block_2_1,cyclic_2_1,unroll_8,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_2,1,1.5,0.50160028521,False
workload_3851.cpp,xcu200-fsgd2104-2-e,3.33,122.11870239,836,1,1,3,6,block_4_2,cyclic_8_2,block_4_1,block_2_1,block_8_1,unroll_16,pipeline_1,pipeline_1,unroll_8,pipeline_1,unroll_2,1,2.75,0.464127947821,False
workload_3922.cpp,xcu200-fsgd2104-2-e,3.33,122.11870239,813,1,1,3,6,block_4_2,cyclic_8_2,block_8_1,block_2_1,block_2_1,unroll_16,pipeline_1,pipeline_1,unroll_8,pipeline_1,unroll_8,1,2.75,0.464127947821,False
workload_3920.cpp,xcu200-fsgd2104-2-e,3.33,122.11870239,749,1,1,3,6,block_4_2,cyclic_8_2,complete_1,block_4_1,cyclic_2_1,unroll_16,pipeline_1,pipeline_1,unroll_8,pipeline_1,unroll_2,1,2.75,0.464127947821,False
workload_3923.cpp,xcu200-fsgd2104-2-e,3.33,7.69028868,158,1,1,1,2,block_8_2,block_4_2,block_4_1,block_2_1,block_8_1,unroll_4,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_8,1,1.25,0.960445651994,False
workload_3981.cpp,xcu200-fsgd2104-2-e,3.33,7.69028868,145,1,1,1,2,block_8_2,block_4_2,block_4_1,block_2_1,block_8_1,unroll_4,pipeline_1,unroll_2,unroll_2,unroll_2,unroll_2,1,1.25,0.960445651994,False
workload_4011.cpp,xcu200-fsgd2104-2-e,3.33,7.69028868,202,1,1,1,2,block_8_2,block_4_2,block_4_1,block_2_1,complete_1,unroll_4,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_8,1,1.25,0.960445651994,False
workload_4069.cpp,xcu200-fsgd2104-2-e,3.33,7.69028868,153,1,1,1,2,block_8_2,block_4_2,block_4_1,block_4_1,block_8_1,unroll_4,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_8,1,1.25,0.960445651994,False
workload_4010.cpp,xcu200-fsgd2104-2-e,3.33,14.97904929,375,1,1,1,2,block_8_2,block_4_2,block_4_1,complete_1,block_8_1,unroll_8,pipeline_1,unroll_2,unroll_16,unroll_2,unroll_2,1,1.25,0.945663087565,False
workload_3980.cpp,xcu200-fsgd2104-2-e,3.33,97.60992903,453,1,1,2,6,block_8_2,block_4_2,complete_1,block_4_1,block_8_1,unroll_8,unroll_2,pipeline_1,unroll_2,pipeline_1,unroll_16,1,2.5,0.55250335144,False
workload_3942.cpp,xcu200-fsgd2104-2-e,3.33,97.60992903,456,1,1,2,6,block_8_2,block_4_2,complete_1,block_4_1,cyclic_4_1,unroll_8,unroll_2,pipeline_1,unroll_2,pipeline_1,pipeline_1,1,2.5,0.55250335144,False
workload_4108.cpp,xcu200-fsgd2104-2-e,3.33,7.62944958,107,1,1,1,1,block_8_2,block_8_2,cyclic_4_1,block_8_1,block_8_1,unroll_2,pipeline_1,unroll_2,pipeline_1,unroll_2,pipeline_1,1,1,1,True
workload_4126.cpp,xcu200-fsgd2104-2-e,3.33,7.62944958,105,1,1,1,1,block_8_2,complete_2,cyclic_4_1,block_8_1,block_8_1,unroll_2,pipeline_1,unroll_2,pipeline_1,unroll_2,pipeline_1,1,1,1,True
workload_4089.cpp,xcu200-fsgd2104-2-e,3.33,7.69028868,154,1,1,1,2,block_8_2,cyclic_4_2,block_4_1,block_2_1,block_8_1,unroll_4,pipeline_1,unroll_2,pipeline_1,unroll_2,unroll_8,1,1.25,0.960445651994,False
workload_4041.cpp,xcu200-fsgd2104-2-e,3.33,7.69028868,169,1,1,1,2,block_8_2,cyclic_4_2,block_4_1,block_2_1,block_8_1,unroll_4,pipeline_1,unroll_2,unroll_2,unroll_2,unroll_8,1,1.25,0.960445651994,False
workload_4094.cpp,xcu200-fsgd2104-2-e,3.33,7.69028868,148,1,1,1,2,block_8_2,cyclic_4_2,complete_1,block_4_1,complete_1,unroll_4,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_8,1,1.25,0.960445651994,False
workload_4051.cpp,xcu200-fsgd2104-2-e,3.33,7.69028868,158,1,1,1,2,block_8_2,cyclic_4_2,complete_1,block_4_1,complete_1,unroll_4,pipeline_1,unroll_2,unroll_2,pipeline_1,unroll_8,1,1.25,0.960445651994,False
workload_3824.cpp,xcu200-fsgd2104-2-e,3.33,122.11870239,730,1,1,3,6,block_8_2,cyclic_8_2,block_4_1,block_2_1,block_8_1,unroll_16,pipeline_1,pipeline_1,unroll_8,pipeline_1,unroll_2,1,2.75,0.464127947821,False
workload_3899.cpp,xcu200-fsgd2104-2-e,3.33,122.11872903,2950,1,1,6,11,block_8_2,cyclic_8_2,block_4_1,block_2_1,block_8_1,unroll_32,pipeline_1,pipeline_1,unroll_8,pipeline_1,unroll_4,1,4.75,0.354391340172,False
workload_3941.cpp,xcu200-fsgd2104-2-e,3.33,122.11870239,765,1,1,3,6,block_8_2,cyclic_8_2,block_4_1,cyclic_8_1,block_2_1,unroll_16,pipeline_1,pipeline_1,unroll_8,pipeline_1,unroll_16,1,2.75,0.464127947821,False
workload_4206.cpp,xcu200-fsgd2104-2-e,3.33,7.62944958,101,1,1,1,1,complete_1,block_2_2,block_4_1,block_8_1,complete_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_16,1,1,1,True
workload_4151.cpp,xcu200-fsgd2104-2-e,3.33,7.62944958,93,1,1,1,1,complete_1,block_2_2,complete_1,block_4_1,block_2_1,unroll_2,pipeline_1,unroll_2,pipeline_1,unroll_2,unroll_16,1,1,1,True
workload_4169.cpp,xcu200-fsgd2104-2-e,3.33,7.62944958,90,1,1,1,1,complete_1,block_2_2,complete_1,block_4_1,block_2_1,unroll_2,pipeline_1,unroll_2,pipeline_1,unroll_4,unroll_16,1,1,1,True
workload_4487.cpp,xcu200-fsgd2104-2-e,3.33,7.62944958,86,1,1,1,1,complete_1,block_2_2,complete_1,block_4_1,complete_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,1,1,1,True
workload_4248.cpp,xcu200-fsgd2104-2-e,3.33,7.62944958,114,1,1,1,1,complete_1,block_2_2,complete_1,block_4_1,cyclic_2_1,unroll_2,pipeline_1,unroll_2,unroll_8,unroll_4,unroll_16,1,1,1,True
workload_4252.cpp,xcu200-fsgd2104-2-e,3.33,7.62944958,85,1,1,1,1,complete_1,block_2_2,cyclic_4_1,block_4_1,cyclic_2_1,unroll_2,pipeline_1,unroll_2,pipeline_1,unroll_4,unroll_16,1,1,1,True
workload_4215.cpp,xcu200-fsgd2104-2-e,3.33,7.62944958,114,1,1,1,1,complete_1,block_4_2,block_2_1,block_4_1,block_2_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_4,unroll_16,1,1,1,True
workload_4236.cpp,xcu200-fsgd2104-2-e,3.33,7.62944958,112,1,1,1,1,complete_1,block_4_2,block_2_1,block_4_1,block_2_1,unroll_2,pipeline_1,pipeline_1,unroll_8,unroll_4,unroll_16,1,1,1,True
workload_4256.cpp,xcu200-fsgd2104-2-e,3.33,7.62944958,84,1,1,1,1,complete_1,block_4_2,block_2_1,block_8_1,block_2_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_4,unroll_16,1,1,1,True
workload_4300.cpp,xcu200-fsgd2104-2-e,3.33,7.62944958,84,1,1,1,1,complete_1,block_4_2,block_2_1,block_8_1,block_2_1,unroll_2,pipeline_1,unroll_2,pipeline_1,unroll_4,unroll_16,1,1,1,True
workload_4060.cpp,xcu200-fsgd2104-2-e,3.33,7.69028868,149,1,1,1,2,complete_1,block_4_2,block_4_1,block_2_1,block_2_1,unroll_4,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_2,1,1.25,0.960445651994,False
workload_4443.cpp,xcu200-fsgd2104-2-e,3.33,7.62944958,84,1,1,1,1,complete_1,block_4_2,block_4_1,block_4_1,block_2_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_16,1,1,1,True
workload_4269.cpp,xcu200-fsgd2104-2-e,3.33,7.62944958,95,1,1,1,1,complete_1,block_4_2,block_4_1,block_4_1,block_2_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_4,pipeline_1,1,1,1,True
workload_3999.cpp,xcu200-fsgd2104-2-e,3.33,7.69028868,152,1,1,1,2,complete_1,block_4_2,block_4_1,block_4_1,block_2_1,unroll_4,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_8,1,1.25,0.960445651994,False
