Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,OuterLoop_2,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
workload_1198.cpp,xcu200-fsgd2104-2-e,3.33,34415.1092712,194,1,1,2,3,unroll_16,unroll_16,unroll_2,1,1.75,0.165974713331,False
workload_1165.cpp,xcu200-fsgd2104-2-e,3.33,34415.1092712,192,1,1,2,3,unroll_16,unroll_2,unroll_2,1,1.75,0.165974713331,False
workload_1313.cpp,xcu200-fsgd2104-2-e,3.33,34415.1092645,210,1,1,2,3,unroll_16,unroll_32,unroll_2,1,1.75,0.165974713402,False
workload_1282.cpp,xcu200-fsgd2104-2-e,3.33,34415.1092712,191,1,1,2,3,unroll_16,unroll_4,unroll_2,1,1.75,0.165974713331,False
workload_1340.cpp,xcu200-fsgd2104-2-e,3.33,34415.1092712,201,1,1,2,3,unroll_16,unroll_8,unroll_2,1,1.75,0.165974713331,False
workload_1174.cpp,xcu200-fsgd2104-2-e,3.33,2041.26059277,63,1,1,1,1,unroll_2,unroll_16,pipeline_1,2,1,0.999999999735,False
workload_1285.cpp,xcu200-fsgd2104-2-e,3.33,35198.1223809,62,1,1,1,1,unroll_2,unroll_16,unroll_2,1,1,0.163926464244,False
workload_1237.cpp,xcu200-fsgd2104-2-e,3.33,2041.26059277,59.5,1,1,1,1,unroll_2,unroll_2,pipeline_1,2,1,0.999999999735,False
workload_1170.cpp,xcu200-fsgd2104-2-e,3.33,35198.1223809,63,1,1,1,1,unroll_2,unroll_2,unroll_2,1,1,0.163926464244,False
workload_1214.cpp,xcu200-fsgd2104-2-e,3.33,2041.26058611,62.5,1,1,1,1,unroll_2,unroll_32,pipeline_1,2,1,1,True
