Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,OuterLoop_5,OuterLoop_6,OuterLoop_7,OuterLoop_8,OuterLoop_9,OuterLoop_10,OuterLoop_11,OuterLoop_12,OuterLoop_13,OuterLoop_14,OuterLoop_15,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_1_4,InnerLoop_1_5,InnerLoop_1_6,InnerLoop_1_7,InnerLoop_1_8,InnerLoop_1_9,InnerLoop_1_10,InnerLoop_1_11,InnerLoop_1_12,InnerLoop_1_13,InnerLoop_1_14,InnerLoop_1_15,InnerLoop_1_16,InnerLoop_2_1,InnerLoop_2_2,InnerLoop_2_3,InnerLoop_2_4,InnerLoop_2_5,InnerLoop_3_1,InnerLoop_3_2,InnerLoop_3_3,Replicate_Count,Area,Weight,is_pareto
workload_4671.cpp,xcu200-fsgd2104-2-e,5,104.0633,635,1,1,3,10,block_4_1,block_16_1,cyclic_32_1,cyclic_8_1,block_2_1,unroll_4,unroll_4,unroll_16,unroll_2,pipeline_1,pipeline_1,unroll_4,pipeline_1,unroll_2,unroll_2,unroll_4,unroll_16,unroll_4,unroll_8,unroll_16,unroll_2,unroll_8,pipeline_1,unroll_2,unroll_8,unroll_2,pipeline_1,unroll_16,unroll_2,unroll_2,pipeline_1,pipeline_1,unroll_16,pipeline_1,unroll_8,unroll_2,pipeline_1,pipeline_1,unroll_2,unroll_4,pipeline_1,unroll_2,unroll_8,pipeline_1,1,3.75,0.787998032835,False
workload_4741.cpp,xcu200-fsgd2104-2-e,5,68.60093,1361,1,2,7,12,block_4_1,block_16_1,cyclic_4_1,cyclic_8_1,cyclic_2_1,unroll_4,unroll_4,unroll_16,unroll_16,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_8,unroll_4,unroll_16,unroll_4,unroll_8,unroll_2,unroll_2,unroll_8,unroll_16,unroll_2,pipeline_1,unroll_2,pipeline_1,unroll_16,unroll_2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,pipeline_1,pipeline_1,pipeline_1,unroll_16,unroll_4,unroll_16,unroll_2,unroll_8,pipeline_1,1,5.5,0.726213129929,False
workload_4731.cpp,xcu200-fsgd2104-2-e,5,141.578975,380,1,1,2,8,block_4_1,block_2_1,block_32_1,cyclic_4_1,block_2_1,unroll_8,unroll_4,unroll_16,unroll_2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_4,unroll_16,pipeline_1,unroll_4,unroll_64,unroll_2,unroll_4,pipeline_1,pipeline_1,unroll_8,unroll_2,pipeline_1,pipeline_1,unroll_2,unroll_2,pipeline_1,pipeline_1,unroll_16,pipeline_1,unroll_8,unroll_2,pipeline_1,pipeline_1,unroll_2,unroll_4,unroll_2,unroll_2,pipeline_1,pipeline_1,1,3,0.695732566588,False
workload_4498.cpp,xcu200-fsgd2104-2-e,5,252.168295,806,1,4,5,13,block_4_1,block_2_1,cyclic_32_1,cyclic_2_1,cyclic_64_1,unroll_16,unroll_2,unroll_16,unroll_16,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_4,pipeline_1,pipeline_1,unroll_4,unroll_2,unroll_2,unroll_8,pipeline_1,pipeline_1,unroll_16,unroll_2,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_2,unroll_16,unroll_16,pipeline_1,unroll_8,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_4,pipeline_1,unroll_4,unroll_8,pipeline_1,1,5.75,0.300214809127,False
workload_4780.cpp,xcu200-fsgd2104-2-e,5,119.80069,1291,1,1,4,12,block_4_1,block_2_1,cyclic_4_1,cyclic_8_1,block_2_1,unroll_8,pipeline_1,unroll_16,unroll_2,pipeline_1,pipeline_1,unroll_4,pipeline_1,unroll_2,unroll_2,unroll_4,pipeline_1,pipeline_1,unroll_8,unroll_64,unroll_2,unroll_4,pipeline_1,unroll_2,unroll_8,unroll_2,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_16,unroll_16,pipeline_1,unroll_8,unroll_2,pipeline_1,pipeline_1,unroll_2,unroll_4,unroll_2,unroll_2,unroll_4,pipeline_1,1,4.5,0.659917727337,False
workload_4767.cpp,xcu200-fsgd2104-2-e,5,108.469915,401,1,1,3,6,block_4_1,block_2_1,cyclic_4_1,cyclic_8_1,cyclic_2_1,unroll_8,unroll_4,unroll_16,unroll_2,pipeline_1,pipeline_1,unroll_4,pipeline_1,unroll_2,unroll_2,unroll_4,unroll_16,unroll_4,unroll_2,unroll_16,unroll_2,unroll_4,pipeline_1,unroll_2,unroll_8,unroll_2,pipeline_1,unroll_16,unroll_2,unroll_2,pipeline_1,unroll_16,unroll_16,pipeline_1,unroll_8,unroll_2,pipeline_1,pipeline_1,unroll_2,unroll_16,pipeline_1,unroll_2,unroll_8,pipeline_1,1,2.75,0.827794567186,False
workload_4742.cpp,xcu200-fsgd2104-2-e,5,108.484915,385,1,1,3,6,block_4_1,block_2_1,cyclic_4_1,cyclic_8_1,cyclic_2_1,unroll_8,unroll_4,unroll_16,unroll_2,pipeline_1,pipeline_1,unroll_4,pipeline_1,unroll_2,unroll_2,unroll_4,unroll_16,unroll_4,unroll_2,unroll_16,unroll_2,unroll_4,pipeline_1,unroll_2,unroll_8,unroll_2,pipeline_1,unroll_16,unroll_2,unroll_2,pipeline_1,unroll_16,unroll_16,pipeline_1,unroll_8,unroll_2,pipeline_1,pipeline_1,unroll_2,unroll_4,pipeline_1,unroll_2,unroll_8,pipeline_1,1,2.75,0.827708670573,False
workload_4395.cpp,xcu200-fsgd2104-2-e,5,293.921455,1731,1,1,3,16,block_4_1,block_32_1,cyclic_2_1,cyclic_2_1,block_16_1,unroll_4,unroll_4,unroll_16,unroll_16,pipeline_1,pipeline_1,unroll_4,unroll_4,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_8,unroll_4,unroll_8,pipeline_1,unroll_4,pipeline_1,pipeline_1,pipeline_1,unroll_8,unroll_4,unroll_16,pipeline_1,unroll_2,unroll_8,pipeline_1,pipeline_1,pipeline_1,unroll_8,unroll_2,pipeline_1,pipeline_1,unroll_4,unroll_16,unroll_2,unroll_2,unroll_2,pipeline_1,1,5.25,0.289000886795,False
workload_4719.cpp,xcu200-fsgd2104-2-e,5,141.220815,304,1,2,3,9,block_4_1,block_4_1,block_16_1,cyclic_8_1,block_2_1,unroll_4,unroll_4,unroll_16,unroll_16,pipeline_1,pipeline_1,unroll_4,pipeline_1,unroll_2,unroll_2,unroll_4,unroll_16,pipeline_1,unroll_4,unroll_64,unroll_2,unroll_4,pipeline_1,unroll_2,unroll_8,unroll_2,pipeline_1,pipeline_1,unroll_2,unroll_2,pipeline_1,unroll_16,unroll_16,pipeline_1,unroll_8,unroll_2,pipeline_1,pipeline_1,unroll_2,unroll_4,unroll_2,unroll_2,pipeline_1,pipeline_1,1,3.75,0.659438409842,False
workload_4529.cpp,xcu200-fsgd2104-2-e,5,141.82387,477,1,2,4,10,block_4_1,block_4_1,block_32_1,cyclic_2_1,cyclic_2_1,unroll_16,unroll_8,unroll_16,unroll_2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_8,unroll_4,pipeline_1,pipeline_1,unroll_4,unroll_2,unroll_8,unroll_4,unroll_4,pipeline_1,unroll_8,unroll_4,unroll_4,unroll_16,unroll_4,unroll_2,pipeline_1,pipeline_1,unroll_8,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_4,unroll_16,unroll_2,unroll_2,unroll_8,pipeline_1,1,4.25,0.622092627796,False
workload_4618.cpp,xcu200-fsgd2104-2-e,5,73.450015,1065,1,9,6,12,block_4_1,block_4_1,block_32_1,cyclic_2_1,cyclic_64_1,unroll_16,unroll_4,unroll_16,unroll_2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_4,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_8,unroll_4,pipeline_1,pipeline_1,unroll_16,unroll_4,pipeline_1,unroll_16,unroll_4,unroll_2,pipeline_1,pipeline_1,unroll_16,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_2,unroll_16,unroll_16,unroll_2,unroll_8,pipeline_1,1,7,0.588536351953,False
workload_4567.cpp,xcu200-fsgd2104-2-e,5,73.861405,1536,1,9,6,14,block_4_1,block_4_1,block_32_1,cyclic_2_1,cyclic_64_1,unroll_16,unroll_4,unroll_16,unroll_2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_4,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_8,unroll_4,unroll_16,pipeline_1,unroll_16,unroll_2,pipeline_1,unroll_16,unroll_4,unroll_2,pipeline_1,pipeline_1,unroll_16,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_2,unroll_16,unroll_16,unroll_2,unroll_8,pipeline_1,1,7.5,0.541237626669,False
workload_4507.cpp,xcu200-fsgd2104-2-e,5,85.77587,583,1,5,5,11,block_4_1,block_4_1,cyclic_32_1,cyclic_2_1,cyclic_2_1,unroll_16,unroll_8,unroll_16,unroll_16,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_4,pipeline_1,pipeline_1,unroll_4,unroll_4,unroll_8,unroll_4,unroll_4,pipeline_1,unroll_8,unroll_4,unroll_16,unroll_16,unroll_2,unroll_2,pipeline_1,pipeline_1,unroll_8,pipeline_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_4,unroll_16,unroll_2,unroll_2,unroll_8,pipeline_1,1,5.5,0.683703971279,False
workload_4311.cpp,xcu200-fsgd2104-2-e,5,108.997625,874,1,4,5,13,block_4_1,block_4_1,cyclic_32_1,cyclic_2_1,cyclic_64_1,unroll_16,unroll_2,unroll_16,unroll_2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_8,unroll_2,pipeline_1,unroll_4,unroll_2,unroll_8,unroll_4,unroll_4,unroll_2,unroll_2,unroll_2,unroll_16,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_16,pipeline_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_4,unroll_16,unroll_8,unroll_2,unroll_2,pipeline_1,1,5.75,0.596919685704,False
workload_4534.cpp,xcu200-fsgd2104-2-e,5,101.942745,893,1,4,5,12,block_4_1,block_4_1,cyclic_32_1,cyclic_2_1,cyclic_64_1,unroll_16,unroll_2,unroll_16,unroll_2,pipeline_1,pipeline_1,unroll_4,pipeline_1,unroll_2,unroll_2,unroll_8,unroll_16,pipeline_1,unroll_4,unroll_16,unroll_8,unroll_4,pipeline_1,unroll_2,unroll_2,unroll_2,unroll_16,unroll_16,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_16,pipeline_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_4,unroll_16,unroll_8,unroll_2,unroll_2,pipeline_1,1,5.5,0.640524253157,False
workload_4449.cpp,xcu200-fsgd2104-2-e,5,87.85621,597,1,6,6,13,block_4_1,block_4_1,cyclic_32_1,cyclic_2_1,cyclic_64_1,unroll_16,unroll_4,unroll_16,unroll_16,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_4,unroll_4,pipeline_1,pipeline_1,unroll_4,unroll_4,unroll_8,unroll_4,unroll_4,pipeline_1,unroll_2,unroll_4,unroll_16,pipeline_1,unroll_2,unroll_2,pipeline_1,pipeline_1,unroll_8,pipeline_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_4,unroll_16,pipeline_1,unroll_2,unroll_8,pipeline_1,1,6.5,0.596993343468,False
workload_4537.cpp,xcu200-fsgd2104-2-e,5,95.658685,666,1,2,3,10,block_4_1,block_4_1,cyclic_32_1,cyclic_2_1,cyclic_64_1,unroll_16,unroll_4,unroll_16,unroll_2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_4,pipeline_1,pipeline_1,unroll_4,unroll_2,unroll_8,pipeline_1,unroll_16,pipeline_1,unroll_16,unroll_2,pipeline_1,pipeline_1,unroll_2,unroll_2,pipeline_1,pipeline_1,unroll_16,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_2,unroll_2,pipeline_1,unroll_2,unroll_8,pipeline_1,1,4,0.789447128805,False
workload_4499.cpp,xcu200-fsgd2104-2-e,5,109.579775,673,1,1,3,10,block_4_1,block_4_1,cyclic_32_1,cyclic_2_1,cyclic_64_1,unroll_16,unroll_4,unroll_16,unroll_2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_4,pipeline_1,pipeline_1,unroll_4,unroll_2,unroll_8,unroll_4,unroll_4,pipeline_1,unroll_2,unroll_2,pipeline_1,pipeline_1,unroll_2,unroll_2,pipeline_1,pipeline_1,unroll_8,pipeline_1,unroll_2,unroll_2,pipeline_1,pipeline_1,unroll_2,unroll_4,pipeline_1,unroll_2,unroll_8,pipeline_1,1,3.75,0.766197974884,False
workload_4404.cpp,xcu200-fsgd2104-2-e,5,88.171775,552,1,6,6,12,block_4_1,block_4_1,cyclic_32_1,cyclic_2_1,cyclic_64_1,unroll_16,unroll_4,unroll_16,unroll_2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_4,pipeline_1,pipeline_1,unroll_4,unroll_2,unroll_8,unroll_4,unroll_4,pipeline_1,unroll_2,unroll_2,unroll_16,pipeline_1,unroll_2,unroll_2,pipeline_1,pipeline_1,unroll_8,pipeline_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_4,unroll_16,pipeline_1,unroll_2,unroll_8,pipeline_1,1,6.25,0.616936950055,False
