Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,OuterLoop_2,InnerLoop_1_2,Replicate_Count,Area,Weight,is_pareto
workload_3923.cpp,xcu200-fsgd2104-2-e,3.33,3.54293352,307,1,1,3,16,block_128_1,block_16_1,pipeline_1,unroll_64,3,5.25,0.663624292164,False
workload_4028.cpp,xcu200-fsgd2104-2-e,3.33,3.5497467,395,1,1,2,16,block_128_1,block_4_1,pipeline_1,unroll_64,1,5,0.693735534644,False
workload_4007.cpp,xcu200-fsgd2104-2-e,3.33,3.5497467,343,1,1,2,16,block_128_1,block_8_1,pipeline_1,unroll_64,3,5,0.693735534644,False
workload_4056.cpp,xcu200-fsgd2104-2-e,3.33,3.54293352,340,1,1,3,16,block_128_1,cyclic_16_1,pipeline_1,unroll_64,1,5.25,0.663624292164,False
workload_3780.cpp,xcu200-fsgd2104-2-e,3.33,31.42975878,871,1,1,2,15,block_16_1,block_16_1,unroll_64,unroll_4,1,4.75,0.249384647879,False
workload_3803.cpp,xcu200-fsgd2104-2-e,3.33,23.60042262,215,1,1,1,7,block_16_1,block_2_1,unroll_16,unroll_16,1,2.5,0.411224435363,False
workload_3799.cpp,xcu200-fsgd2104-2-e,3.33,23.5458639,259,1,1,1,7,block_16_1,block_32_1,unroll_16,unroll_8,1,2.5,0.412322406846,False
workload_3773.cpp,xcu200-fsgd2104-2-e,3.33,15.96360042,58.5,1,1,1,1,block_16_1,cyclic_16_1,unroll_2,unroll_16,2,1,0.614191018505,False
workload_3830.cpp,xcu200-fsgd2104-2-e,3.33,30.58533738,46,1,1,1,1,block_16_1,cyclic_16_1,unroll_2,unroll_2,1,1,0.295902162668,False
workload_3931.cpp,xcu200-fsgd2104-2-e,3.33,15.96360042,55,1,1,1,1,block_16_1,cyclic_2_1,unroll_2,unroll_16,1,1,0.614191018505,False
workload_3826.cpp,xcu200-fsgd2104-2-e,3.33,3.5497467,447.5,1,1,2,15,block_16_1,cyclic_8_1,pipeline_1,unroll_16,2,4.75,0.724629831067,False
workload_3883.cpp,xcu200-fsgd2104-2-e,3.33,3.5497467,523,1,1,3,16,block_16_1,cyclic_8_1,pipeline_1,unroll_8,1,5.25,0.663624504912,False
workload_3821.cpp,xcu200-fsgd2104-2-e,3.33,15.96360042,58,1,1,1,1,block_16_1,cyclic_8_1,unroll_2,unroll_16,1,1,0.614191018505,False
workload_3927.cpp,xcu200-fsgd2104-2-e,3.33,14.98154346,97,1,1,1,2,block_16_1,cyclic_8_1,unroll_2,unroll_64,1,1.25,0.639917771025,False
workload_3761.cpp,xcu200-fsgd2104-2-e,3.33,17.92771434,50,1,1,1,1,block_16_1,cyclic_8_1,unroll_2,unroll_8,1,1,0.562676127919,False
