Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,OuterLoop_1,OuterLoop_2,InnerLoop_1_1,InnerLoop_1_2,Replicate_Count,Area,Weight,is_pareto
workload_4267.cpp,xcu200-fsgd2104-2-e,3.33,10.68921675,174,1,1,1,2,block_128_1,block_32_1,block_4_1,block_8_1,unroll_2,unroll_64,pipeline_1,pipeline_1,1,1.25,0.957797992293,False
workload_4337.cpp,xcu200-fsgd2104-2-e,3.33,10.63471131,166,1,1,1,2,block_128_1,block_32_1,cyclic_2_1,block_8_1,unroll_2,unroll_64,pipeline_1,pipeline_1,1,1.25,0.961711811639,False
workload_4155.cpp,xcu200-fsgd2104-2-e,3.33,10.69257339,318,1,1,1,4,block_128_1,block_32_1,cyclic_64_1,block_8_1,unroll_2,unroll_64,pipeline_1,pipeline_1,1,1.75,0.892441144396,False
workload_4430.cpp,xcu200-fsgd2104-2-e,3.33,10.68916347,148,1,1,1,2,block_128_1,block_4_1,block_2_1,block_8_1,unroll_2,unroll_64,pipeline_1,pipeline_1,1,1.25,0.957801971728,False
workload_4297.cpp,xcu200-fsgd2104-2-e,3.33,10.68921675,133,1,1,1,2,block_128_1,block_4_1,block_2_1,cyclic_4_1,unroll_2,unroll_64,pipeline_1,pipeline_1,1,1.25,0.957797992293,False
workload_4206.cpp,xcu200-fsgd2104-2-e,3.33,12.66298767,182,1,1,1,3,block_128_1,block_4_1,cyclic_2_1,block_8_1,unroll_4,unroll_32,unroll_2,pipeline_1,1,1.5,0.736696138454,False
workload_4662.cpp,xcu200-fsgd2104-2-e,3.33,10.62441495,654,1,1,4,11,block_128_1,block_4_1,cyclic_2_1,block_8_1,unroll_4,unroll_64,pipeline_1,unroll_64,1,4.25,0.583960122701,False
workload_4198.cpp,xcu200-fsgd2104-2-e,3.33,10.79852067,97,1,1,1,2,block_128_1,block_4_1,cyclic_2_1,cyclic_4_1,unroll_2,unroll_8,pipeline_1,pipeline_1,1,1.25,0.949048025428,False
workload_4087.cpp,xcu200-fsgd2104-2-e,3.33,10.89656919,126,1,1,1,3,block_128_1,block_8_1,block_4_1,block_2_1,unroll_4,unroll_4,pipeline_1,unroll_8,1,1.5,0.891840052253,False
workload_4233.cpp,xcu200-fsgd2104-2-e,3.33,10.83134115,540,1,1,1,6,block_128_1,block_8_1,cyclic_128_1,cyclic_16_1,unroll_2,unroll_32,pipeline_1,unroll_64,1,2.25,0.773662841406,False
workload_4471.cpp,xcu200-fsgd2104-2-e,3.33,10.63471131,161,1,1,1,2,block_128_1,block_8_1,cyclic_2_1,block_16_1,unroll_2,unroll_64,pipeline_1,pipeline_1,1,1.25,0.961711811639,False
workload_4537.cpp,xcu200-fsgd2104-2-e,3.33,10.63471131,144,1,1,1,2,block_128_1,block_8_1,cyclic_2_1,block_8_1,unroll_2,unroll_64,pipeline_1,pipeline_1,1,1.25,0.961711811639,False
workload_4145.cpp,xcu200-fsgd2104-2-e,3.33,10.78818435,101,1,1,1,2,block_128_1,block_8_1,cyclic_2_1,cyclic_16_1,unroll_2,unroll_8,pipeline_1,unroll_8,1,1.25,0.949922797669,False
workload_4226.cpp,xcu200-fsgd2104-2-e,3.33,10.79163423,143,1,1,1,3,block_128_1,block_8_1,cyclic_2_1,cyclic_16_1,unroll_4,unroll_16,pipeline_1,unroll_4,1,1.5,0.896176282181,False
workload_4126.cpp,xcu200-fsgd2104-2-e,3.33,10.78822431,140,1,1,1,3,block_128_1,block_8_1,cyclic_2_1,cyclic_16_1,unroll_4,unroll_16,pipeline_1,unroll_8,1,1.5,0.896293021351,False
workload_4180.cpp,xcu200-fsgd2104-2-e,3.33,11.11715838,448,1,1,1,8,block_128_1,block_8_1,cyclic_32_1,cyclic_16_1,unroll_16,unroll_16,pipeline_1,unroll_8,1,2.75,0.657098279014,False
workload_4085.cpp,xcu200-fsgd2104-2-e,3.33,10.85631615,138,1,1,1,3,block_128_1,cyclic_16_1,block_4_1,cyclic_16_1,unroll_4,unroll_8,pipeline_1,unroll_8,1,1.5,0.893667404034,False
workload_4043.cpp,xcu200-fsgd2104-2-e,3.33,10.89659583,131,1,1,1,3,block_128_1,cyclic_2_1,block_4_1,block_2_1,unroll_4,unroll_8,pipeline_1,unroll_8,1,1.5,0.891838779381,False
workload_4730.cpp,xcu200-fsgd2104-2-e,3.33,10.62954315,154,1,1,1,2,block_128_1,cyclic_2_1,cyclic_2_1,cyclic_16_1,unroll_2,unroll_64,pipeline_1,unroll_16,1,1.25,0.962066255029,False
workload_4214.cpp,xcu200-fsgd2104-2-e,3.33,10.66913019,789,1,1,3,11,block_128_1,cyclic_4_1,cyclic_128_1,block_8_1,unroll_2,unroll_64,pipeline_1,unroll_64,1,4,0.583853387012,False
workload_4296.cpp,xcu200-fsgd2104-2-e,3.33,10.67254011,493,1,1,1,6,block_128_1,cyclic_4_1,cyclic_128_1,cyclic_4_1,unroll_2,unroll_64,pipeline_1,unroll_64,1,2.25,0.77568762196,False
workload_4300.cpp,xcu200-fsgd2104-2-e,3.33,10.69294635,213,1,1,1,3,block_128_1,cyclic_4_1,cyclic_16_1,block_2_1,unroll_2,unroll_64,pipeline_1,unroll_64,1,1.5,0.898874590429,False
workload_4390.cpp,xcu200-fsgd2104-2-e,3.33,10.69257339,248,1,1,1,3,block_128_1,cyclic_4_1,cyclic_64_1,cyclic_4_1,unroll_2,unroll_64,pipeline_1,pipeline_1,1,1.5,0.898882007878,False
workload_3883.cpp,xcu200-fsgd2104-2-e,3.33,22.67497566,1614,1,1,1,12,block_16_1,block_128_1,cyclic_128_1,cyclic_128_1,unroll_2,unroll_64,unroll_16,unroll_2,1,3.75,0.108241936557,False
workload_4014.cpp,xcu200-fsgd2104-2-e,3.33,21.4201251,672,1,1,1,4,block_16_1,block_128_1,cyclic_128_1,cyclic_4_1,unroll_2,unroll_64,unroll_2,unroll_8,1,1.75,0.148565443966,False
workload_4117.cpp,xcu200-fsgd2104-2-e,3.33,10.90087155,573,1,1,1,4,block_16_1,block_2_1,cyclic_128_1,block_8_1,unroll_2,unroll_8,pipeline_1,unroll_16,1,1.75,0.878446475512,False
workload_4745.cpp,xcu200-fsgd2104-2-e,3.33,10.62442827,262,1,1,3,6,block_16_1,block_2_1,cyclic_2_1,block_8_1,unroll_2,unroll_64,pipeline_1,unroll_64,1,2.75,0.662402072509,False
workload_4000.cpp,xcu200-fsgd2104-2-e,3.33,14.43842046,191,1,1,1,5,block_16_1,block_32_1,block_4_1,block_2_1,unroll_16,unroll_16,unroll_4,pipeline_1,1,2,0.549419541732,False
workload_4208.cpp,xcu200-fsgd2104-2-e,3.33,10.85654259,326,1,1,1,4,block_16_1,block_32_1,cyclic_128_1,block_2_1,unroll_2,unroll_32,pipeline_1,pipeline_1,1,1.75,0.881541982442,False
