Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
workload_324.cpp,xcu200-fsgd2104-2-e,3.33,0.69770493,131.5,1,1,2,2,pipeline_1,pipeline_1,4,1.5,1,True
workload_350.cpp,xcu200-fsgd2104-2-e,3.33,0.69770493,134.5,1,1,2,2,pipeline_1,unroll_16,2,1.5,1,True
workload_337.cpp,xcu200-fsgd2104-2-e,3.33,0.69770493,135.5,1,1,2,2,pipeline_1,unroll_2,2,1.5,1,True
workload_329.cpp,xcu200-fsgd2104-2-e,3.33,0.69770493,135,1,1,2,2,pipeline_1,unroll_32,2,1.5,1,True
workload_336.cpp,xcu200-fsgd2104-2-e,3.33,0.69770493,135.5,1,1,2,2,pipeline_1,unroll_4,2,1.5,1,True
workload_326.cpp,xcu200-fsgd2104-2-e,3.33,0.69770493,133,1,1,2,2,pipeline_1,unroll_64,2,1.5,1,True
workload_333.cpp,xcu200-fsgd2104-2-e,3.33,0.69770493,134,1,1,2,2,pipeline_1,unroll_8,2,1.5,1,True
workload_348.cpp,xcu200-fsgd2104-2-e,3.33,1.60969869,89.5,1,1,1,2,unroll_16,pipeline_1,2,1.25,1,True
workload_341.cpp,xcu200-fsgd2104-2-e,3.33,6.68365965,373,1,1,2,5,unroll_16,unroll_16,1,2.25,0.333348274757,False
workload_349.cpp,xcu200-fsgd2104-2-e,3.33,12.43960461,89,1,1,1,1,unroll_16,unroll_2,1,1,0.117809071316,False
workload_364.cpp,xcu200-fsgd2104-2-e,3.33,5.84481933,749,1,1,5,8,unroll_16,unroll_32,1,3.75,0.167104251434,False
workload_332.cpp,xcu200-fsgd2104-2-e,3.33,9.02968461,104,1,1,1,2,unroll_16,unroll_4,1,1.25,0.250996523129,False
workload_327.cpp,xcu200-fsgd2104-2-e,3.33,7.32472461,143,1,1,1,3,unroll_16,unroll_8,1,1.5,0.358614695894,False
workload_346.cpp,xcu200-fsgd2104-2-e,3.33,1.61119053,49,1,1,1,1,unroll_2,pipeline_1,2,1,0.999817370845,False
workload_330.cpp,xcu200-fsgd2104-2-e,3.33,6.68515149,57,1,1,1,1,unroll_2,unroll_16,1,1,0.421071511492,False
workload_325.cpp,xcu200-fsgd2104-2-e,3.33,12.44109645,47,1,1,1,1,unroll_2,unroll_2,1,1,0.117779110369,False
workload_372.cpp,xcu200-fsgd2104-2-e,3.33,5.84631117,68,1,1,1,1,unroll_2,unroll_32,1,1,0.49661977888,False
workload_367.cpp,xcu200-fsgd2104-2-e,3.33,9.03117645,50,1,1,1,1,unroll_2,unroll_4,1,1,0.252122410162,False
workload_321.cpp,xcu200-fsgd2104-2-e,3.33,5.42689101,105,1,1,1,2,unroll_2,unroll_64,1,1.25,0.533426857768,False
workload_334.cpp,xcu200-fsgd2104-2-e,3.33,7.32621645,52,1,1,1,1,unroll_2,unroll_8,1,1,0.368711530941,False
workload_331.cpp,xcu200-fsgd2104-2-e,3.33,1.60959213,378.5,1,1,2,5,unroll_32,pipeline_1,2,2.25,0.59916654356,False
workload_379.cpp,xcu200-fsgd2104-2-e,3.33,6.68355309,1715,1,1,5,9,unroll_32,unroll_16,1,4,0.130931645278,False
workload_339.cpp,xcu200-fsgd2104-2-e,3.33,12.43949805,206,1,1,1,3,unroll_32,unroll_2,1,1.5,0.116422033527,False
workload_376.cpp,xcu200-fsgd2104-2-e,3.33,9.02957805,275,1,1,2,4,unroll_32,unroll_4,1,2,0.224346934718,False
workload_380.cpp,xcu200-fsgd2104-2-e,3.33,7.32461805,380,1,1,3,5,unroll_32,unroll_8,1,2.5,0.26771208537,False
workload_347.cpp,xcu200-fsgd2104-2-e,3.33,1.61033805,53,1,1,1,1,unroll_4,pipeline_1,2,1,0.999939121556,False
workload_373.cpp,xcu200-fsgd2104-2-e,3.33,6.68429901,76,1,1,1,1,unroll_4,unroll_16,1,1,0.421144240072,False
workload_320.cpp,xcu200-fsgd2104-2-e,3.33,12.44024397,52,1,1,1,1,unroll_4,unroll_2,1,1,0.117796227821,False
workload_328.cpp,xcu200-fsgd2104-2-e,3.33,5.84545869,96,1,1,1,2,unroll_4,unroll_32,1,1.25,0.493296118675,False
workload_365.cpp,xcu200-fsgd2104-2-e,3.33,9.03032397,56,1,1,1,1,unroll_4,unroll_4,1,1,0.252172472595,False
workload_375.cpp,xcu200-fsgd2104-2-e,3.33,5.42603853,219,1,1,2,4,unroll_4,unroll_64,1,2,0.453088333437,False
workload_353.cpp,xcu200-fsgd2104-2-e,3.33,7.32536397,62,1,1,1,1,unroll_4,unroll_8,1,1,0.368778065865,False
workload_377.cpp,xcu200-fsgd2104-2-e,3.33,12.43944477,773,1,1,3,6,unroll_64,unroll_2,1,2.75,0.102260330975,False
workload_378.cpp,xcu200-fsgd2104-2-e,3.33,9.02952477,1043,1,1,4,7,unroll_64,unroll_4,1,3.25,0.139240062373,False
workload_383.cpp,xcu200-fsgd2104-2-e,3.33,7.32456477,1585,1,1,6,11,unroll_64,unroll_8,1,4.75,0.1,False
workload_322.cpp,xcu200-fsgd2104-2-e,3.33,1.60991181,61,1,1,1,1,unroll_8,pipeline_1,2,1,1,True
workload_323.cpp,xcu200-fsgd2104-2-e,3.33,6.68387277,122,1,1,1,2,unroll_8,unroll_16,1,1.25,0.418615093568,False
workload_362.cpp,xcu200-fsgd2104-2-e,3.33,12.43981773,65,1,1,1,1,unroll_8,unroll_2,1,1,0.117804789636,False
workload_360.cpp,xcu200-fsgd2104-2-e,3.33,5.84503245,233,1,1,2,4,unroll_8,unroll_32,1,2,0.422794939191,False
workload_356.cpp,xcu200-fsgd2104-2-e,3.33,9.02989773,69,1,1,1,1,unroll_8,unroll_4,1,1,0.252197506901,False
workload_340.cpp,xcu200-fsgd2104-2-e,3.33,5.42561229,554,1,1,4,8,unroll_8,unroll_64,1,3.5,0.205959265986,False
workload_374.cpp,xcu200-fsgd2104-2-e,3.33,7.32493773,81,1,1,1,1,unroll_8,unroll_8,1,1,0.368811336415,False
workload_260.cpp,xcu200-fsgd2104-2-e,5,1.0465825,126,1,1,2,2,pipeline_1,pipeline_1,4,1.5,1,True
workload_292.cpp,xcu200-fsgd2104-2-e,5,1.0465825,128,1,1,2,2,pipeline_1,unroll_16,2,1.5,1,True
workload_273.cpp,xcu200-fsgd2104-2-e,5,1.0465825,130,1,1,2,2,pipeline_1,unroll_2,2,1.5,1,True
workload_264.cpp,xcu200-fsgd2104-2-e,5,1.0465825,129,1,1,2,2,pipeline_1,unroll_32,2,1.5,1,True
workload_272.cpp,xcu200-fsgd2104-2-e,5,1.0465825,127,1,1,2,2,pipeline_1,unroll_4,2,1.5,1,True
workload_263.cpp,xcu200-fsgd2104-2-e,5,1.0465825,129.5,1,1,2,2,pipeline_1,unroll_64,2,1.5,1,True
