Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,Array_7,Array_8,Array_9,Array_10,OuterLoop_1,OuterLoop_2,OuterLoop_3,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
workload_5292.cpp,xcu200-fsgd2104-2-e,3.33,5.71459968,292,3,1,1,9,block_128_1,block_64_1,block_128_1,cyclic_4_1,block_64_1,block_128_1,block_4_1,cyclic_32_1,cyclic_2_1,complete_1,unroll_16,pipeline_1,unroll_8,pipeline_1,1,3.5,0.695413620979,False
workload_5520.cpp,xcu200-fsgd2104-2-e,3.33,5.69114316,299,3,1,1,10,block_128_1,cyclic_2_1,cyclic_2_1,cyclic_8_1,cyclic_4_1,cyclic_4_1,cyclic_64_1,cyclic_4_1,cyclic_4_1,complete_1,unroll_32,pipeline_1,unroll_8,pipeline_1,1,3.75,0.683574109371,False
workload_4715.cpp,xcu200-fsgd2104-2-e,3.33,18.9362448,196,1,1,2,5,block_16_1,block_16_1,block_2_1,cyclic_4_1,block_2_1,block_16_1,cyclic_64_1,block_8_1,block_32_1,complete_1,unroll_64,unroll_4,unroll_4,unroll_2,1,2.25,0.329203844031,False
workload_4819.cpp,xcu200-fsgd2104-2-e,3.33,18.92987784,210,1,1,2,5,block_16_1,block_16_1,block_2_1,cyclic_4_1,block_2_1,block_64_1,block_4_1,block_8_1,cyclic_2_1,complete_1,unroll_64,unroll_4,unroll_4,unroll_2,1,2.25,0.329398652811,False
workload_4945.cpp,xcu200-fsgd2104-2-e,3.33,5.71310784,109,1,1,2,5,block_16_1,block_16_1,block_2_1,cyclic_64_1,block_16_1,cyclic_2_1,block_4_1,block_8_1,cyclic_2_1,complete_1,unroll_32,pipeline_1,unroll_4,pipeline_1,1,2.25,0.810366159989,False
workload_4944.cpp,xcu200-fsgd2104-2-e,3.33,5.74747344,94,1,1,1,3,block_16_1,block_16_1,block_2_1,cyclic_64_1,block_2_1,block_64_1,block_4_1,block_4_1,cyclic_2_1,complete_1,unroll_16,unroll_2,unroll_4,pipeline_1,1,1.5,0.918646510404,False
workload_4864.cpp,xcu200-fsgd2104-2-e,3.33,5.74747344,97,1,1,1,4,block_16_1,block_16_1,block_2_1,cyclic_64_1,block_2_1,block_64_1,block_4_1,block_8_1,cyclic_2_1,complete_1,unroll_16,unroll_2,unroll_4,pipeline_1,1,1.75,0.88422848904,False
workload_4725.cpp,xcu200-fsgd2104-2-e,3.33,18.9467676,195,1,1,2,6,block_16_1,block_2_1,cyclic_128_1,cyclic_32_1,block_64_1,block_8_1,block_8_1,cyclic_2_1,block_4_1,complete_1,unroll_32,unroll_4,unroll_16,unroll_2,1,2.5,0.323644798375,False
workload_4873.cpp,xcu200-fsgd2104-2-e,3.33,18.9407736,115,1,1,1,4,block_16_1,cyclic_4_1,block_16_1,block_8_1,cyclic_4_1,block_16_1,block_8_1,cyclic_16_1,block_2_1,complete_1,unroll_32,unroll_4,unroll_16,unroll_2,1,1.75,0.336612260679,False
workload_4797.cpp,xcu200-fsgd2104-2-e,3.33,18.93455649,169,1,1,2,5,block_16_1,cyclic_4_1,block_2_1,cyclic_4_1,block_2_1,block_16_1,cyclic_64_1,cyclic_2_1,block_32_1,complete_1,unroll_64,unroll_2,unroll_2,unroll_2,1,2.25,0.329255493316,False
workload_4766.cpp,xcu200-fsgd2104-2-e,3.33,18.93285153,166,1,1,2,5,block_16_1,cyclic_4_1,block_2_1,cyclic_4_1,block_2_1,block_16_1,cyclic_64_1,cyclic_2_1,block_32_1,complete_1,unroll_64,unroll_4,unroll_2,unroll_2,1,2.25,0.329307657562,False
