Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,Array_7,Array_8,Array_9,Array_10,OuterLoop_1,OuterLoop_2,OuterLoop_3,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
workload_5190.cpp,xcu200-fsgd2104-2-e,3.33,3.67353612,137,3,1,1,3,block_128_1,block_128_1,cyclic_8_1,block_4_1,block_16_1,cyclic_2_1,block_2_1,block_4_1,block_64_1,complete_1,unroll_2,pipeline_1,unroll_16,pipeline_1,1,2,0.768745608425,False
workload_4561.cpp,xcu200-fsgd2104-2-e,3.33,3.72142152,1780,3,1,1,8,block_128_1,block_2_1,cyclic_128_1,cyclic_128_1,block_32_1,block_4_1,cyclic_8_1,block_4_1,block_8_1,complete_1,unroll_8,unroll_8,unroll_4,pipeline_1,1,3.25,0.523812073681,False
workload_4665.cpp,xcu200-fsgd2104-2-e,3.33,3.72142152,669,3,1,1,7,block_128_1,block_2_1,cyclic_128_1,cyclic_32_1,block_32_1,block_4_1,cyclic_8_1,block_4_1,block_8_1,complete_1,unroll_8,unroll_8,unroll_4,pipeline_1,1,3,0.569070424338,False
workload_4721.cpp,xcu200-fsgd2104-2-e,3.33,3.7180116,595,3,1,1,8,block_128_1,block_2_1,cyclic_128_1,cyclic_4_1,block_32_1,block_64_1,cyclic_8_1,block_4_1,block_8_1,complete_1,unroll_8,unroll_8,unroll_4,pipeline_1,1,3.25,0.523843834467,False
workload_4637.cpp,xcu200-fsgd2104-2-e,3.33,3.72270024,1641,3,1,1,6,block_128_1,block_2_1,cyclic_128_1,cyclic_64_1,block_32_1,block_4_1,cyclic_8_1,block_4_1,block_8_1,complete_1,unroll_2,unroll_8,unroll_4,pipeline_1,1,2.75,0.616336514432,False
workload_4630.cpp,xcu200-fsgd2104-2-e,3.33,3.72142152,1560,3,1,1,8,block_128_1,block_2_1,cyclic_128_1,cyclic_64_1,block_32_1,block_4_1,cyclic_8_1,block_4_1,block_8_1,complete_1,unroll_8,unroll_8,unroll_4,pipeline_1,1,3.25,0.523812073681,False
workload_4745.cpp,xcu200-fsgd2104-2-e,3.33,8.40890268,1227,3,1,1,17,block_128_1,block_32_1,cyclic_2_1,cyclic_32_1,block_4_1,cyclic_64_1,cyclic_2_1,block_32_1,cyclic_8_1,complete_1,unroll_2,pipeline_1,unroll_64,unroll_64,1,5.5,0.18702520288,False
workload_4716.cpp,xcu200-fsgd2104-2-e,3.33,3.72270024,207,3,1,1,4,block_128_1,block_64_1,block_16_1,cyclic_32_1,block_32_1,block_4_1,block_4_1,block_4_1,block_8_1,complete_1,unroll_2,unroll_8,unroll_4,pipeline_1,1,2.25,0.716054715193,False
workload_4679.cpp,xcu200-fsgd2104-2-e,3.33,3.69059904,150,3,1,1,3,block_128_1,block_64_1,cyclic_64_1,cyclic_32_1,block_16_1,block_4_1,block_4_1,block_4_1,block_32_1,complete_1,unroll_2,pipeline_1,unroll_64,pipeline_1,1,2,0.768300843657,False
workload_4786.cpp,xcu200-fsgd2104-2-e,3.33,3.71025936,786,3,1,1,5,block_128_1,cyclic_2_1,cyclic_32_1,block_4_1,cyclic_8_1,cyclic_2_1,block_4_1,block_4_1,block_32_1,complete_1,unroll_4,unroll_32,unroll_16,pipeline_1,1,2.5,0.66565509757,False
workload_4932.cpp,xcu200-fsgd2104-2-e,3.33,3.67013952,173,3,1,1,3,block_128_1,cyclic_2_1,cyclic_8_1,cyclic_2_1,cyclic_4_1,cyclic_128_1,block_4_1,block_4_1,block_64_1,complete_1,unroll_2,pipeline_1,unroll_16,pipeline_1,1,2,0.768833488471,False
workload_5411.cpp,xcu200-fsgd2104-2-e,3.33,3.66671628,110,3,1,1,2,block_128_1,cyclic_2_1,cyclic_8_1,cyclic_4_1,cyclic_4_1,cyclic_2_1,block_4_1,block_4_1,block_64_1,complete_1,unroll_2,pipeline_1,unroll_32,pipeline_1,1,1.75,0.820067416913,False
workload_4701.cpp,xcu200-fsgd2104-2-e,3.33,3.72824136,724,3,1,1,8,block_128_1,cyclic_8_1,cyclic_128_1,cyclic_32_1,block_32_1,block_16_1,block_8_1,block_4_1,block_8_1,complete_1,unroll_8,unroll_8,unroll_4,pipeline_1,1,3.25,0.523748282301,False
workload_4658.cpp,xcu200-fsgd2104-2-e,3.33,18.94178592,355,1,1,2,6,block_16_1,block_16_1,block_16_1,cyclic_4_1,block_2_1,cyclic_32_1,cyclic_64_1,block_4_1,block_64_1,complete_1,unroll_64,unroll_16,unroll_4,unroll_2,1,2.5,0.15272123353,False
workload_4555.cpp,xcu200-fsgd2104-2-e,3.33,18.9362448,284,1,1,2,5,block_16_1,block_16_1,block_2_1,cyclic_4_1,block_2_1,block_16_1,cyclic_64_1,block_8_1,block_32_1,complete_1,unroll_64,unroll_4,unroll_4,unroll_2,1,2.25,0.157120434094,False
workload_4736.cpp,xcu200-fsgd2104-2-e,3.33,10.46343609,376,1,1,2,6,block_16_1,block_2_1,block_16_1,cyclic_32_1,block_64_1,block_8_1,cyclic_16_1,block_4_1,block_64_1,complete_1,unroll_8,unroll_16,unroll_2,unroll_16,1,2.5,0.418047098656,False
workload_4629.cpp,xcu200-fsgd2104-2-e,3.33,10.46343609,480,1,1,2,6,block_16_1,block_2_1,block_16_1,cyclic_32_1,block_64_1,cyclic_32_1,cyclic_8_1,block_4_1,block_64_1,complete_1,unroll_8,unroll_16,unroll_2,unroll_16,1,2.5,0.418047098656,False
workload_4678.cpp,xcu200-fsgd2104-2-e,3.33,10.45661625,290,1,1,2,6,block_16_1,block_2_1,block_16_1,cyclic_4_1,block_64_1,block_64_1,cyclic_8_1,block_4_1,block_64_1,complete_1,unroll_8,unroll_16,unroll_2,unroll_16,1,2.5,0.418325773167,False
workload_4728.cpp,xcu200-fsgd2104-2-e,3.33,10.45832121,296,1,1,2,5,block_16_1,block_2_1,block_2_1,cyclic_2_1,block_64_1,cyclic_128_1,cyclic_8_1,block_16_1,block_32_1,complete_1,unroll_8,unroll_4,unroll_2,unroll_16,1,2.25,0.438199978836,False
workload_4634.cpp,xcu200-fsgd2104-2-e,3.33,10.45832121,254,1,1,2,5,block_16_1,block_2_1,block_2_1,cyclic_32_1,block_64_1,block_16_1,cyclic_8_1,block_16_1,block_32_1,complete_1,unroll_8,unroll_4,unroll_2,unroll_16,1,2.25,0.438199978836,False
workload_4636.cpp,xcu200-fsgd2104-2-e,3.33,18.94658112,455,1,1,2,8,block_16_1,block_2_1,cyclic_128_1,cyclic_32_1,block_64_1,block_8_1,block_64_1,cyclic_2_1,block_4_1,complete_1,unroll_32,unroll_4,unroll_8,unroll_2,1,3,0.14269239635,False
workload_4574.cpp,xcu200-fsgd2104-2-e,3.33,18.9467676,304,1,1,2,6,block_16_1,block_2_1,cyclic_128_1,cyclic_32_1,block_64_1,block_8_1,block_8_1,cyclic_2_1,block_4_1,complete_1,unroll_32,unroll_4,unroll_16,unroll_2,1,2.5,0.152627129276,False
workload_4686.cpp,xcu200-fsgd2104-2-e,3.33,18.89116992,137,1,1,1,3,block_16_1,block_2_1,cyclic_8_1,cyclic_2_1,cyclic_4_1,cyclic_128_1,block_4_1,cyclic_64_1,block_32_1,complete_1,unroll_8,pipeline_1,unroll_16,unroll_2,1,1.5,0.166951288925,False
workload_4799.cpp,xcu200-fsgd2104-2-e,3.33,18.89457984,143,1,1,1,2,block_16_1,block_2_1,cyclic_8_1,cyclic_32_1,cyclic_4_1,block_16_1,block_4_1,cyclic_128_1,block_32_1,complete_1,unroll_8,pipeline_1,unroll_16,unroll_2,1,1.25,0.168222410806,False
workload_4730.cpp,xcu200-fsgd2104-2-e,3.33,18.89457984,105,1,1,1,2,block_16_1,block_2_1,cyclic_8_1,cyclic_32_1,cyclic_4_1,block_16_1,block_4_1,cyclic_64_1,block_32_1,complete_1,unroll_8,pipeline_1,unroll_16,unroll_2,1,1.25,0.168222410806,False
workload_4672.cpp,xcu200-fsgd2104-2-e,3.33,10.47815136,621,1,3,3,9,block_16_1,block_64_1,cyclic_64_1,cyclic_16_1,block_16_1,block_32_1,cyclic_16_1,cyclic_128_1,cyclic_2_1,complete_1,unroll_32,pipeline_1,unroll_64,unroll_8,1,4,0.281782353586,False
workload_4877.cpp,xcu200-fsgd2104-2-e,3.33,3.68719245,145,1,1,1,3,block_16_1,cyclic_128_1,cyclic_64_1,cyclic_32_1,block_16_1,block_32_1,cyclic_8_1,cyclic_64_1,block_64_1,complete_1,unroll_2,pipeline_1,unroll_2,pipeline_1,1,1.5,0.86589107839,False
workload_4908.cpp,xcu200-fsgd2104-2-e,3.33,3.68548416,146,1,1,1,3,block_16_1,cyclic_128_1,cyclic_8_1,block_2_1,block_16_1,cyclic_64_1,cyclic_8_1,cyclic_64_1,block_64_1,complete_1,unroll_2,pipeline_1,unroll_64,pipeline_1,1,1.5,0.865974912467,False
workload_4775.cpp,xcu200-fsgd2104-2-e,3.33,3.68889408,116,1,1,1,2,block_16_1,cyclic_128_1,cyclic_8_1,cyclic_32_1,block_16_1,block_16_1,cyclic_8_1,block_32_1,block_64_1,complete_1,unroll_2,pipeline_1,unroll_64,pipeline_1,1,1.25,0.911428215348,False
workload_4828.cpp,xcu200-fsgd2104-2-e,3.33,3.68889408,134,1,1,1,2,block_16_1,cyclic_128_1,cyclic_8_1,cyclic_32_1,block_16_1,block_32_1,cyclic_8_1,block_32_1,block_64_1,complete_1,unroll_2,pipeline_1,unroll_64,pipeline_1,1,1.25,0.911428215348,False
workload_4838.cpp,xcu200-fsgd2104-2-e,3.33,3.68889408,137,1,1,1,2,block_16_1,cyclic_128_1,cyclic_8_1,cyclic_32_1,block_16_1,block_32_1,cyclic_8_1,cyclic_64_1,block_64_1,complete_1,unroll_2,pipeline_1,unroll_64,pipeline_1,1,1.25,0.911428215348,False
workload_4881.cpp,xcu200-fsgd2104-2-e,3.33,10.45416204,93,1,1,1,1,block_16_1,cyclic_2_1,cyclic_4_1,block_4_1,block_2_1,block_16_1,cyclic_8_1,block_32_1,block_64_1,complete_1,unroll_2,pipeline_1,unroll_64,unroll_8,1,1,0.4903125572,False
workload_4642.cpp,xcu200-fsgd2104-2-e,3.33,10.51379568,1054,1,3,3,8,block_16_1,cyclic_32_1,cyclic_2_1,cyclic_16_1,block_4_1,block_8_1,cyclic_16_1,cyclic_128_1,cyclic_2_1,complete_1,unroll_32,unroll_2,unroll_64,unroll_8,1,3.75,0.303390149845,False
workload_4943.cpp,xcu200-fsgd2104-2-e,3.33,3.67524108,72,1,1,1,1,block_16_1,cyclic_4_1,block_2_1,block_2_1,block_2_1,block_16_1,cyclic_8_1,block_32_1,block_64_1,complete_1,unroll_2,pipeline_1,unroll_64,pipeline_1,1,1,0.939137592033,False
workload_4673.cpp,xcu200-fsgd2104-2-e,3.33,24.729246,249,1,1,1,4,block_16_1,cyclic_4_1,cyclic_16_1,cyclic_4_1,cyclic_128_1,cyclic_4_1,block_4_1,block_2_1,cyclic_16_1,complete_1,unroll_16,unroll_16,unroll_4,unroll_2,1,1.75,0.100031889807,False
workload_4628.cpp,xcu200-fsgd2104-2-e,3.33,10.47474144,942,1,3,3,9,block_16_1,cyclic_4_1,cyclic_64_1,cyclic_16_1,block_16_1,block_8_1,cyclic_16_1,cyclic_128_1,cyclic_2_1,complete_1,unroll_32,pipeline_1,unroll_64,unroll_8,1,4,0.281863510546,False
workload_4844.cpp,xcu200-fsgd2104-2-e,3.33,3.67866432,88,1,1,1,1,block_16_1,cyclic_4_1,cyclic_8_1,block_2_1,cyclic_4_1,block_16_1,cyclic_8_1,block_32_1,block_64_1,complete_1,unroll_2,pipeline_1,unroll_64,pipeline_1,1,1,0.938868115571,False
