Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,Array_7,Array_8,Array_9,Array_10,Array_11,Array_12,Array_13,Array_14,OuterLoop_1,OuterLoop_2,OuterLoop_3,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
workload_4604.cpp,xcu200-fsgd2104-2-e,3.33,7.63924311,523,3,1,2,13,block_128_1,block_2_1,cyclic_8_1,block_2_1,block_16_1,block_4_1,block_4_1,block_2_1,block_128_1,block_64_1,cyclic_2_1,cyclic_16_1,block_32_1,complete_1,unroll_16,unroll_2,unroll_32,unroll_4,1,4.75,0.304599625345,False
workload_4590.cpp,xcu200-fsgd2104-2-e,3.33,7.64606295,535,3,1,2,13,block_128_1,block_2_1,cyclic_8_1,cyclic_16_1,block_16_1,block_4_1,block_4_1,block_2_1,block_128_1,block_64_1,block_32_1,cyclic_16_1,block_32_1,complete_1,unroll_16,unroll_2,unroll_32,unroll_4,1,4.75,0.304386042601,False
workload_4528.cpp,xcu200-fsgd2104-2-e,3.33,7.64606295,520,3,1,2,13,block_128_1,block_2_1,cyclic_8_1,cyclic_16_1,block_8_1,block_4_1,block_4_1,block_2_1,block_128_1,block_64_1,block_32_1,cyclic_16_1,block_32_1,complete_1,unroll_16,unroll_2,unroll_32,unroll_4,1,4.75,0.304386042601,False
workload_4608.cpp,xcu200-fsgd2104-2-e,3.33,7.64606295,551,4,2,2,13,block_128_1,block_4_1,cyclic_8_1,cyclic_16_1,block_8_1,block_4_1,block_4_1,block_2_1,block_128_1,block_64_1,block_32_1,cyclic_16_1,block_32_1,complete_1,unroll_16,unroll_2,unroll_32,unroll_4,1,5.25,0.280970956807,False
workload_4502.cpp,xcu200-fsgd2104-2-e,3.33,7.98705495,587,6,2,2,13,block_128_1,block_8_1,cyclic_8_1,cyclic_16_1,cyclic_32_1,block_4_1,block_128_1,block_2_1,cyclic_2_1,cyclic_64_1,block_32_1,block_4_1,block_32_1,complete_1,unroll_16,unroll_2,unroll_32,unroll_4,1,5.75,0.249492185081,False
workload_4607.cpp,xcu200-fsgd2104-2-e,3.33,7.64264637,486,4,1,1,11,block_128_1,cyclic_4_1,block_64_1,cyclic_16_1,block_4_1,block_4_1,block_4_1,block_4_1,cyclic_8_1,block_64_1,block_32_1,cyclic_2_1,block_32_1,complete_1,unroll_16,unroll_2,unroll_32,unroll_4,1,4.25,0.327881139764,False
workload_4632.cpp,xcu200-fsgd2104-2-e,3.33,7.64265969,589,4,1,2,13,block_128_1,cyclic_4_1,cyclic_8_1,block_16_1,block_4_1,block_4_1,block_128_1,block_2_1,block_128_1,cyclic_8_1,block_32_1,cyclic_2_1,block_32_1,complete_1,unroll_16,unroll_2,unroll_32,unroll_4,1,5,0.292756287755,False
workload_4576.cpp,xcu200-fsgd2104-2-e,3.33,7.63924311,506,4,1,1,12,block_128_1,cyclic_4_1,cyclic_8_1,cyclic_16_1,block_4_1,block_4_1,block_4_1,block_2_1,block_128_1,cyclic_4_1,block_32_1,cyclic_2_1,block_32_1,complete_1,unroll_16,unroll_2,unroll_32,unroll_4,1,4.5,0.316333351038,False
workload_4934.cpp,xcu200-fsgd2104-2-e,3.33,0.054279,90,1,0,0,2,block_16_1,block_2_1,block_2_1,block_4_1,block_2_1,cyclic_4_1,block_16_1,block_4_1,block_32_1,cyclic_4_1,cyclic_16_1,cyclic_16_1,block_16_1,complete_1,unroll_2,pipeline_1,unroll_2,unroll_2,1,0.75,0.929624505996,False
workload_5001.cpp,xcu200-fsgd2104-2-e,3.33,0.054279,79,1,0,0,1,block_16_1,block_2_1,block_2_1,block_4_1,block_4_1,cyclic_2_1,cyclic_2_1,block_4_1,block_32_1,cyclic_4_1,cyclic_2_1,cyclic_16_1,block_16_1,complete_1,unroll_2,pipeline_1,unroll_2,unroll_2,1,0.5,0.964454135236,False
