Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,Replicate_Count,Area,Weight,is_pareto
krnl_KALMAN_10215.cpp,xcu200-fsgd2104-2-e,3.33,1.85537277,312,14,1,1,6,block_128_1,block_4_1,block_2_1,block_16_1,pipeline_1,unroll_16,pipeline_1,unroll_2,unroll_8,unroll_64,unroll_8,1,5.5,0.817871871948,False
krnl_KALMAN_10264.cpp,xcu200-fsgd2104-2-e,3.33,8.85587526,217,14,0,0,4,block_128_1,block_4_1,block_2_1,block_16_1,pipeline_1,unroll_16,unroll_4,unroll_2,unroll_8,pipeline_1,unroll_8,1,4.5,0.692223869026,False
krnl_KALMAN_10000.cpp,xcu200-fsgd2104-2-e,3.33,1.29314889,1228,14,1,4,25,block_128_1,block_4_1,block_2_1,block_16_1,pipeline_1,unroll_2,pipeline_1,unroll_32,unroll_8,unroll_64,unroll_8,1,11,0.556075647619,False
krnl_KALMAN_9947.cpp,xcu200-fsgd2104-2-e,3.33,1.33025841,555,14,1,2,15,block_128_1,block_4_1,block_2_1,block_16_1,pipeline_1,unroll_8,pipeline_1,unroll_16,unroll_8,unroll_64,unroll_8,1,8,0.714911194135,False
krnl_KALMAN_9719.cpp,xcu200-fsgd2104-2-e,3.33,6.35818212,1564,14,1,7,69,block_128_1,block_4_1,block_2_1,block_16_1,unroll_4,unroll_4,pipeline_1,unroll_64,pipeline_1,unroll_64,unroll_2,1,22.75,0.157745533067,False
krnl_KALMAN_9612.cpp,xcu200-fsgd2104-2-e,3.33,1.65760074,784,14,1,7,24,block_128_1,block_4_1,block_2_1,block_16_1,unroll_4,unroll_8,pipeline_1,unroll_16,unroll_8,unroll_64,unroll_8,1,11.5,0.531501688303,False
krnl_KALMAN_10251.cpp,xcu200-fsgd2104-2-e,3.33,1.90979829,1649,14,1,1,6,block_128_1,block_4_1,block_2_1,block_32_1,pipeline_1,unroll_16,pipeline_1,unroll_2,unroll_8,unroll_16,unroll_8,1,5.5,0.817056973866,False
krnl_KALMAN_9880.cpp,xcu200-fsgd2104-2-e,3.33,1.65760074,812,14,1,7,24,block_128_1,block_4_1,block_2_1,block_32_1,unroll_4,unroll_8,pipeline_1,unroll_16,unroll_8,unroll_64,unroll_8,1,11.5,0.531501688303,False
krnl_KALMAN_9828.cpp,xcu200-fsgd2104-2-e,3.33,1.95110361,245,14,1,5,11,block_128_1,block_4_1,block_32_1,block_16_1,pipeline_1,unroll_8,pipeline_1,unroll_2,unroll_8,unroll_16,unroll_8,1,7.75,0.725722823655,False
krnl_KALMAN_9793.cpp,xcu200-fsgd2104-2-e,3.33,1.95097041,349,14,1,5,11,block_128_1,block_4_1,block_32_1,block_32_1,pipeline_1,unroll_4,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_8,1,7.75,0.72572378799,False
krnl_KALMAN_9839.cpp,xcu200-fsgd2104-2-e,3.33,4.76105751,808,14,0,2,8,block_128_1,block_4_1,block_32_1,block_8_1,unroll_4,unroll_8,unroll_8,pipeline_1,unroll_8,pipeline_1,unroll_8,1,6,0.751330471012,False
krnl_KALMAN_10158.cpp,xcu200-fsgd2104-2-e,3.33,3.00784581,507,14,1,2,12,block_128_1,block_4_1,cyclic_16_1,block_16_1,pipeline_1,unroll_8,pipeline_1,unroll_16,unroll_8,unroll_64,pipeline_1,1,7.25,0.739029406059,False
krnl_KALMAN_10023.cpp,xcu200-fsgd2104-2-e,3.33,1.33016517,586,14,1,2,15,block_128_1,block_4_1,cyclic_16_1,block_16_1,pipeline_1,unroll_8,pipeline_1,unroll_16,unroll_8,unroll_64,unroll_8,1,8,0.714911458525,False
krnl_KALMAN_9987.cpp,xcu200-fsgd2104-2-e,3.33,1.60293879,862,14,1,4,18,block_128_1,block_4_1,cyclic_16_1,block_16_1,unroll_4,unroll_8,pipeline_1,unroll_16,unroll_8,unroll_64,unroll_8,1,9.25,0.645486395418,False
krnl_KALMAN_10355.cpp,xcu200-fsgd2104-2-e,3.33,1.28260611,401,14,1,1,5,block_128_1,block_4_1,cyclic_16_1,block_32_1,pipeline_1,unroll_8,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,1,5.25,0.826344621409,False
krnl_KALMAN_10518.cpp,xcu200-fsgd2104-2-e,3.33,13.56464511,495,14,3,2,8,block_128_1,block_4_1,cyclic_2_1,cyclic_4_1,pipeline_1,unroll_64,unroll_2,pipeline_1,unroll_8,unroll_64,unroll_8,1,6.75,0.544282352411,False
krnl_KALMAN_9813.cpp,xcu200-fsgd2104-2-e,3.33,1.69853643,893,14,1,7,24,block_128_1,block_4_1,cyclic_32_1,block_16_1,unroll_4,unroll_8,pipeline_1,unroll_16,unroll_8,pipeline_1,unroll_8,1,11.5,0.531448604319,False
krnl_KALMAN_9597.cpp,xcu200-fsgd2104-2-e,3.33,8.10594594,956,14,0,2,63,block_128_1,block_4_1,cyclic_32_1,block_4_1,unroll_4,unroll_4,unroll_8,unroll_64,pipeline_1,pipeline_1,unroll_2,1,19.75,0.216640027942,False
krnl_KALMAN_9735.cpp,xcu200-fsgd2104-2-e,3.33,3.40344648,1254,14,0,3,18,block_128_1,block_4_1,cyclic_32_1,block_4_1,unroll_4,unroll_8,unroll_8,unroll_16,unroll_8,pipeline_1,unroll_8,1,8.75,0.661355550449,False
krnl_KALMAN_10286.cpp,xcu200-fsgd2104-2-e,3.33,13.87576368,1389,14,3,5,29,block_128_1,block_4_1,cyclic_32_1,block_8_1,pipeline_1,unroll_2,unroll_2,unroll_32,unroll_8,unroll_64,unroll_8,1,12.75,0.379174704258,False
krnl_KALMAN_9829.cpp,xcu200-fsgd2104-2-e,3.33,4.72163031,676,14,0,2,8,block_128_1,block_4_1,cyclic_32_1,block_8_1,unroll_4,unroll_8,unroll_8,pipeline_1,unroll_8,pipeline_1,unroll_8,1,6,0.752100862361,False
krnl_KALMAN_9639.cpp,xcu200-fsgd2104-2-e,3.33,30.09098889,1262,14,0,2,63,block_128_1,block_4_1,cyclic_32_1,cyclic_8_1,pipeline_1,unroll_64,unroll_8,unroll_64,pipeline_1,pipeline_1,unroll_2,1,19.75,0.119108270949,False
krnl_KALMAN_9912.cpp,xcu200-fsgd2104-2-e,3.33,28.79367417,381,14,0,0,5,block_128_1,block_4_1,cyclic_32_1,cyclic_8_1,unroll_8,unroll_16,unroll_4,pipeline_1,pipeline_1,pipeline_1,pipeline_1,1,4.75,0.272178639437,False
krnl_KALMAN_10146.cpp,xcu200-fsgd2104-2-e,3.33,3.11690997,755,14,1,2,34,block_128_1,block_4_1,cyclic_4_1,block_16_1,pipeline_1,unroll_16,pipeline_1,unroll_16,unroll_8,unroll_64,unroll_4,1,12.75,0.470975849892,False
krnl_KALMAN_10211.cpp,xcu200-fsgd2104-2-e,3.33,1.30974228,341,14,1,5,11,block_128_1,block_4_1,cyclic_4_1,block_16_1,pipeline_1,unroll_32,pipeline_1,pipeline_1,unroll_8,unroll_64,unroll_4,1,7.75,0.729153507841,False
krnl_KALMAN_10249.cpp,xcu200-fsgd2104-2-e,3.33,1.30990545,486,14,1,1,5,block_128_1,block_4_1,cyclic_4_1,block_16_1,pipeline_1,unroll_8,pipeline_1,pipeline_1,unroll_8,unroll_16,unroll_8,1,5.25,0.826181998602,False
krnl_KALMAN_10184.cpp,xcu200-fsgd2104-2-e,3.33,1.25516691,271,14,1,1,5,block_128_1,block_4_1,cyclic_4_1,block_16_1,pipeline_1,unroll_8,pipeline_1,pipeline_1,unroll_8,unroll_64,unroll_8,1,5.25,0.826496927472,False
krnl_KALMAN_10035.cpp,xcu200-fsgd2104-2-e,3.33,1.33015185,567,14,1,2,15,block_128_1,block_4_1,cyclic_4_1,block_16_1,pipeline_1,unroll_8,pipeline_1,unroll_16,unroll_8,unroll_64,unroll_8,1,8,0.714911496291,False
krnl_KALMAN_10315.cpp,xcu200-fsgd2104-2-e,3.33,1.25516691,362,14,1,1,5,block_128_1,block_4_1,cyclic_4_1,block_8_1,pipeline_1,unroll_8,pipeline_1,pipeline_1,pipeline_1,unroll_64,unroll_8,1,5.25,0.826496927472,False
