Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,Replicate_Count,Area,Weight,is_pareto
Example1_Pipelined_41.cpp,xcu200-fsgd2104-2-e,3.33,3.41003655,36.5,0,0,0,0,pipeline_1,2,0,1,True
Example1_Pipelined_40.cpp,xcu200-fsgd2104-2-e,3.33,10.86910668,36,0,0,0,0,unroll_16,1,0,0.633249568325,False
Example1_Pipelined_43.cpp,xcu200-fsgd2104-2-e,3.33,35.80414335,38,0,0,0,0,unroll_2,1,0,0.1,False
Example1_Pipelined_47.cpp,xcu200-fsgd2104-2-e,3.33,7.13950668,39,0,0,0,0,unroll_32,1,0,0.804698541795,False
Example1_Pipelined_45.cpp,xcu200-fsgd2104-2-e,3.33,33.24670668,34,0,0,0,0,unroll_4,1,0,0.105609449805,False
Example1_Pipelined_44.cpp,xcu200-fsgd2104-2-e,3.33,5.27470668,41,0,0,0,0,unroll_64,1,0,0.899370416428,False
Example1_Pipelined_42.cpp,xcu200-fsgd2104-2-e,3.33,18.32830668,37,0,0,0,0,unroll_8,1,0,0.361930724571,False
Example1_Pipelined_32.cpp,xcu200-fsgd2104-2-e,5,5.120155,34.5,0,0,0,0,pipeline_1,2,0,1,True
Example1_Pipelined_33.cpp,xcu200-fsgd2104-2-e,5,13.76,36,0,0,0,0,unroll_16,1,0,0.640566823074,False
Example1_Pipelined_35.cpp,xcu200-fsgd2104-2-e,5,43.519995,38,0,0,0,0,unroll_2,1,0,0.1,False
Example1_Pipelined_39.cpp,xcu200-fsgd2104-2-e,5,9.44,39,0,0,0,0,unroll_32,1,0,0.808896324449,False
Example1_Pipelined_38.cpp,xcu200-fsgd2104-2-e,5,39.68,35,0,0,0,0,unroll_4,1,0,0.109000051563,False
Example1_Pipelined_36.cpp,xcu200-fsgd2104-2-e,5,7.28,44,0,0,0,0,unroll_64,1,0,0.901604115079,False
Example1_Pipelined_34.cpp,xcu200-fsgd2104-2-e,5,22.4,36,0,0,0,0,unroll_8,1,0,0.372252139857,False
Example1_Pipelined_25.cpp,xcu200-fsgd2104-2-e,10,10.24025,35,0,0,0,0,pipeline_1,2,0,1,True
Example1_Pipelined_26.cpp,xcu200-fsgd2104-2-e,10,19.84006,37,0,0,0,0,unroll_16,1,0,0.66406708716,False
Example1_Pipelined_27.cpp,xcu200-fsgd2104-2-e,10,56.32005,38,0,0,0,0,unroll_2,1,0,0.1,False
Example1_Pipelined_31.cpp,xcu200-fsgd2104-2-e,10,15.04006,38,0,0,0,0,unroll_32,1,0,0.82227154477,False
Example1_Pipelined_30.cpp,xcu200-fsgd2104-2-e,10,48.64006,36,0,0,0,0,unroll_4,1,0,0.125000151911,False
Example1_Pipelined_28.cpp,xcu200-fsgd2104-2-e,10,12.64006,39,0,0,0,0,unroll_64,1,0,0.908698055903,False
Example1_Pipelined_24.cpp,xcu200-fsgd2104-2-e,10,29.44006,36,0,0,0,0,unroll_8,1,0,0.406252430571,False
Example1_Pipelined_20.cpp,xczu7ev-ffvc1156-2-e,3.33,3.41001324,46.5,0,0,0,0,pipeline_1,2,0,0.1,False
Example1_Pipelined_21.cpp,xczu7ev-ffvc1156-2-e,3.33,9.324e-05,46,0,0,0,0,unroll_16,1,0,1,True
Example1_Pipelined_18.cpp,xczu7ev-ffvc1156-2-e,3.33,1.70505324,46,0,0,0,0,unroll_2,1,0,0.325,False
Example1_Pipelined_22.cpp,xczu7ev-ffvc1156-2-e,3.33,9.324e-05,46,0,0,0,0,unroll_32,1,0,1,True
Example1_Pipelined_16.cpp,xczu7ev-ffvc1156-2-e,3.33,9.324e-05,45,0,0,0,0,unroll_4,1,0,1,True
Example1_Pipelined_17.cpp,xczu7ev-ffvc1156-2-e,3.33,9.324e-05,46,0,0,0,0,unroll_64,1,0,1,True
Example1_Pipelined_19.cpp,xczu7ev-ffvc1156-2-e,3.33,9.324e-05,46,0,0,0,0,unroll_8,1,0,1,True
Example1_Pipelined_11.cpp,xczu7ev-ffvc1156-2-e,5,5.12019,38,1,0,0,1,pipeline_1,2,0.5,1,True
Example1_Pipelined_10.cpp,xczu7ev-ffvc1156-2-e,5,18.239965,37,1,0,0,1,unroll_16,1,0.5,0.630071192746,False
Example1_Pipelined_8.cpp,xczu7ev-ffvc1156-2-e,5,61.43996,36,1,0,0,1,unroll_2,1,0.5,0.100002574598,False
Example1_Pipelined_15.cpp,xczu7ev-ffvc1156-2-e,5,11.679965,41,1,0,0,1,unroll_32,1,0.5,0.802870095604,False
Example1_Pipelined_13.cpp,xczu7ev-ffvc1156-2-e,5,57.599965,36,1,0,0,1,unroll_4,1,0.5,0.104379565491,False
Example1_Pipelined_12.cpp,xczu7ev-ffvc1156-2-e,5,8.399965,45,1,0,1,1,unroll_64,1,0.75,0.1,False
Example1_Pipelined_9.cpp,xczu7ev-ffvc1156-2-e,5,31.359965,37,1,0,0,1,unroll_8,1,0.5,0.357487928444,False
