Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,OuterLoop_1,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
Stencil2D_5117.cpp,xcu200-fsgd2104-2-e,3.33,3.38426901,50,1,1,1,1,block_128_1,block_128_1,unroll_8,pipeline_1,1,1,0.999175040168,False
Stencil2D_4355.cpp,xcu200-fsgd2104-2-e,3.33,69.81093918,47,1,1,1,1,block_128_1,block_32_1,unroll_2,unroll_2,1,1,0.569187623721,False
Stencil2D_4414.cpp,xcu200-fsgd2104-2-e,3.33,3.45045609,41,1,1,1,1,block_128_1,block_4_1,unroll_2,pipeline_1,2,1,0.998677608377,False
Stencil2D_5110.cpp,xcu200-fsgd2104-2-e,3.33,1.72018809,515,1,1,1,8,block_128_1,block_64_1,pipeline_1,pipeline_1,1,2.75,0.760101112736,False
Stencil2D_4943.cpp,xcu200-fsgd2104-2-e,3.33,3.38432895,53,1,1,1,1,block_128_1,block_64_1,unroll_16,pipeline_1,1,1,0.999174589624,False
Stencil2D_4826.cpp,xcu200-fsgd2104-2-e,3.33,3.27454218,101,1,1,1,1,block_128_1,block_64_1,unroll_64,pipeline_1,3,1,1,True
Stencil2D_4989.cpp,xcu200-fsgd2104-2-e,3.33,1.72227267,496,1,1,2,9,block_128_1,cyclic_16_1,pipeline_1,pipeline_1,1,3.25,0.698396928782,False
Stencil2D_4967.cpp,xcu200-fsgd2104-2-e,3.33,3.3855777,65,1,1,1,1,block_128_1,cyclic_16_1,unroll_16,pipeline_1,1,1,0.999165203319,False
Stencil2D_4353.cpp,xcu200-fsgd2104-2-e,3.33,3.38751576,48.5,1,1,1,1,block_128_1,cyclic_16_1,unroll_8,pipeline_1,2,1,0.999150635871,False
Stencil2D_4437.cpp,xcu200-fsgd2104-2-e,3.33,68.27671494,50,1,1,1,1,block_128_1,cyclic_16_1,unroll_8,unroll_4,1,1,0.577554894301,False
Stencil2D_4950.cpp,xcu200-fsgd2104-2-e,3.33,1.72050444,505,1,1,1,8,block_128_1,cyclic_2_1,pipeline_1,pipeline_1,1,2.75,0.760100117082,False
Stencil2D_4403.cpp,xcu200-fsgd2104-2-e,3.33,71.61802029,130,1,1,1,1,block_128_1,cyclic_32_1,unroll_32,unroll_2,1,1,0.55942710933,False
Stencil2D_4796.cpp,xcu200-fsgd2104-2-e,3.33,3.27501171,94,1,1,1,2,block_128_1,cyclic_4_1,unroll_64,pipeline_1,1,1.25,0.963464068996,False
Stencil2D_4955.cpp,xcu200-fsgd2104-2-e,3.33,3.38432895,98,1,1,1,2,block_128_1,cyclic_64_1,unroll_16,pipeline_1,1,1.25,0.963059250732,False
Stencil2D_4510.cpp,xcu200-fsgd2104-2-e,3.33,3.27658014,380,1,1,1,6,block_128_1,cyclic_64_1,unroll_64,pipeline_1,1,2.25,0.792154546931,False
Stencil2D_4627.cpp,xcu200-fsgd2104-2-e,3.33,1.72044783,489,1,1,2,8,block_128_1,cyclic_8_1,pipeline_1,pipeline_1,3,3,0.698403232007,False
Stencil2D_4836.cpp,xcu200-fsgd2104-2-e,3.33,3.38399262,51,1,1,1,1,block_128_1,cyclic_8_1,unroll_16,pipeline_1,4,1,0.999177117677,False
Stencil2D_4694.cpp,xcu200-fsgd2104-2-e,3.33,3.38370624,73,1,1,1,1,block_128_1,cyclic_8_1,unroll_32,pipeline_1,1,1,0.99917927028,False
Stencil2D_4726.cpp,xcu200-fsgd2104-2-e,3.33,3.27433239,113,1,1,1,2,block_128_1,cyclic_8_1,unroll_64,pipeline_1,3,1.25,0.963466570902,False
Stencil2D_4501.cpp,xcu200-fsgd2104-2-e,3.33,1.72239921,430,1,1,3,9,block_16_1,block_2_1,pipeline_1,pipeline_1,1,3.5,0.668680950332,False
Stencil2D_4378.cpp,xcu200-fsgd2104-2-e,3.33,1.78398756,485.5,1,1,3,9,block_16_1,block_2_1,pipeline_1,unroll_2,2,3.5,0.668499739421,False
Stencil2D_4400.cpp,xcu200-fsgd2104-2-e,3.33,1.76202954,496,1,4,6,12,block_16_1,cyclic_64_1,pipeline_1,unroll_2,1,5.75,0.27927471948,False
Stencil2D_4415.cpp,xcu200-fsgd2104-2-e,3.33,3.44723598,45,1,1,1,1,block_2_1,block_32_1,unroll_2,pipeline_1,1,1,0.998701806065,False
Stencil2D_4442.cpp,xcu200-fsgd2104-2-e,3.33,242.23253832,130,1,1,1,3,block_2_1,block_32_1,unroll_2,unroll_16,1,1.5,0.1,False
Stencil2D_4529.cpp,xcu200-fsgd2104-2-e,3.33,1.94485986,471,1,1,3,10,block_2_1,cyclic_16_1,pipeline_1,pipeline_1,1,3.75,0.639082587958,False
Stencil2D_4445.cpp,xcu200-fsgd2104-2-e,3.33,1.75671486,433,1,1,3,9,block_2_1,cyclic_16_1,pipeline_1,unroll_16,1,3.5,0.668579994347,False
Stencil2D_4436.cpp,xcu200-fsgd2104-2-e,3.33,3.61061577,55,1,1,1,1,block_2_1,cyclic_16_1,unroll_8,pipeline_1,1,1,0.99747449101,False
Stencil2D_4477.cpp,xcu200-fsgd2104-2-e,3.33,1.72240254,445,1,1,2,8,block_2_1,cyclic_2_1,pipeline_1,pipeline_1,1,3,0.698403348765,False
Stencil2D_4409.cpp,xcu200-fsgd2104-2-e,3.33,71.17666209,77,1,1,2,4,block_2_1,cyclic_2_1,unroll_2,unroll_32,1,2,0.533857434197,False
Stencil2D_4422.cpp,xcu200-fsgd2104-2-e,3.33,56.84502141,53,1,1,1,1,block_2_1,cyclic_2_1,unroll_8,unroll_2,1,1,0.642228817984,False
Stencil2D_4358.cpp,xcu200-fsgd2104-2-e,3.33,3.6098865,125,1,1,1,3,block_2_1,cyclic_32_1,unroll_32,pipeline_1,1,1.5,0.92647027337,False
Stencil2D_4492.cpp,xcu200-fsgd2104-2-e,3.33,1.94485986,461,1,1,3,9,block_2_1,cyclic_4_1,pipeline_1,unroll_64,1,3.5,0.668025998058,False
Stencil2D_4374.cpp,xcu200-fsgd2104-2-e,3.33,3.6106191,55,1,1,1,1,block_2_1,cyclic_4_1,unroll_8,pipeline_1,1,1,0.997474466003,False
Stencil2D_4365.cpp,xcu200-fsgd2104-2-e,3.33,1.94407731,557,1,3,6,13,block_2_1,cyclic_64_1,pipeline_1,unroll_64,3,5.75,0.279276523939,False
Stencil2D_4362.cpp,xcu200-fsgd2104-2-e,3.33,15.41392398,53,1,1,1,1,block_2_1,cyclic_64_1,unroll_2,unroll_8,1,1,0.911026381154,False
Stencil2D_4429.cpp,xcu200-fsgd2104-2-e,3.33,3.6096867,175,1,1,1,4,block_2_1,cyclic_64_1,unroll_32,pipeline_1,1,1.75,0.858382287912,False
Stencil2D_4360.cpp,xcu200-fsgd2104-2-e,3.33,1.76274882,473,1,2,4,10,block_32_1,block_4_1,pipeline_1,unroll_4,1,4.25,0.531455682184,False
Stencil2D_4539.cpp,xcu200-fsgd2104-2-e,3.33,1.72238589,481,1,2,4,10,block_32_1,cyclic_2_1,pipeline_1,pipeline_1,1,4.25,0.531454550112,False
Stencil2D_4484.cpp,xcu200-fsgd2104-2-e,3.33,15.56580861,355,1,7,4,9,block_4_1,block_64_1,unroll_32,unroll_16,1,5.25,0.347167356298,False
Stencil2D_4392.cpp,xcu200-fsgd2104-2-e,3.33,29.88886455,145,1,3,2,4,block_4_1,block_64_1,unroll_64,unroll_4,1,2.5,0.679848790882,False
Stencil2D_4579.cpp,xcu200-fsgd2104-2-e,3.33,1.740642615,477.5,1,1,3,9,block_4_1,cyclic_16_1,pipeline_1,pipeline_1,2,3.5,0.66862728193,False
Stencil2D_4394.cpp,xcu200-fsgd2104-2-e,3.33,3.427680555,59,1,1,1,1,block_4_1,cyclic_16_1,unroll_16,pipeline_1,2,1,0.99884876334,False
Stencil2D_4402.cpp,xcu200-fsgd2104-2-e,3.33,15.18125355,51,1,1,1,1,block_4_1,cyclic_16_1,unroll_2,unroll_16,1,1,0.912688183055,False
Stencil2D_4524.cpp,xcu200-fsgd2104-2-e,3.33,3.49680303,96,1,2,1,2.5,block_4_1,cyclic_16_1,unroll_32,pipeline_1,2,1.625,0.892649741527,False
