Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,OuterLoop_1,InnerLoop_1_1,InnerLoop_2_1,Replicate_Count,Area,Weight,is_pareto
MatrixMultiplication_3498.cpp,xcu200-fsgd2104-2-e,3.33,3621.01623912,117,1,1,1,4,block_128_1,unroll_2,unroll_2,pipeline_1,1,1.75,0.746206637436,False
MatrixMultiplication_3370.cpp,xcu200-fsgd2104-2-e,3.33,3621.04522344,341.5,1,1,3,7,block_128_1,unroll_2,unroll_4,pipeline_1,2,3,0.449276324478,False
MatrixMultiplication_3550.cpp,xcu200-fsgd2104-2-e,3.33,40452.9534065,229,1,1,1,3,block_128_1,unroll_2,unroll_4,unroll_2,1,1.5,0.10101857552,False
MatrixMultiplication_3337.cpp,xcu200-fsgd2104-2-e,3.33,3621.01623912,1190,1,1,6,12,block_128_1,unroll_2,unroll_8,pipeline_1,1,5,0.157895945064,False
MatrixMultiplication_3336.cpp,xcu200-fsgd2104-2-e,3.33,3621.01538664,1231,1,1,6,12,block_128_1,unroll_4,unroll_4,pipeline_1,1,5,0.157895945855,False
MatrixMultiplication_3209.cpp,xcu200-fsgd2104-2-e,3.33,41039.9491831,263,1,1,1,3,block_16_1,unroll_16,unroll_4,unroll_2,1,1.5,0.1003375605,False
MatrixMultiplication_3272.cpp,xcu200-fsgd2104-2-e,3.33,3621.01623912,133,1,1,1,3,block_16_1,unroll_2,unroll_16,pipeline_1,2,1.5,0.810031807143,False
MatrixMultiplication_3472.cpp,xcu200-fsgd2104-2-e,3.33,3621.17991528,34,1,1,1,1,block_16_1,unroll_2,unroll_2,pipeline_1,1,1,0.891742297427,False
MatrixMultiplication_3266.cpp,xcu200-fsgd2104-2-e,3.33,3621.39815016,397,1,1,3,6,block_16_1,unroll_2,unroll_32,pipeline_1,1,2.75,0.502475993401,False
MatrixMultiplication_3238.cpp,xcu200-fsgd2104-2-e,3.33,40734.9793649,240,1,1,1,2,block_16_1,unroll_2,unroll_32,unroll_2,1,1.25,0.100816477358,False
MatrixMultiplication_3163.cpp,xcu200-fsgd2104-2-e,3.33,3621.61638504,41.5,1,1,1,1,block_16_1,unroll_2,unroll_4,pipeline_1,6,1,0.891724295408,False
MatrixMultiplication_3097.cpp,xcu200-fsgd2104-2-e,3.33,37998.2048522,41,1,1,1,1,block_16_1,unroll_2,unroll_4,unroll_2,1,1,0.108660233276,False
MatrixMultiplication_3318.cpp,xcu200-fsgd2104-2-e,3.33,3621.39815016,60,1,1,1,1,block_16_1,unroll_2,unroll_8,pipeline_1,1,1,0.891733296392,False
MatrixMultiplication_3273.cpp,xcu200-fsgd2104-2-e,3.33,3624.45865992,1615,1,1,7,14,block_16_1,unroll_32,unroll_4,pipeline_1,1,5.75,0.11181427842,False
MatrixMultiplication_3241.cpp,xcu200-fsgd2104-2-e,3.33,3621.61553256,1380,1,1,7,13,block_16_1,unroll_4,unroll_32,pipeline_1,2,5.5,0.123312568184,False
MatrixMultiplication_3054.cpp,xcu200-fsgd2104-2-e,3.33,40623.2392702,825.5,1,1,1,5,block_16_1,unroll_4,unroll_32,unroll_2,2,2,0.100237107624,False
MatrixMultiplication_3127.cpp,xcu200-fsgd2104-2-e,3.33,3624.452586,64,1,1,1,1,block_16_1,unroll_4,unroll_4,pipeline_1,3,1,0.891607322434,False
MatrixMultiplication_3147.cpp,xcu200-fsgd2104-2-e,3.33,32580.5231304,284,1,1,1,2,block_16_1,unroll_4,unroll_4,unroll_8,1,1.25,0.147215988915,False
MatrixMultiplication_3277.cpp,xcu200-fsgd2104-2-e,3.33,3621.20634216,135.5,1,1,1,3,block_16_1,unroll_4,unroll_8,pipeline_1,2,1.5,0.810027684468,False
MatrixMultiplication_3322.cpp,xcu200-fsgd2104-2-e,3.33,3621.0149604,143,1,1,1,3,block_16_1,unroll_8,unroll_4,pipeline_1,1,1.5,0.810031834873,False
MatrixMultiplication_3073.cpp,xcu200-fsgd2104-2-e,3.33,3622.92430248,186,1,1,2,4,block_2_1,unroll_16,unroll_8,pipeline_1,2,2,0.681708710285,False
