Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
md_kernel_241.c,xcu200-fsgd2104-2-e,3.33,0.0085248,41.5,0,3,2,1,pipeline_1,pipeline_1,4,1.5,1,True
md_kernel_259.c,xcu200-fsgd2104-2-e,3.33,0.0085248,43.5,0,3,2,1,pipeline_1,unroll_16,2,1.5,1,True
md_kernel_249.c,xcu200-fsgd2104-2-e,3.33,0.0085248,42.5,0,3,2,1,pipeline_1,unroll_2,2,1.5,1,True
md_kernel_255.c,xcu200-fsgd2104-2-e,3.33,0.0085248,45.5,0,3,2,1,pipeline_1,unroll_4,2,1.5,1,True
md_kernel_247.c,xcu200-fsgd2104-2-e,3.33,0.0085248,45,0,3,2,1,pipeline_1,unroll_8,2,1.5,1,True
md_kernel_269.c,xcu200-fsgd2104-2-e,3.33,0.19527453,58,0,0,1,1,unroll_16,pipeline_1,2,0.5,1,True
md_kernel_257.c,xcu200-fsgd2104-2-e,3.33,0.01412253,254,0,3,4,4,unroll_16,unroll_16,1,2.75,0.425370683314,False
md_kernel_248.c,xcu200-fsgd2104-2-e,3.33,0.94971933,67,0,0,0,0,unroll_16,unroll_2,1,0,0.10801558513,False
md_kernel_258.c,xcu200-fsgd2104-2-e,3.33,0.53029917,106,0,1,0,1,unroll_16,unroll_4,1,0.5,0.415845367701,False
md_kernel_282.c,xcu200-fsgd2104-2-e,3.33,0.32058909,163,0,1,0,1,unroll_16,unroll_8,1,0.5,0.729100012663,False
md_kernel_262.c,xcu200-fsgd2104-2-e,3.33,0.19564749,28,0,0,0,0,unroll_2,pipeline_1,2,0,0.999309351076,False
md_kernel_250.c,xcu200-fsgd2104-2-e,3.33,0.10741581,60,0,2,1,1,unroll_2,unroll_16,1,1,1,True
md_kernel_245.c,xcu200-fsgd2104-2-e,3.33,0.95009229,28,0,0,0,0,unroll_2,unroll_2,1,0,0.107939709483,False
md_kernel_266.c,xcu200-fsgd2104-2-e,3.33,0.53067213,35,0,0,0,0,unroll_2,unroll_4,1,0,0.421228094547,False
md_kernel_242.c,xcu200-fsgd2104-2-e,3.33,0.32096205,40,0,1,0,0,unroll_2,unroll_8,1,0.25,0.738062880221,False
md_kernel_252.c,xcu200-fsgd2104-2-e,3.33,0.19524789,92.5,0,0,3,2.5,unroll_32,pipeline_1,2,1.375,0.686158826284,False
