Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_2_1,Replicate_Count,Area,Weight,is_pareto
viterbi_4201.c,xcu200-fsgd2104-2-e,3.33,46.90412559,535,0,0,1,6,block_128_1,unroll_32,unroll_32,pipeline_1,unroll_2,unroll_4,unroll_16,unroll_2,1,1.75,0.117465926044,False
viterbi_4127.c,xcu200-fsgd2104-2-e,3.33,42.16305474,192.5,0,0,0,3,block_128_1,unroll_4,unroll_16,pipeline_1,unroll_2,unroll_4,pipeline_1,unroll_2,2,0.75,0.161814722654,False
viterbi_4176.c,xcu200-fsgd2104-2-e,3.33,42.16405374,259,0,0,1,3,block_128_1,unroll_4,unroll_16,unroll_16,unroll_16,unroll_4,pipeline_1,unroll_2,1,1,0.158924645892,False
viterbi_4094.c,xcu200-fsgd2104-2-e,3.33,46.84305339,453,0,0,1,5,block_128_1,unroll_4,unroll_32,pipeline_1,unroll_2,unroll_4,pipeline_1,unroll_2,1,1.5,0.120851411566,False
viterbi_4242.c,xcu200-fsgd2104-2-e,3.33,23.0047056,451,0,0,1,6,block_128_1,unroll_64,unroll_16,unroll_16,pipeline_1,unroll_4,pipeline_1,unroll_4,1,1.75,0.377363696751,False
viterbi_4277.c,xcu200-fsgd2104-2-e,3.33,1.04372856,292,0,0,2,5,block_128_1,unroll_64,unroll_4,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_4,1,1.75,0.748371996867,False
viterbi_4311.c,xcu200-fsgd2104-2-e,3.33,22.36717044,225,0,0,1,3,block_128_1,unroll_64,unroll_4,unroll_63,pipeline_1,unroll_4,pipeline_1,unroll_4,1,1,0.439414484697,False
viterbi_4244.c,xcu200-fsgd2104-2-e,3.33,1.44237285,1226,0,0,4,16,block_128_1,unroll_8,unroll_16,unroll_16,unroll_2,pipeline_1,unroll_2,unroll_4,1,5,0.176893445778,False
viterbi_4069.c,xcu200-fsgd2104-2-e,3.33,46.86599376,582,0,0,2,6,block_128_1,unroll_8,unroll_32,pipeline_1,pipeline_1,unroll_4,unroll_16,unroll_2,1,2,0.11448587336,False
viterbi_4604.c,xcu200-fsgd2104-2-e,3.33,1.0418904,154,1,0,1,3,block_16_2,unroll_64,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,1,1.25,0.780858151624,False
viterbi_4070.c,xcu200-fsgd2104-2-e,3.33,43.2942291,615,1,0,2,7,block_2_1,pipeline_1,unroll_8,pipeline_1,unroll_16,unroll_8,pipeline_1,unroll_4,1,2.5,0.12499662459,False
viterbi_4189.c,xcu200-fsgd2104-2-e,3.33,7.41997593,175,1,0,1,2,block_2_1,pipeline_1,unroll_8,pipeline_1,unroll_2,unroll_8,unroll_2,pipeline_1,1,1,0.743475756336,False
