Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
workload_204.cpp,xcu200-fsgd2104-2-e,3.33,3.49467516,57.5,0,0,0,1,unroll_17,pipeline_1,2,0.25,1,True
workload_234.cpp,xcu200-fsgd2104-2-e,3.33,141.63766056,571,0,0,3,6,unroll_17,unroll_16,1,2.25,0.121942827247,False
workload_207.cpp,xcu200-fsgd2104-2-e,3.33,148.29387102,71,0,0,0,1,unroll_17,unroll_2,1,0.25,0.142082787188,False
workload_212.cpp,xcu200-fsgd2104-2-e,3.33,123.50370267,2374,0,0,5,12,unroll_17,unroll_32,1,4.25,0.1,False
workload_231.cpp,xcu200-fsgd2104-2-e,3.33,146.4934266,110,0,0,1,2,unroll_17,unroll_4,1,0.75,0.142685304368,False
workload_233.cpp,xcu200-fsgd2104-2-e,3.33,145.53863568,198,0,0,1,3,unroll_17,unroll_8,1,1,0.141498335755,False
workload_200.cpp,xcu200-fsgd2104-2-e,3.33,3.4949016,36,0,0,0,0,unroll_2,pipeline_1,2,0,1,True
workload_206.cpp,xcu200-fsgd2104-2-e,3.33,128.76188256,59,0,0,0,1,unroll_2,unroll_16,1,0.25,0.193178015686,False
workload_226.cpp,xcu200-fsgd2104-2-e,3.33,148.40302176,34,0,0,0,0,unroll_2,unroll_2,1,0,0.142117109263,False
workload_229.cpp,xcu200-fsgd2104-2-e,3.33,122.2693416,79,0,0,0,1,unroll_2,unroll_32,1,0.25,0.214596161115,False
workload_201.cpp,xcu200-fsgd2104-2-e,3.33,140.98303584,37,0,0,0,0,unroll_2,unroll_4,1,0,0.15919156338,False
workload_232.cpp,xcu200-fsgd2104-2-e,3.33,121.15088784,183,0,0,1,3,unroll_2,unroll_64,1,1,0.206000868066,False
workload_203.cpp,xcu200-fsgd2104-2-e,3.33,136.83657312,47,0,0,0,0,unroll_2,unroll_8,1,0,0.169995596658,False
workload_202.cpp,xcu200-fsgd2104-2-e,3.33,54.12516732,37,0,0,0,0.5,unroll_4,pipeline_1,2,0.125,0.573348568928,False
workload_230.cpp,xcu200-fsgd2104-2-e,3.33,136.18182852,91,0,0,0,2,unroll_4,unroll_16,1,0.5,0.169921010239,False
workload_208.cpp,xcu200-fsgd2104-2-e,3.33,148.40300844,41,0,0,0,0,unroll_4,unroll_2,1,0,0.142117137313,False
workload_210.cpp,xcu200-fsgd2104-2-e,3.33,123.005871,180,0,0,1,3,unroll_4,unroll_32,1,1,0.200079149507,False
