Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,OuterLoop_1,OuterLoop_2,InnerLoop_1_1,InnerLoop_2_1,Replicate_Count,Area,Weight,is_pareto
workload_4654.cpp,xcu200-fsgd2104-2-e,3.33,62.25455313,299,4,0,3,6,block_128_1,block_2_2,block_2_2,block_8_1,block_8_1,cyclic_2_1,unroll_32,pipeline_1,unroll_4,pipeline_1,1,3.25,0.811233655103,False
workload_5057.cpp,xcu200-fsgd2104-2-e,3.33,44.52441435,228,5,2,6,5,block_128_1,block_2_2,block_4_2,complete_1,block_2_1,cyclic_2_1,unroll_16,pipeline_1,pipeline_1,unroll_16,1,4.5,0.875519481331,False
workload_4335.cpp,xcu200-fsgd2104-2-e,3.33,49.76255763,366,6,1,3,5,block_128_1,block_32_1,block_2_2,cyclic_4_1,block_8_1,cyclic_2_1,unroll_2,pipeline_1,pipeline_1,unroll_16,1,3.75,0.871431654437,False
workload_4190.cpp,xcu200-fsgd2104-2-e,3.33,49.76233785,434,6,1,3,5,block_128_1,block_32_1,block_2_2,cyclic_4_1,block_8_1,cyclic_2_1,unroll_2,pipeline_1,pipeline_1,unroll_2,1,3.75,0.871432655783,False
workload_4492.cpp,xcu200-fsgd2104-2-e,3.33,46.27049652,114,5,1,1,1,block_128_1,block_4_2,block_2_1,complete_1,block_2_1,block_2_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,1,2,0.951811713335,False
workload_4954.cpp,xcu200-fsgd2104-2-e,3.33,44.524098,91,5,2,1,2,block_128_1,block_4_2,block_2_2,cyclic_4_1,block_2_1,block_4_1,unroll_2,unroll_16,pipeline_1,unroll_16,1,2.5,0.929397916836,False
workload_4734.cpp,xcu200-fsgd2104-2-e,3.33,46.27114587,343,6,1,5,6,block_128_1,block_4_2,block_4_1,block_8_1,cyclic_2_1,cyclic_2_1,unroll_16,pipeline_1,pipeline_1,unroll_4,1,4.5,0.868065815623,False
workload_4525.cpp,xcu200-fsgd2104-2-e,3.33,49.32572823,217,5,1,1,1,block_128_1,block_4_2,cyclic_2_1,cyclic_8_1,cyclic_2_1,block_2_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,1,2,0.934914954391,False
workload_4935.cpp,xcu200-fsgd2104-2-e,3.33,43.65105192,329,6,2,6,7,block_128_1,block_4_2,cyclic_4_2,complete_1,block_2_1,block_2_1,unroll_32,unroll_16,pipeline_1,unroll_4,1,5.25,0.831569578886,False
workload_4977.cpp,xcu200-fsgd2104-2-e,3.33,43.65104526,317,6,2,6,7,block_128_1,block_4_2,cyclic_4_2,complete_1,block_2_1,block_4_1,unroll_32,unroll_16,pipeline_1,unroll_4,1,5.25,0.831569577636,False
workload_4290.cpp,xcu200-fsgd2104-2-e,3.33,188.35298514,2577,3,1,1,5,block_128_1,complete_2,block_16_1,cyclic_8_1,cyclic_2_1,cyclic_2_1,unroll_2,unroll_8,unroll_16,unroll_2,1,2.5,0.16865727045,False
workload_4334.cpp,xcu200-fsgd2104-2-e,3.33,49.76327025,754,3,1,5,9,block_128_1,cyclic_16_1,block_2_1,block_8_1,cyclic_4_1,block_8_1,unroll_16,unroll_2,pipeline_1,pipeline_1,1,4.5,0.851738958924,False
workload_4361.cpp,xcu200-fsgd2104-2-e,3.33,55.7079363,328,4,0,3,4,block_128_1,cyclic_2_1,cyclic_2_1,block_8_1,cyclic_4_1,block_8_1,unroll_16,unroll_4,unroll_4,pipeline_1,1,2.75,0.867662702565,False
workload_4446.cpp,xcu200-fsgd2104-2-e,3.33,55.7082027,377,4,0,3,4,block_128_1,cyclic_2_1,cyclic_2_1,complete_1,cyclic_4_1,block_8_1,unroll_16,unroll_4,unroll_4,pipeline_1,1,2.75,0.867660888894,False
workload_4424.cpp,xcu200-fsgd2104-2-e,3.33,76.84939701,3325,4,0,23,60,block_128_1,cyclic_2_1,cyclic_2_1,complete_1,cyclic_4_1,complete_1,unroll_16,pipeline_1,unroll_8,unroll_4,1,21.75,0.149684319301,False
workload_4251.cpp,xcu200-fsgd2104-2-e,3.33,46.27152216,320,5,1,4,6,block_128_1,cyclic_4_1,block_2_1,block_8_1,block_8_1,block_2_1,unroll_16,unroll_2,pipeline_1,pipeline_1,1,4,0.882016436344,False
workload_4697.cpp,xcu200-fsgd2104-2-e,3.33,55.70810946,162,5,0,0,2,block_128_1,cyclic_4_1,block_2_1,block_8_1,block_8_1,cyclic_2_1,unroll_2,unroll_4,unroll_4,pipeline_1,1,1.75,0.906148062211,False
workload_4377.cpp,xcu200-fsgd2104-2-e,3.33,46.27138563,1245,5,1,2,3,block_128_1,cyclic_4_1,cyclic_2_2,block_8_1,cyclic_2_1,cyclic_2_1,unroll_8,unroll_2,pipeline_1,pipeline_1,1,2.75,0.917899575096,False
workload_5013.cpp,xcu200-fsgd2104-2-e,3.33,76.84905735,834,6,0,6,17,block_128_1,cyclic_4_1,cyclic_4_1,complete_1,block_8_1,complete_1,unroll_2,pipeline_1,unroll_8,unroll_4,1,7.25,0.605365931937,False
workload_4741.cpp,xcu200-fsgd2104-2-e,3.33,49.32464931,705,6,2,1,2,block_128_1,cyclic_4_1,cyclic_4_1,cyclic_8_1,block_4_1,cyclic_4_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,1,2.75,0.905907950707,False
workload_4283.cpp,xcu200-fsgd2104-2-e,3.33,46.27126242,1172,6,1,4,5,block_128_1,cyclic_4_1,cyclic_4_2,block_8_1,block_8_1,block_2_1,unroll_32,unroll_8,pipeline_1,pipeline_1,1,4,0.882017403317,False
workload_4341.cpp,xcu200-fsgd2104-2-e,3.33,49.7630205,1561,7,1,4,5,block_128_1,cyclic_4_1,cyclic_8_2,block_8_1,block_8_1,block_2_1,unroll_32,unroll_8,pipeline_1,pipeline_1,1,4.25,0.859754117413,False
workload_4417.cpp,xcu200-fsgd2104-2-e,3.33,74.44920294,1781,7,0,7,17,block_128_1,cyclic_4_2,block_64_1,complete_1,cyclic_2_1,cyclic_2_1,unroll_4,unroll_2,unroll_8,pipeline_1,1,7.75,0.59811046041,False
workload_4500.cpp,xcu200-fsgd2104-2-e,3.33,76.00420971,470,5,0,1,4,block_128_1,cyclic_4_2,cyclic_2_1,block_8_1,block_2_1,block_8_1,unroll_16,unroll_4,unroll_4,unroll_4,1,2.5,0.753747308339,False
workload_4980.cpp,xcu200-fsgd2104-2-e,3.33,53.25401601,1087,3,1,11,18,block_16_1,block_128_1,block_16_1,block_8_1,block_4_1,cyclic_2_1,unroll_2,pipeline_1,pipeline_1,unroll_4,1,8.25,0.645433123668,False
workload_4584.cpp,xcu200-fsgd2104-2-e,3.33,177.01861752,1787,3,0,2,8,block_16_1,block_128_1,cyclic_2_1,block_8_1,block_4_1,cyclic_4_1,unroll_2,pipeline_1,unroll_8,unroll_4,1,3.25,0.199166911448,False
workload_4768.cpp,xcu200-fsgd2104-2-e,3.33,49.76225793,182,0,1,1,2,block_16_1,block_2_2,block_16_1,block_8_1,block_4_1,cyclic_2_1,unroll_2,pipeline_1,pipeline_1,unroll_4,1,1,0.974699104314,False
workload_4603.cpp,xcu200-fsgd2104-2-e,3.33,176.827662,114,0,0,0,1,block_16_1,block_2_2,block_16_1,block_8_1,block_4_1,cyclic_2_1,unroll_2,pipeline_1,unroll_4,unroll_4,1,0.25,0.20460646859,False
workload_4714.cpp,xcu200-fsgd2104-2-e,3.33,176.82801498,117,0,0,0,1,block_16_1,block_2_2,block_16_1,block_8_1,block_8_1,cyclic_2_1,unroll_2,pipeline_1,unroll_4,unroll_4,1,0.25,0.204605321477,False
workload_4806.cpp,xcu200-fsgd2104-2-e,3.33,49.76310375,181,0,1,1,2,block_16_1,block_2_2,block_16_1,block_8_1,cyclic_2_1,cyclic_2_1,unroll_2,pipeline_1,pipeline_1,unroll_4,1,1,0.974695127338,False
workload_4828.cpp,xcu200-fsgd2104-2-e,3.33,46.27070298,60,1,1,1,1,block_16_1,block_2_2,block_2_1,block_8_1,block_2_1,complete_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,1,1,0.999996062131,False
workload_5095.cpp,xcu200-fsgd2104-2-e,3.33,46.27028673,234,1,1,4,4,block_16_1,block_2_2,block_2_1,complete_1,block_4_1,block_4_1,unroll_16,pipeline_1,pipeline_1,unroll_4,1,2.5,0.926342642274,False
workload_5083.cpp,xcu200-fsgd2104-2-e,3.33,46.27006362,99,1,2,1,2,block_16_1,block_2_2,block_2_1,complete_1,block_4_1,complete_1,unroll_2,unroll_16,pipeline_1,unroll_16,1,1.5,0.973178842345,False
workload_5081.cpp,xcu200-fsgd2104-2-e,3.33,46.27049652,79,1,1,1,1,block_16_1,block_2_2,block_2_1,complete_1,block_4_1,cyclic_2_1,unroll_2,pipeline_1,pipeline_1,unroll_4,1,1,0.999998031064,False
workload_4999.cpp,xcu200-fsgd2104-2-e,3.33,46.27042992,240,1,1,4,4,block_16_1,block_2_2,block_2_1,cyclic_4_1,block_4_1,complete_1,unroll_32,pipeline_1,pipeline_1,unroll_8,1,2.5,0.926342244415,False
