Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,OuterLoop_5,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_2_1,Replicate_Count,Area,Weight,is_pareto
workload_4844.cpp,xcu200-fsgd2104-2-e,3.33,3863.44903032,1118,6,36,18,29,block_16_1,block_16_1,block_32_1,pipeline_1,unroll_16,unroll_16,unroll_2,unroll_8,unroll_8,unroll_8,pipeline_1,pipeline_1,1,22.25,0.303331399997,False
workload_4773.cpp,xcu200-fsgd2104-2-e,3.33,3627.56275605,2851,6,39,22,51,block_16_1,block_16_1,cyclic_128_1,pipeline_1,unroll_16,unroll_16,unroll_2,unroll_4,unroll_8,unroll_8,pipeline_1,pipeline_1,1,29.5,0.24151988502,False
workload_4800.cpp,xcu200-fsgd2104-2-e,3.33,66.99185775,162,6,2,4,6,block_16_1,block_2_1,block_64_1,unroll_5,pipeline_1,pipeline_1,unroll_32,unroll_32,unroll_16,pipeline_1,pipeline_1,unroll_34,1,4.5,0.937671984769,False
workload_4900.cpp,xcu200-fsgd2104-2-e,3.33,70.05559428,184,5,2,4,7,block_16_1,block_32_1,block_64_1,unroll_5,pipeline_1,pipeline_1,unroll_32,unroll_4,unroll_4,unroll_34,pipeline_1,unroll_34,1,4.5,0.937480929837,False
workload_4845.cpp,xcu200-fsgd2104-2-e,3.33,70.05539448,203,5,2,4,8,block_16_1,block_64_1,block_64_1,unroll_5,pipeline_1,pipeline_1,unroll_32,unroll_4,unroll_16,unroll_8,pipeline_1,unroll_34,1,4.75,0.929489121099,False
workload_4810.cpp,xcu200-fsgd2104-2-e,3.33,3624.5884833,2688,5,39,22,51,block_16_1,cyclic_128_1,cyclic_128_1,pipeline_1,unroll_16,unroll_16,unroll_64,unroll_4,unroll_8,unroll_8,pipeline_1,pipeline_1,1,29.25,0.244331120245,False
workload_4871.cpp,xcu200-fsgd2104-2-e,3.33,3624.5884833,2561,6,39,22,51,block_16_1,cyclic_16_1,cyclic_128_1,pipeline_1,unroll_16,unroll_16,unroll_64,unroll_4,unroll_8,unroll_8,pipeline_1,pipeline_1,1,29.5,0.241667918703,False
workload_4757.cpp,xcu200-fsgd2104-2-e,3.33,94.36172382,299,5,2,4,8,block_16_1,cyclic_64_1,block_64_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,unroll_32,unroll_34,pipeline_1,pipeline_1,unroll_34,1,4.75,0.928266261323,False
workload_4856.cpp,xcu200-fsgd2104-2-e,3.33,462.32077644,153,5,1,2,5,block_16_1,cyclic_64_1,cyclic_2_1,pipeline_1,pipeline_1,unroll_2,unroll_32,unroll_32,unroll_34,pipeline_1,pipeline_1,unroll_34,1,3.25,0.905805658375,False
workload_4909.cpp,xcu200-fsgd2104-2-e,3.33,3090.82614993,354,0,8,11,15,block_2_1,block_16_1,block_32_1,pipeline_1,unroll_16,pipeline_1,unroll_64,unroll_8,unroll_8,unroll_8,pipeline_1,pipeline_1,1,8.5,0.488295963425,False
workload_4918.cpp,xcu200-fsgd2104-2-e,3.33,66.99170124,89,0,1,3,5,block_2_1,block_2_1,block_128_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,unroll_32,unroll_16,pipeline_1,pipeline_1,unroll_34,1,2.25,0.978936655257,False
