Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,OuterLoop_5,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_2_1,Replicate_Count,Area,Weight,is_pareto
workload_4843.cpp,xcu200-fsgd2104-2-e,3.33,3863.44903032,1310,6,36,18,29,block_16_1,block_16_1,block_32_1,pipeline_1,unroll_16,unroll_16,unroll_2,unroll_8,unroll_8,unroll_8,pipeline_1,pipeline_1,1,22.25,0.21910713462,False
workload_4772.cpp,xcu200-fsgd2104-2-e,3.33,3627.56275605,3074,6,39,22,51,block_16_1,block_16_1,cyclic_128_1,pipeline_1,unroll_16,unroll_16,unroll_2,unroll_4,unroll_8,unroll_8,pipeline_1,pipeline_1,1,29.5,0.139220444216,False
workload_4799.cpp,xcu200-fsgd2104-2-e,3.33,66.99185775,186,6,2,4,6,block_16_1,block_2_1,block_64_1,unroll_5,pipeline_1,pipeline_1,unroll_32,unroll_32,unroll_16,pipeline_1,pipeline_1,unroll_34,1,4.5,0.883388910114,False
workload_4899.cpp,xcu200-fsgd2104-2-e,3.33,70.05559428,201,5,2,4,7,block_16_1,block_32_1,block_64_1,unroll_5,pipeline_1,pipeline_1,unroll_32,unroll_4,unroll_4,unroll_34,pipeline_1,unroll_34,1,4.5,0.883309971166,False
workload_4844.cpp,xcu200-fsgd2104-2-e,3.33,70.05539448,231,5,2,4,8,block_16_1,block_64_1,block_64_1,unroll_5,pipeline_1,pipeline_1,unroll_32,unroll_4,unroll_16,unroll_8,pipeline_1,unroll_34,1,4.75,0.871686655219,False
workload_4809.cpp,xcu200-fsgd2104-2-e,3.33,3624.5884833,3015,5,39,22,51,block_16_1,cyclic_128_1,cyclic_128_1,pipeline_1,unroll_16,unroll_16,unroll_64,unroll_4,unroll_8,unroll_8,pipeline_1,pipeline_1,1,29.25,0.141668895832,False
workload_4871.cpp,xcu200-fsgd2104-2-e,3.33,3624.5884833,2911,6,39,22,51,block_16_1,cyclic_16_1,cyclic_128_1,pipeline_1,unroll_16,unroll_16,unroll_64,unroll_4,unroll_8,unroll_8,pipeline_1,pipeline_1,1,29.5,0.139280204627,False
workload_4756.cpp,xcu200-fsgd2104-2-e,3.33,94.36172382,320,5,2,4,8,block_16_1,cyclic_64_1,block_64_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,unroll_32,unroll_34,pipeline_1,pipeline_1,unroll_34,1,4.75,0.871298547592,False
workload_4855.cpp,xcu200-fsgd2104-2-e,3.33,462.32077644,175,5,1,2,5,block_16_1,cyclic_64_1,cyclic_2_1,pipeline_1,pipeline_1,unroll_2,unroll_32,unroll_32,unroll_34,pipeline_1,pipeline_1,unroll_34,1,3.25,0.880077045175,False
workload_4907.cpp,xcu200-fsgd2104-2-e,3.33,3090.82614993,408,0,8,11,15,block_2_1,block_16_1,block_32_1,pipeline_1,unroll_16,pipeline_1,unroll_64,unroll_8,unroll_8,unroll_8,pipeline_1,pipeline_1,1,8.5,0.469031654095,False
