Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,OuterLoop_5,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_2_1,Replicate_Count,Area,Weight,is_pareto
workload_4836.cpp,xcu200-fsgd2104-2-e,3.33,66.98930031,443,5,2,4,7,block_16_1,block_16_1,block_64_1,unroll_5,pipeline_1,pipeline_1,unroll_64,unroll_32,unroll_16,pipeline_1,pipeline_1,unroll_34,1,4.5,0.8189819109,False
workload_4864.cpp,xcu200-fsgd2104-2-e,3.33,70.41829122,362,6,2,4,6,block_16_1,block_2_1,block_64_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,unroll_2,pipeline_1,pipeline_1,unroll_5,unroll_4,1,4.5,0.81877555885,False
workload_4892.cpp,xcu200-fsgd2104-2-e,3.33,66.99697263,383,6,2,4,6,block_16_1,block_2_1,block_64_1,unroll_5,pipeline_1,pipeline_1,unroll_16,unroll_32,unroll_16,pipeline_1,pipeline_1,unroll_34,1,4.5,0.818981470372,False
workload_4776.cpp,xcu200-fsgd2104-2-e,3.33,66.99185775,380,6,2,4,6,block_16_1,block_2_1,block_64_1,unroll_5,pipeline_1,pipeline_1,unroll_32,unroll_32,unroll_16,pipeline_1,pipeline_1,unroll_34,1,4.5,0.818981764068,False
workload_4826.cpp,xcu200-fsgd2104-2-e,3.33,66.96531099,439,6,2,4,7,block_16_1,block_2_1,cyclic_128_1,unroll_5,pipeline_1,pipeline_1,unroll_32,unroll_32,unroll_4,pipeline_1,pipeline_1,unroll_34,1,4.75,0.800903349322,False
workload_4847.cpp,xcu200-fsgd2104-2-e,3.33,66.99170124,443,5,2,4,7,block_16_1,block_32_1,block_64_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,unroll_32,pipeline_1,unroll_4,unroll_5,unroll_4,1,4.5,0.818981773054,False
workload_4777.cpp,xcu200-fsgd2104-2-e,3.33,67.00345947,574,5,3,5,10,block_16_1,block_32_1,block_8_1,unroll_5,pipeline_1,pipeline_1,unroll_64,unroll_32,unroll_8,unroll_2,pipeline_1,pipeline_1,1,5.75,0.778184905592,False
workload_4829.cpp,xcu200-fsgd2104-2-e,3.33,432.73345005,1097,5,5,6,15,block_16_1,block_64_1,cyclic_128_1,pipeline_1,pipeline_1,unroll_4,unroll_2,unroll_4,unroll_8,unroll_8,pipeline_1,pipeline_1,1,7.75,0.656486503672,False
workload_4794.cpp,xcu200-fsgd2104-2-e,3.33,3633.44486805,2035,5,33,13,24,block_16_1,block_64_1,cyclic_128_1,pipeline_1,unroll_16,unroll_4,unroll_2,unroll_4,unroll_8,unroll_8,pipeline_1,pipeline_1,1,18.75,0.110441101723,False
workload_4727.cpp,xcu200-fsgd2104-2-e,3.33,94.36172382,644,5,2,4,8,block_16_1,cyclic_64_1,block_64_1,pipeline_1,pipeline_1,pipeline_1,unroll_8,unroll_32,unroll_34,pipeline_1,pipeline_1,unroll_34,1,4.75,0.799769565139,False
workload_4808.cpp,xcu200-fsgd2104-2-e,3.33,124.25393502,607,5,9,6,11,block_16_1,cyclic_64_1,block_64_1,pipeline_1,unroll_16,pipeline_1,unroll_8,unroll_32,unroll_34,pipeline_1,pipeline_1,unroll_34,1,7.75,0.696995574211,False
workload_4923.cpp,xcu200-fsgd2104-2-e,3.33,1285.24265082,2500,0,0,10,24,block_2_1,block_16_1,cyclic_8_1,unroll_5,pipeline_1,unroll_32,unroll_4,unroll_8,unroll_8,unroll_2,unroll_5,pipeline_1,1,8.5,0.503439795556,False
workload_4899.cpp,xcu200-fsgd2104-2-e,3.33,1774.30803588,2592,1,3,26,39,block_2_1,block_16_1,cyclic_8_1,unroll_5,unroll_32,unroll_32,unroll_4,unroll_64,unroll_8,unroll_2,pipeline_1,pipeline_1,1,17.25,0.228710293766,False
workload_4843.cpp,xcu200-fsgd2104-2-e,3.33,3257.97786756,3205.5,0,0,10,27,block_2_1,block_16_1,cyclic_8_1,unroll_5,unroll_32,unroll_32,unroll_4,unroll_64,unroll_8,unroll_2,unroll_5,pipeline_1,2,9.25,0.217862964112,False
workload_4891.cpp,xcu200-fsgd2104-2-e,3.33,1427.26459671,1021,0,10,9,12,block_2_1,block_2_1,block_16_1,unroll_5,unroll_8,unroll_2,unroll_2,unroll_2,unroll_8,unroll_34,pipeline_1,unroll_8,1,7.75,0.498398293533,False
workload_4818.cpp,xcu200-fsgd2104-2-e,3.33,3503.70398214,368,0,1,6,9,block_2_1,block_2_1,block_2_1,unroll_5,unroll_8,unroll_4,unroll_16,unroll_8,unroll_8,unroll_4,pipeline_1,unroll_34,1,4,0.227440575413,False
workload_4773.cpp,xcu200-fsgd2104-2-e,3.33,3503.68352262,367,0,1,6,9,block_2_1,block_2_1,block_2_1,unroll_5,unroll_8,unroll_4,unroll_32,unroll_8,unroll_8,unroll_4,pipeline_1,unroll_34,1,4,0.227443005645,False
workload_4882.cpp,xcu200-fsgd2104-2-e,3.33,525.9218517,214,0,1,2,4,block_2_1,block_2_1,block_32_1,unroll_5,unroll_8,unroll_2,unroll_2,unroll_8,unroll_8,pipeline_1,pipeline_1,unroll_34,1,1.75,0.840961027362,False
workload_4964.cpp,xcu200-fsgd2104-2-e,3.33,1285.95233376,2364,0,0,10,23,block_2_1,block_4_1,cyclic_8_1,unroll_5,pipeline_1,unroll_32,unroll_2,unroll_8,unroll_4,unroll_2,unroll_5,pipeline_1,1,8.25,0.509553380524,False
workload_4959.cpp,xcu200-fsgd2104-2-e,3.33,450.07242705,575,0,3,8,13,block_2_1,block_4_1,cyclic_8_1,unroll_5,unroll_32,unroll_8,unroll_16,unroll_8,unroll_4,pipeline_1,pipeline_1,unroll_8,1,6,0.713115886903,False
workload_4813.cpp,xcu200-fsgd2104-2-e,3.33,625.79255436,835,0,1,4,13,block_2_1,block_64_1,block_32_1,unroll_5,unroll_32,unroll_2,unroll_2,unroll_64,unroll_4,pipeline_1,pipeline_1,unroll_16,1,4.5,0.732453174629,False
workload_4784.cpp,xcu200-fsgd2104-2-e,3.33,299.83392594,754,0,3,8,14,block_2_1,block_64_1,cyclic_8_1,unroll_5,unroll_32,unroll_8,unroll_16,unroll_64,unroll_4,pipeline_1,pipeline_1,unroll_16,1,6.25,0.726508790711,False
workload_4858.cpp,xcu200-fsgd2104-2-e,3.33,299.83222098,828,0,3,8,15,block_2_1,block_64_1,cyclic_8_1,unroll_5,unroll_32,unroll_8,unroll_32,unroll_64,unroll_4,pipeline_1,pipeline_1,unroll_16,1,6.5,0.71483486631,False
workload_4951.cpp,xcu200-fsgd2104-2-e,3.33,1184.17908888,1253,0,0,9,23,block_2_1,cyclic_128_1,cyclic_8_1,unroll_5,pipeline_1,unroll_32,unroll_64,unroll_8,unroll_8,unroll_2,unroll_5,pipeline_1,1,8,0.532367638007,False
workload_4862.cpp,xcu200-fsgd2104-2-e,3.33,3694.99392072,284,0,0,3,5,block_2_1,cyclic_2_1,block_32_1,pipeline_1,unroll_8,unroll_4,unroll_2,unroll_2,unroll_4,unroll_4,pipeline_1,pipeline_1,1,2,0.21665968205,False
workload_4958.cpp,xcu200-fsgd2104-2-e,3.33,517.31994222,236,0,0,3,5,block_2_1,cyclic_2_1,block_64_1,pipeline_1,pipeline_1,unroll_4,unroll_64,unroll_2,pipeline_1,unroll_4,pipeline_1,pipeline_1,1,2,0.835290516961,False
workload_4925.cpp,xcu200-fsgd2104-2-e,3.33,67.27368564,205,0,1,3,5,block_2_1,cyclic_4_1,block_32_1,unroll_5,pipeline_1,pipeline_1,unroll_16,unroll_8,unroll_16,pipeline_1,pipeline_1,pipeline_1,1,2.25,0.911871982665,False
workload_4922.cpp,xcu200-fsgd2104-2-e,3.33,89.82983025,226,0,8,6,8,block_2_1,cyclic_4_1,cyclic_16_1,unroll_5,unroll_8,pipeline_1,unroll_16,unroll_8,unroll_8,pipeline_1,pipeline_1,unroll_34,1,5.5,0.780176747115,False
workload_4873.cpp,xcu200-fsgd2104-2-e,3.33,3096.23408658,298,1,16,8,10,block_4_1,block_2_1,block_2_1,unroll_5,unroll_8,pipeline_1,unroll_32,unroll_8,unroll_8,unroll_4,pipeline_1,unroll_34,1,8.75,0.240552156298,False
workload_4824.cpp,xcu200-fsgd2104-2-e,3.33,66.96551745,366,1,2,4,8,block_4_1,block_32_1,block_8_1,pipeline_1,pipeline_1,pipeline_1,unroll_64,unroll_32,unroll_8,unroll_34,pipeline_1,unroll_2,1,3.75,0.853167235564,False
workload_4759.cpp,xcu200-fsgd2104-2-e,3.33,67.00345947,417,1,3,5,9,block_4_1,block_32_1,block_8_1,unroll_5,pipeline_1,pipeline_1,unroll_64,unroll_32,unroll_8,unroll_2,pipeline_1,unroll_2,1,4.5,0.818981097836,False
workload_4890.cpp,xcu200-fsgd2104-2-e,3.33,450.92757771,567,1,5,5,10,block_4_1,cyclic_128_1,cyclic_16_1,unroll_5,pipeline_1,unroll_4,unroll_2,unroll_8,pipeline_1,unroll_4,pipeline_1,unroll_2,1,5.25,0.735992149612,False
workload_4879.cpp,xcu200-fsgd2104-2-e,3.33,450.84830373,321,1,4,6,8,block_4_1,cyclic_4_1,block_2_1,unroll_5,pipeline_1,unroll_4,unroll_32,unroll_2,pipeline_1,unroll_4,pipeline_1,unroll_2,1,4.75,0.753403292105,False
workload_4726.cpp,xcu200-fsgd2104-2-e,3.33,461.71792323,192,1,3,3,5,block_4_1,cyclic_4_1,block_32_1,unroll_5,pipeline_1,unroll_2,unroll_2,unroll_2,pipeline_1,pipeline_1,pipeline_1,unroll_2,1,3,0.815221504672,False
