Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,OuterLoop_1,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
workload_162.cpp,xcu200-fsgd2104-2-e,3.33,0.08607717,137.5,0,0,1,2,pipeline_1,pipeline_1,4,0.75,1,True
workload_165.cpp,xcu200-fsgd2104-2-e,3.33,0.09629028,143.5,0,0,1,2,pipeline_1,unroll_2,2,0.75,0.983383307068,False
workload_172.cpp,xcu200-fsgd2104-2-e,3.33,0.09629028,145,0,0,1,2,pipeline_1,unroll_4,2,0.75,0.983383307068,False
workload_186.cpp,xcu200-fsgd2104-2-e,3.33,0.99122778,484.5,0,0,5,7,unroll_16,pipeline_1,2,3,0.302585988259,False
workload_178.cpp,xcu200-fsgd2104-2-e,3.33,0.92281626,970,0,1,4,5,unroll_16,unroll_2,1,2.5,0.360714644552,False
workload_161.cpp,xcu200-fsgd2104-2-e,3.33,0.9445545,121,0,0,1,1,unroll_2,pipeline_1,2,0.5,0.397039622906,False
workload_173.cpp,xcu200-fsgd2104-2-e,3.33,0.86612634,150,0,0,1,1,unroll_2,unroll_2,1,0.5,1,True
workload_160.cpp,xcu200-fsgd2104-2-e,3.33,0.72972954,238,0,1,1,2,unroll_2,unroll_4,1,1,0.472224582002,False
workload_163.cpp,xcu200-fsgd2104-2-e,3.33,1.00028538,1065,0,0.5,10.5,14,unroll_32,pipeline_1,2,6.25,0.194228914919,False
workload_181.cpp,xcu200-fsgd2104-2-e,3.33,0.92175066,3194,0,1,7,9,unroll_32,unroll_2,1,4.25,0.292425178073,False
workload_174.cpp,xcu200-fsgd2104-2-e,3.33,0.93517722,166,0,0,1,2.5,unroll_4,pipeline_1,2,0.875,0.403063892931,False
workload_176.cpp,xcu200-fsgd2104-2-e,3.33,0.87124122,247,0,0,1,2,unroll_4,unroll_2,1,0.75,0.46196492608,False
workload_187.cpp,xcu200-fsgd2104-2-e,3.33,0.7229097,483,0,1,2,2,unroll_4,unroll_4,1,1.25,0.468463543284,False
workload_169.cpp,xcu200-fsgd2104-2-e,3.33,0.9996993,3241,0,0.5,20.5,27,unroll_64,pipeline_1,2,12,0.1,False
workload_164.cpp,xcu200-fsgd2104-2-e,3.33,0.93048858,260,0,0,2.5,4,unroll_8,pipeline_1,2,1.625,0.387574730381,False
workload_177.cpp,xcu200-fsgd2104-2-e,3.33,0.87720858,466,0,1,2,3,unroll_8,unroll_2,1,1.5,0.427600568682,False
workload_190.cpp,xcu200-fsgd2104-2-e,3.33,0.80986266,1065,0,1,3,4,unroll_8,unroll_4,1,2,0.433153050206,False
workload_130.cpp,xcu200-fsgd2104-2-e,5,0.128955,131.5,0,0,1,2,pipeline_1,pipeline_1,4,0.75,1,True
workload_133.cpp,xcu200-fsgd2104-2-e,5,0.128985,137.5,0,0,1,2,pipeline_1,unroll_2,2,0.75,0.999959072014,False
workload_142.cpp,xcu200-fsgd2104-2-e,5,0.128985,140,0,0,1,2,pipeline_1,unroll_4,2,0.75,0.999959072014,False
workload_155.cpp,xcu200-fsgd2104-2-e,5,1.21441,453.5,0,0.5,5,7.5,unroll_16,pipeline_1,2,3.25,0.298198080792,False
workload_147.cpp,xcu200-fsgd2104-2-e,5,1.13473,796,0,1,3,5,unroll_16,unroll_2,1,2.25,0.372061488042,False
workload_159.cpp,xcu200-fsgd2104-2-e,5,0.98689,3057,0,1,6,8,unroll_16,unroll_4,1,3.75,0.358194998681,False
workload_129.cpp,xcu200-fsgd2104-2-e,5,1.15201,119,0,0,1,1.5,unroll_2,pipeline_1,2,0.625,0.409745882269,False
workload_138.cpp,xcu200-fsgd2104-2-e,5,1.08545,144,0,1,0,1,unroll_2,unroll_2,1,0.5,1,True
workload_128.cpp,xcu200-fsgd2104-2-e,5,0.90113,212,0,0,1,2,unroll_2,unroll_4,1,0.75,0.465135378979,False
workload_131.cpp,xcu200-fsgd2104-2-e,5,1.22545,993,0,0.5,10.5,14.5,unroll_32,pipeline_1,2,6.375,0.193185398491,False
workload_149.cpp,xcu200-fsgd2104-2-e,5,1.13313,2483,0,1,7,9,unroll_32,unroll_2,1,4.25,0.293897737761,False
workload_143.cpp,xcu200-fsgd2104-2-e,5,1.13793,157,0,0,1,2.5,unroll_4,pipeline_1,2,0.875,0.417148194187,False
workload_144.cpp,xcu200-fsgd2104-2-e,5,1.07265,219,0,0,1,2,unroll_4,unroll_2,1,0.75,0.459712213799,False
workload_154.cpp,xcu200-fsgd2104-2-e,5,0.89601,409,0,1,2,2,unroll_4,unroll_4,1,1.25,0.459628012385,False
workload_134.cpp,xcu200-fsgd2104-2-e,5,1.22457,2976.5,0,0.5,20,28,unroll_64,pipeline_1,2,12.125,0.1,False
workload_132.cpp,xcu200-fsgd2104-2-e,5,1.13089,249,0,0,2.5,4,unroll_8,pipeline_1,2,1.625,0.397840437277,False
workload_145.cpp,xcu200-fsgd2104-2-e,5,1.08161,391,0,1,2,3,unroll_8,unroll_2,1,1.5,0.426387349554,False
workload_158.cpp,xcu200-fsgd2104-2-e,5,0.99073,870,0,1,3,4,unroll_8,unroll_4,1,2,0.430348035965,False
workload_110.cpp,xcu200-fsgd2104-2-e,10,0.25726,121,0,0,1,2,pipeline_1,pipeline_1,4,0.75,1,True
workload_101.cpp,xcu200-fsgd2104-2-e,10,0.26754,128,0,0,1,2,pipeline_1,unroll_2,2,0.75,0.988013423979,False
workload_111.cpp,xcu200-fsgd2104-2-e,10,0.26754,127,0,0,1,2,pipeline_1,unroll_4,2,0.75,0.988013423979,False
workload_121.cpp,xcu200-fsgd2104-2-e,10,1.48162,404,0,1,5,8,unroll_16,pipeline_1,2,3.5,0.308973043247,False
workload_108.cpp,xcu200-fsgd2104-2-e,10,1.59362,581,0,1,4,5,unroll_16,unroll_2,1,2.5,0.30585014033,False
workload_127.cpp,xcu200-fsgd2104-2-e,10,1.32866,2001,0,1,6,8,unroll_16,unroll_4,1,3.75,0.343633770405,False
workload_104.cpp,xcu200-fsgd2104-2-e,10,1.39266,111,0,0,1,1.5,unroll_2,pipeline_1,2,0.625,1,True
workload_103.cpp,xcu200-fsgd2104-2-e,10,1.54626,123,0,0,0,1,unroll_2,unroll_2,1,0.25,1,True
