Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,OuterLoop_1,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
workload_4427.cpp,xcu200-fsgd2104-2-e,3.33,0.11900088,1003,0,22,12,15,block_16_1,block_4_1,block_64_1,block_4_1,cyclic_4_1,block_2_1,unroll_4,unroll_16,1,12.25,0.10289984939,False
workload_4466.cpp,xcu200-fsgd2104-2-e,3.33,0.09363627,507,0,2,4,6,block_16_1,cyclic_2_1,block_64_1,complete_1,complete_1,complete_1,pipeline_1,unroll_2,1,3,0.713303231052,False
workload_4489.cpp,xcu200-fsgd2104-2-e,3.33,0.0936063,423,0,2,3,5,block_16_1,cyclic_2_1,cyclic_16_1,block_8_1,complete_1,block_8_1,pipeline_1,unroll_4,1,2.5,0.772178851675,False
workload_4426.cpp,xcu200-fsgd2104-2-e,3.33,0.0936063,425,0,2,3,5,block_16_1,cyclic_2_1,cyclic_16_1,cyclic_2_1,complete_1,complete_1,pipeline_1,unroll_2,1,2.5,0.772178851675,False
workload_4340.cpp,xcu200-fsgd2104-2-e,3.33,0.09363294,525,0,2,4,6,block_16_1,cyclic_64_1,block_64_1,complete_1,cyclic_2_1,block_4_1,pipeline_1,unroll_2,1,3,0.71330695065,False
workload_4373.cpp,xcu200-fsgd2104-2-e,3.33,0.09360297,441,0,2,3,5,block_16_1,cyclic_64_1,cyclic_8_1,complete_1,cyclic_2_1,block_4_1,pipeline_1,unroll_2,1,2.5,0.772184000331,False
workload_4380.cpp,xcu200-fsgd2104-2-e,3.33,0.45490464,817,0,7,1,7,block_16_1,cyclic_8_1,cyclic_4_1,complete_1,block_2_1,block_8_1,unroll_8,unroll_4,1,3.75,0.102448520099,False
workload_4403.cpp,xcu200-fsgd2104-2-e,3.33,0.12709944,261,0,2,1,4,block_16_1,cyclic_8_1,cyclic_8_1,complete_1,block_2_1,block_8_1,unroll_2,pipeline_1,1,1.75,0.747999083934,False
workload_4417.cpp,xcu200-fsgd2104-2-e,3.33,0.11998656,1593,0,0,9,10,block_16_1,cyclic_8_1,cyclic_8_1,complete_1,block_2_1,block_8_1,unroll_64,pipeline_1,1,4.75,0.500317154019,False
workload_4351.cpp,xcu200-fsgd2104-2-e,3.33,0.45831456,821,0,7,1,8,block_16_1,cyclic_8_1,cyclic_8_1,complete_1,block_2_1,block_8_1,unroll_8,unroll_4,1,4,0.101288297695,False
workload_4407.cpp,xcu200-fsgd2104-2-e,3.33,0.10536453,1944,0,0,6,8,block_2_1,block_128_1,block_128_1,cyclic_8_1,cyclic_2_1,block_8_1,unroll_64,pipeline_1,1,3.5,0.642978860357,False
workload_4418.cpp,xcu200-fsgd2104-2-e,3.33,0.10536453,1947,0,0,6,8,block_2_1,block_128_1,block_128_1,cyclic_8_1,cyclic_2_1,cyclic_4_1,unroll_64,pipeline_1,1,3.5,0.642978860357,False
workload_4334.cpp,xcu200-fsgd2104-2-e,3.33,0.1053612,2259,0,0,6,11,block_2_1,block_128_1,cyclic_64_1,complete_1,cyclic_2_1,block_8_1,unroll_64,pipeline_1,1,4.25,0.563718177185,False
workload_4376.cpp,xcu200-fsgd2104-2-e,3.33,0.10659996,821,0,0,10,16,block_2_1,block_16_1,block_32_1,cyclic_8_1,block_8_1,block_4_1,unroll_16,pipeline_1,1,6.5,0.357375877365,False
workload_4445.cpp,xcu200-fsgd2104-2-e,3.33,0.15991992,262,0,1,3,5,block_2_1,block_16_1,cyclic_4_1,block_4_1,complete_1,cyclic_4_1,unroll_4,unroll_8,1,2.25,0.619619856867,False
workload_4527.cpp,xcu200-fsgd2104-2-e,3.33,0.07724601,170,0,0,2,4,block_2_1,block_2_1,block_8_1,cyclic_2_1,cyclic_2_1,complete_1,pipeline_1,unroll_2,1,1.5,0.916138974919,False
