Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,OuterLoop_1,InnerLoop_1_1,InnerLoop_2_1,InnerLoop_3_1,Replicate_Count,Area,Weight,is_pareto
workload_2326.cpp,xcu200-fsgd2104-2-e,3.33,12.11363757,332,0,0,2,4,block_2_1,unroll_16,pipeline_1,unroll_5,pipeline_1,1,1.5,0.768497178489,False
workload_2036.cpp,xcu200-fsgd2104-2-e,3.33,94.63573287,2222,0,0,6,15,block_2_1,unroll_16,unroll_4,unroll_5,pipeline_1,1,5.25,0.110432422199,False
workload_2269.cpp,xcu200-fsgd2104-2-e,3.33,12.13718733,130,0,0,0,0,block_2_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,1,0,0.999610015869,False
workload_2067.cpp,xcu200-fsgd2104-2-e,3.33,12.11454333,127,0,0,0,0,block_2_1,unroll_2,pipeline_1,unroll_5,pipeline_1,4,0,1,True
workload_2170.cpp,xcu200-fsgd2104-2-e,3.33,12.13718733,128,0,0,0,0,block_2_1,unroll_2,pipeline_1,unroll_5,unroll_5,1,0,0.999610015869,False
workload_2042.cpp,xcu200-fsgd2104-2-e,3.33,59.53651389,813,0,0,5,11.5,block_2_1,unroll_2,unroll_32,pipeline_1,unroll_5,2,4.125,0.243387888378,False
workload_2008.cpp,xcu200-fsgd2104-2-e,3.33,50.08762557,253,0,0,1,3,block_2_1,unroll_2,unroll_8,pipeline_1,pipeline_1,1,1,0.452627394897,False
workload_2294.cpp,xcu200-fsgd2104-2-e,3.33,12.11363757,568,0,0,4,9,block_2_1,unroll_32,pipeline_1,unroll_5,pipeline_1,1,3.25,0.523546913382,False
workload_2220.cpp,xcu200-fsgd2104-2-e,3.33,12.13628157,159.5,0,0,0,1,block_2_1,unroll_4,pipeline_1,pipeline_1,pipeline_1,2,0.25,0.977341264911,False
workload_2229.cpp,xcu200-fsgd2104-2-e,3.33,12.11363757,156.5,0,0,0,1,block_2_1,unroll_4,pipeline_1,unroll_5,pipeline_1,4,0.25,1,True
workload_2311.cpp,xcu200-fsgd2104-2-e,3.33,12.13628157,155,0,0,0,1,block_2_1,unroll_4,pipeline_1,unroll_5,unroll_5,1,0.25,0.977341264911,False
workload_2384.cpp,xcu200-fsgd2104-2-e,3.33,95.07083733,220,0,0,0,2,block_2_1,unroll_4,unroll_2,unroll_5,pipeline_1,1,0.5,0.137892968381,False
workload_2019.cpp,xcu200-fsgd2104-2-e,3.33,73.27462869,1777,0,0,11,23,block_2_1,unroll_4,unroll_32,pipeline_1,pipeline_1,1,8.5,0.131146754628,False
workload_2061.cpp,xcu200-fsgd2104-2-e,3.33,73.27462869,414,0,0,2,6,block_2_1,unroll_4,unroll_8,pipeline_1,pipeline_1,1,2,0.233444562456,False
workload_2317.cpp,xcu200-fsgd2104-2-e,3.33,11.41326531,1244.5,0,0,9,23,block_2_1,unroll_64,pipeline_1,pipeline_1,pipeline_1,2,8,0.408547387678,False
workload_2296.cpp,xcu200-fsgd2104-2-e,3.33,11.41326531,1223.5,0,0,9,22,block_2_1,unroll_64,pipeline_1,pipeline_1,unroll_5,2,7.75,1,True
workload_2242.cpp,xcu200-fsgd2104-2-e,3.33,11.40128064,1186,0,0,10,25,block_2_1,unroll_64,pipeline_1,unroll_5,pipeline_1,4,8.75,1,True
workload_2211.cpp,xcu200-fsgd2104-2-e,3.33,11.41326531,1211,0,0,10,25,block_2_1,unroll_64,pipeline_1,unroll_5,unroll_5,1,8.75,0.382584613512,False
workload_2161.cpp,xcu200-fsgd2104-2-e,3.33,12.11363757,211,0,0,1,2,block_2_1,unroll_8,pipeline_1,unroll_5,pipeline_1,3,0.75,0.89051232822,False
workload_2302.cpp,xcu200-fsgd2104-2-e,3.33,12.11363757,329,0,0,2,4,block_4_1,unroll_16,pipeline_1,unroll_5,pipeline_1,1,1.5,0.768497178489,False
workload_2098.cpp,xcu200-fsgd2104-2-e,3.33,12.13718733,129,0,0,0,0,block_4_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,3,0,0.999610015869,False
workload_2057.cpp,xcu200-fsgd2104-2-e,3.33,12.13718733,131,0,0,0,0,block_4_1,unroll_2,pipeline_1,pipeline_1,unroll_5,3,0,0.999610015869,False
workload_2185.cpp,xcu200-fsgd2104-2-e,3.33,12.11454333,129,0,0,0,0,block_4_1,unroll_2,pipeline_1,unroll_5,pipeline_1,4,0,1,True
workload_2293.cpp,xcu200-fsgd2104-2-e,3.33,12.13718733,130,0,0,0,0,block_4_1,unroll_2,pipeline_1,unroll_5,unroll_5,2,0,0.999610015869,False
workload_2075.cpp,xcu200-fsgd2104-2-e,3.33,50.08762557,508,0,0,3,7,block_4_1,unroll_2,unroll_16,pipeline_1,pipeline_1,1,2.5,0.387455459275,False
