Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,Array_7,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,OuterLoop_5,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_1_4,InnerLoop_1_5,InnerLoop_1_6,InnerLoop_2_1,InnerLoop_2_2,InnerLoop_2_3,InnerLoop_2_4,InnerLoop_2_5,InnerLoop_2_6,InnerLoop_2_7,InnerLoop_3_1,Replicate_Count,Area,Weight,is_pareto
workload_5564.cpp,xcu200-fsgd2104-2-e,3.33,4.95971865,1744,1,0,2,16,cyclic_16_1,cyclic_128_1,block_128_1,block_128_1,cyclic_128_1,block_2_1,cyclic_2_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_4,unroll_4,unroll_4,unroll_2,unroll_2,pipeline_1,unroll_2,unroll_2,pipeline_1,unroll_8,pipeline_1,unroll_4,unroll_5,1,4.75,0.417781411226,False
workload_5687.cpp,xcu200-fsgd2104-2-e,3.33,4.56543333,1062,0,0,1,14,cyclic_2_1,cyclic_128_1,cyclic_2_1,block_2_1,cyclic_128_1,block_2_1,cyclic_4_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_4,unroll_4,unroll_32,unroll_2,unroll_5,unroll_8,unroll_2,unroll_16,unroll_16,pipeline_1,unroll_4,unroll_5,1,3.75,0.71827710056,False
workload_5646.cpp,xcu200-fsgd2104-2-e,3.33,4.56807069,867.5,0,0,1,12,cyclic_2_1,cyclic_128_1,cyclic_2_1,block_2_1,cyclic_128_1,block_2_1,cyclic_4_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_4,unroll_4,unroll_4,unroll_8,unroll_2,unroll_5,unroll_2,unroll_2,unroll_16,pipeline_1,pipeline_1,unroll_4,unroll_5,2,3.25,0.818065220218,False
workload_5713.cpp,xcu200-fsgd2104-2-e,3.33,4.84978869,931,1,0,2,12,cyclic_2_1,cyclic_2_1,block_128_1,block_2_1,cyclic_128_1,block_2_1,cyclic_4_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_5,pipeline_1,unroll_4,pipeline_1,unroll_8,unroll_2,unroll_5,unroll_16,unroll_2,unroll_36,pipeline_1,pipeline_1,unroll_4,unroll_5,1,3.75,0.706733892612,False
workload_5677.cpp,xcu200-fsgd2104-2-e,3.33,4.68027837,1550,1,0,2,16,cyclic_2_1,cyclic_2_1,cyclic_16_1,block_128_1,cyclic_128_1,block_2_1,cyclic_4_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_4,unroll_4,unroll_2,unroll_2,unroll_5,unroll_8,unroll_2,unroll_16,pipeline_1,pipeline_1,unroll_4,unroll_5,1,4.75,0.419593128304,False
workload_5603.cpp,xcu200-fsgd2104-2-e,3.33,4.68051813,1273,1,0,2,13,cyclic_2_1,cyclic_2_1,cyclic_2_1,block_128_1,cyclic_128_1,block_2_1,complete_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_4,unroll_4,unroll_2,unroll_2,unroll_5,unroll_4,unroll_2,unroll_16,unroll_16,pipeline_1,unroll_4,unroll_5,1,4,0.644066029247,False
workload_5656.cpp,xcu200-fsgd2104-2-e,3.33,4.68051813,1305,1,0,2,14,cyclic_2_1,cyclic_2_1,cyclic_2_1,block_128_1,cyclic_128_1,block_2_1,cyclic_2_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_4,unroll_4,unroll_32,unroll_2,unroll_5,unroll_8,unroll_2,unroll_16,unroll_16,pipeline_1,unroll_4,unroll_5,1,4.25,0.564207569344,False
workload_5704.cpp,xcu200-fsgd2104-2-e,3.33,4.68315549,1241,1,0,1,12,cyclic_2_1,cyclic_2_1,cyclic_2_1,block_128_1,cyclic_128_1,block_2_1,cyclic_2_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,unroll_4,unroll_4,unroll_4,unroll_8,unroll_2,unroll_5,unroll_2,unroll_2,unroll_16,pipeline_1,pipeline_1,unroll_4,unroll_5,1,3.5,0.735738239367,False
workload_5555.cpp,xcu200-fsgd2104-2-e,3.33,5.67072693,1545,1,0,2,15,cyclic_2_1,cyclic_2_1,cyclic_2_1,block_128_1,cyclic_128_1,block_2_1,cyclic_4_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,unroll_2,unroll_5,pipeline_1,unroll_2,unroll_4,unroll_2,unroll_2,unroll_5,pipeline_1,unroll_36,unroll_16,unroll_16,pipeline_1,unroll_4,unroll_5,1,4.5,0.476537579715,False
workload_5592.cpp,xcu200-fsgd2104-2-e,3.33,5.66976789,1273,1,0,2,13,cyclic_2_1,cyclic_2_1,cyclic_2_1,block_128_1,cyclic_128_1,block_2_1,cyclic_4_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,unroll_2,unroll_5,pipeline_1,unroll_8,unroll_4,unroll_2,unroll_2,unroll_5,unroll_2,unroll_2,unroll_16,unroll_16,pipeline_1,unroll_4,unroll_5,2,4,0.61557906484,False
workload_5605.cpp,xcu200-fsgd2104-2-e,3.33,4.56543333,630,1,0,1,9,cyclic_2_1,cyclic_2_1,cyclic_2_1,block_2_1,cyclic_128_1,block_2_1,cyclic_4_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_5,pipeline_1,unroll_4,unroll_4,unroll_8,unroll_2,unroll_5,unroll_2,unroll_2,unroll_16,pipeline_1,pipeline_1,unroll_4,unroll_5,1,2.75,0.88392315504,False
workload_5745.cpp,xcu200-fsgd2104-2-e,3.33,4.44823731,640,1,0,1,8,cyclic_2_1,cyclic_2_1,cyclic_2_1,block_2_1,cyclic_128_1,block_2_1,cyclic_4_1,pipeline_1,pipeline_1,unroll_8,pipeline_1,unroll_2,unroll_5,pipeline_1,unroll_4,pipeline_1,unroll_2,unroll_2,pipeline_1,unroll_8,unroll_2,unroll_16,pipeline_1,pipeline_1,unroll_4,unroll_5,1,2.5,0.965941757598,False
workload_5645.cpp,xcu200-fsgd2104-2-e,3.33,5.66976789,768,1,0,2,11,cyclic_2_1,cyclic_2_1,cyclic_2_1,block_64_1,cyclic_128_1,block_2_1,cyclic_2_1,pipeline_1,pipeline_1,pipeline_1,unroll_32,unroll_2,unroll_5,pipeline_1,unroll_8,unroll_4,unroll_2,unroll_2,pipeline_1,unroll_2,unroll_2,unroll_16,unroll_8,pipeline_1,unroll_4,unroll_5,1,3.5,0.703793547911,False
workload_5680.cpp,xcu200-fsgd2104-2-e,3.33,4.56519357,613,1,0,1,9,cyclic_2_1,cyclic_2_1,cyclic_4_1,block_2_1,cyclic_128_1,block_2_1,cyclic_4_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_5,pipeline_1,unroll_4,unroll_4,unroll_8,unroll_2,unroll_5,unroll_2,unroll_2,unroll_16,pipeline_1,pipeline_1,unroll_4,unroll_5,1,2.75,0.88393061177,False
workload_5714.cpp,xcu200-fsgd2104-2-e,3.33,4.17750165,1197,2,0,1,9,cyclic_2_1,cyclic_2_1,cyclic_4_1,cyclic_16_1,cyclic_128_1,block_2_1,cyclic_4_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,pipeline_1,pipeline_1,unroll_4,unroll_4,unroll_2,unroll_2,unroll_5,unroll_4,unroll_2,unroll_36,unroll_16,pipeline_1,unroll_4,unroll_5,1,3,0.840249971229,False
workload_5746.cpp,xcu200-fsgd2104-2-e,3.33,4.17750165,1196,2,0,1,9,cyclic_2_1,cyclic_2_1,cyclic_4_1,cyclic_16_1,cyclic_128_1,block_2_1,cyclic_4_1,pipeline_1,pipeline_1,pipeline_1,pipeline_1,unroll_2,unroll_5,pipeline_1,unroll_4,unroll_4,unroll_2,unroll_2,unroll_5,unroll_4,unroll_2,unroll_36,unroll_16,pipeline_1,unroll_4,unroll_5,1,3,0.840249971229,False
