Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_2,Array_3,Array_4,Array_5,OuterLoop_1,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_2_1,InnerLoop_2_2,InnerLoop_2_3,InnerLoop_3_1,Replicate_Count,Area,Weight,is_pareto
workload_5469.cpp,xcu200-fsgd2104-2-e,3.33,37.41689898,202,0,0,1,2,block_2_2,block_16_1,block_32_1,complete_2,unroll_2,unroll_8,unroll_2,unroll_16,pipeline_1,unroll_64,unroll_2,pipeline_1,1,0.75,0.989862818523,False
workload_5092.cpp,xcu200-fsgd2104-2-e,3.33,209.18016378,984,0,0,2,4,block_2_2,block_16_1,cyclic_2_1,block_8_1,unroll_4,unroll_8,unroll_2,unroll_2,unroll_4,unroll_2,unroll_2,unroll_8,1,1.5,0.755514057016,False
workload_5500.cpp,xcu200-fsgd2104-2-e,3.33,37.4165793,233,0,0,1,2,block_2_2,block_16_1,cyclic_2_1,cyclic_8_1,unroll_2,unroll_16,unroll_2,unroll_16,pipeline_1,unroll_64,unroll_2,pipeline_1,1,0.75,0.989863205422,False
workload_5599.cpp,xcu200-fsgd2104-2-e,3.33,35.9714925,343,0,0,3,4,block_2_2,block_16_1,cyclic_2_1,cyclic_8_1,unroll_2,unroll_16,unroll_2,unroll_8,pipeline_1,unroll_2,unroll_8,pipeline_1,1,1.75,0.949779008811,False
workload_5509.cpp,xcu200-fsgd2104-2-e,3.33,37.41689898,209,0,0,1,2,block_2_2,block_16_1,cyclic_2_1,cyclic_8_1,unroll_2,unroll_8,unroll_2,unroll_16,pipeline_1,unroll_64,unroll_2,pipeline_1,1,0.75,0.989862818523,False
workload_5522.cpp,xcu200-fsgd2104-2-e,3.33,409.9591305,889,0,0,1,3,block_2_2,block_16_1,cyclic_2_1,cyclic_8_1,unroll_2,unroll_8,unroll_2,unroll_8,pipeline_1,unroll_64,unroll_16,unroll_2,1,1,0.435531194356,False
workload_5289.cpp,xcu200-fsgd2104-2-e,3.33,35.9240733,860,0,0,9,11,block_2_2,block_16_1,cyclic_32_1,cyclic_8_1,unroll_2,unroll_8,unroll_2,unroll_8,unroll_4,unroll_64,unroll_16,pipeline_1,1,5,0.808178267779,False
workload_5137.cpp,xcu200-fsgd2104-2-e,3.33,38.19758418,1023,0,0,5,8,block_2_2,block_2_1,block_32_1,block_2_1,unroll_2,unroll_16,unroll_4,unroll_8,unroll_8,unroll_64,unroll_2,pipeline_1,1,3.25,0.87252595508,False
workload_4992.cpp,xcu200-fsgd2104-2-e,3.33,38.21569938,935,0,0,5,8,block_2_2,block_2_1,block_32_1,block_4_1,unroll_2,unroll_16,unroll_4,unroll_8,unroll_4,unroll_64,unroll_2,pipeline_1,1,3.25,0.872522966883,False
workload_4871.cpp,xcu200-fsgd2104-2-e,3.33,38.43550602,710,0,0,7,9,block_2_2,block_2_1,block_32_1,cyclic_8_1,unroll_2,pipeline_1,unroll_4,unroll_8,unroll_2,unroll_2,unroll_4,pipeline_1,1,4,0.85355811224,False
workload_5068.cpp,xcu200-fsgd2104-2-e,3.33,38.38331826,1049,0,0,7,10,block_2_2,block_2_1,cyclic_2_1,block_2_1,unroll_2,pipeline_1,unroll_4,unroll_8,unroll_4,unroll_64,unroll_4,pipeline_1,1,4.25,0.844303177972,False
workload_5107.cpp,xcu200-fsgd2104-2-e,3.33,38.38331826,1061,0,0,7,10,block_2_2,block_2_1,cyclic_2_1,block_4_1,unroll_2,pipeline_1,unroll_4,unroll_8,unroll_4,unroll_64,unroll_4,pipeline_1,1,4.25,0.844303177972,False
workload_4945.cpp,xcu200-fsgd2104-2-e,3.33,38.43550602,713,0,0,7,9,block_2_2,block_2_1,cyclic_2_1,cyclic_4_1,unroll_2,pipeline_1,unroll_4,unroll_8,unroll_2,unroll_2,unroll_4,pipeline_1,1,4,0.85355811224,False
workload_5103.cpp,xcu200-fsgd2104-2-e,3.33,38.52874602,836,0,0,7,11,block_2_2,block_2_1,cyclic_2_1,cyclic_4_1,unroll_2,pipeline_1,unroll_4,unroll_8,unroll_4,unroll_2,unroll_4,pipeline_1,1,4.5,0.841782497356,False
workload_5076.cpp,xcu200-fsgd2104-2-e,3.33,38.51063082,890,0,0,7,11,block_2_2,block_2_1,cyclic_2_1,cyclic_4_1,unroll_2,pipeline_1,unroll_4,unroll_8,unroll_8,unroll_2,unroll_4,pipeline_1,1,4.5,0.841802681107,False
workload_5000.cpp,xcu200-fsgd2104-2-e,3.33,38.62635498,1029,0,0,7,11,block_2_2,block_2_1,cyclic_2_1,cyclic_8_1,unroll_2,pipeline_1,unroll_4,unroll_8,unroll_2,unroll_64,unroll_4,pipeline_1,1,4.5,0.841673700582,False
workload_5138.cpp,xcu200-fsgd2104-2-e,3.33,60.49699578,497,0,0,4,6,block_2_2,block_2_1,cyclic_8_1,cyclic_8_1,unroll_2,unroll_2,unroll_2,pipeline_1,unroll_16,unroll_2,unroll_4,pipeline_1,1,2.5,0.881924763094,False
workload_5184.cpp,xcu200-fsgd2104-2-e,3.33,422.04665754,474,0,0,1,2,block_2_2,block_32_1,cyclic_16_1,cyclic_2_1,unroll_2,unroll_8,unroll_2,unroll_16,unroll_2,unroll_2,unroll_2,unroll_8,1,0.75,0.418660995099,False
workload_5155.cpp,xcu200-fsgd2104-2-e,3.33,59.68117242,226,0,0,1,2,block_2_2,block_32_1,cyclic_16_1,cyclic_2_1,unroll_2,unroll_8,unroll_2,unroll_16,unroll_4,unroll_64,unroll_2,pipeline_1,1,0.75,0.944827025795,False
workload_5312.cpp,xcu200-fsgd2104-2-e,3.33,37.46309274,265,0,0,2,3,block_2_2,block_32_1,cyclic_16_1,cyclic_8_1,unroll_2,unroll_2,unroll_4,unroll_8,unroll_4,unroll_16,unroll_2,pipeline_1,1,1.25,0.969663105452,False
workload_5073.cpp,xcu200-fsgd2104-2-e,3.33,645.64875162,351,0,0,0,2,block_2_2,block_32_1,cyclic_16_1,cyclic_8_1,unroll_2,unroll_8,unroll_2,unroll_4,unroll_2,unroll_64,unroll_4,unroll_2,1,0.5,0.177300615007,False
workload_5020.cpp,xcu200-fsgd2104-2-e,3.33,645.61145562,340,0,0,0,2,block_2_2,block_32_1,cyclic_16_1,cyclic_8_1,unroll_2,unroll_8,unroll_2,unroll_4,unroll_4,unroll_64,unroll_4,unroll_2,1,0.5,0.177327224124,False
workload_5118.cpp,xcu200-fsgd2104-2-e,3.33,59.68412946,471,0,0,2,4,block_2_2,block_32_1,cyclic_16_1,cyclic_8_1,unroll_2,unroll_8,unroll_4,unroll_16,unroll_4,unroll_64,unroll_2,pipeline_1,1,1.5,0.923828036302,False
workload_5639.cpp,xcu200-fsgd2104-2-e,3.33,35.97181218,325,0,0,3,4,block_2_2,block_32_1,cyclic_2_1,complete_2,unroll_2,unroll_8,unroll_2,unroll_8,pipeline_1,unroll_2,unroll_8,pipeline_1,1,1.75,0.949778643785,False
workload_5246.cpp,xcu200-fsgd2104-2-e,3.33,37.45568682,444,0,0,2,4,block_2_2,block_32_1,cyclic_2_1,cyclic_2_1,unroll_2,unroll_8,unroll_4,unroll_16,unroll_4,unroll_64,unroll_2,pipeline_1,1,1.5,0.949893615937,False
