Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,OuterLoop_2,InnerLoop_1_2,Replicate_Count,Area,Weight,is_pareto
workload_3923.cpp,xcu200-fsgd2104-2-e,3.33,3.54293352,307,0,0,3,16,block_128_1,block_16_1,pipeline_1,unroll_64,3,4.75,0.639598406162,False
workload_4028.cpp,xcu200-fsgd2104-2-e,3.33,3.5497467,395,0,0,2,16,block_128_1,block_4_1,pipeline_1,unroll_64,1,4.5,0.669971856852,False
workload_4007.cpp,xcu200-fsgd2104-2-e,3.33,3.5497467,343,0,0,2,16,block_128_1,block_8_1,pipeline_1,unroll_64,3,4.5,0.669971856852,False
workload_4056.cpp,xcu200-fsgd2104-2-e,3.33,3.54293352,340,0,0,3,16,block_128_1,cyclic_16_1,pipeline_1,unroll_64,1,4.75,0.639598406162,False
workload_3780.cpp,xcu200-fsgd2104-2-e,3.33,31.42975878,871,0,0,2,15,block_16_1,block_16_1,unroll_64,unroll_4,1,4.25,0.223943984871,False
workload_3803.cpp,xcu200-fsgd2104-2-e,3.33,23.60042262,215,0,0,1,7,block_16_1,block_2_1,unroll_16,unroll_16,1,2,0.436983742604,False
workload_3799.cpp,xcu200-fsgd2104-2-e,3.33,23.5458639,259,0,0,1,7,block_16_1,block_32_1,unroll_16,unroll_8,1,2,0.438127682902,False
workload_3773.cpp,xcu200-fsgd2104-2-e,3.33,15.96360042,58.5,0,0,0,1,block_16_1,cyclic_16_1,unroll_2,unroll_16,2,0.25,0.691244620548,False
workload_3830.cpp,xcu200-fsgd2104-2-e,3.33,30.58533738,46,0,0,0,0,block_16_1,cyclic_16_1,unroll_2,unroll_2,1,0,0.32575960552,False
workload_3931.cpp,xcu200-fsgd2104-2-e,3.33,15.96360042,55,0,0,0,1,block_16_1,cyclic_2_1,unroll_2,unroll_16,1,0.25,0.691244620548,False
workload_3826.cpp,xcu200-fsgd2104-2-e,3.33,3.5497467,447.5,0,0,2,15,block_16_1,cyclic_8_1,pipeline_1,unroll_16,2,4.25,0.701176403098,False
workload_3883.cpp,xcu200-fsgd2104-2-e,3.33,3.5497467,523,0,0,3,16,block_16_1,cyclic_8_1,pipeline_1,unroll_8,1,4.75,0.639598613359,False
workload_3821.cpp,xcu200-fsgd2104-2-e,3.33,15.96360042,58,0,0,0,1,block_16_1,cyclic_8_1,unroll_2,unroll_16,1,0.25,0.691244620548,False
workload_3927.cpp,xcu200-fsgd2104-2-e,3.33,14.98154346,97,0,0,0,2,block_16_1,cyclic_8_1,unroll_2,unroll_64,1,0.5,0.715851075472,False
workload_3761.cpp,xcu200-fsgd2104-2-e,3.33,17.92771434,50,0,0,0,0,block_16_1,cyclic_8_1,unroll_2,unroll_8,1,0,0.632818603861,False
workload_3819.cpp,xcu200-fsgd2104-2-e,3.33,17.92647558,738,0,0,2,17,block_16_1,cyclic_8_1,unroll_64,unroll_8,1,4.75,0.421814000264,False
workload_4049.cpp,xcu200-fsgd2104-2-e,3.33,3.5395236,343.5,0,0,3,14,block_2_1,block_16_1,pipeline_1,unroll_64,4,4.25,0.701176420157,False
workload_3873.cpp,xcu200-fsgd2104-2-e,3.33,3.5395236,512,0,0,4,16,block_2_1,block_16_1,pipeline_1,unroll_8,2,5,0.610056456963,False
workload_3941.cpp,xcu200-fsgd2104-2-e,3.33,3.54633678,437,0,0,3,15,block_2_1,block_2_1,pipeline_1,unroll_16,1,4.5,0.669971844068,False
workload_4088.cpp,xcu200-fsgd2104-2-e,3.33,3.54633678,406,0,0,2,15,block_2_1,block_2_1,pipeline_1,unroll_64,1,4.25,0.701176599206,False
workload_4121.cpp,xcu200-fsgd2104-2-e,3.33,3.5395236,345,0,0,3,14,block_2_1,block_32_1,pipeline_1,unroll_64,1,4.25,0.701176420157,False
workload_3902.cpp,xcu200-fsgd2104-2-e,3.33,3.5395236,522,0,0,4,16,block_2_1,block_32_1,pipeline_1,unroll_8,1,5,0.610056456963,False
workload_3757.cpp,xcu200-fsgd2104-2-e,3.33,3.54633678,379,0,0,3,15,block_2_1,block_4_1,pipeline_1,unroll_16,1,4.5,0.669971844068,False
workload_3837.cpp,xcu200-fsgd2104-2-e,3.33,3.54633678,450,0,0,4,19,block_2_1,block_4_1,pipeline_1,unroll_4,1,5.75,0.52642099906,False
