Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,OuterLoop_1,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
Stencil2D_5117.cpp,xcu200-fsgd2104-2-e,3.33,3.38426901,50,0,0,0,0,block_128_1,block_128_1,unroll_8,pipeline_1,1,0,0.999995358095,False
Stencil2D_4355.cpp,xcu200-fsgd2104-2-e,3.33,69.81093918,47,0,0,0,0,block_128_1,block_32_1,unroll_2,unroll_2,1,0,0.571008753609,False
Stencil2D_4414.cpp,xcu200-fsgd2104-2-e,3.33,3.45045609,41,0,0,0,0,block_128_1,block_4_1,unroll_2,pipeline_1,2,0,0.999499392125,False
Stencil2D_5110.cpp,xcu200-fsgd2104-2-e,3.33,1.72018809,515,0,0,1,8,block_128_1,block_64_1,pipeline_1,pipeline_1,1,2.25,0.729148716758,False
Stencil2D_4943.cpp,xcu200-fsgd2104-2-e,3.33,3.38432895,53,0,0,0,0,block_128_1,block_64_1,unroll_16,pipeline_1,1,0,0.999994908879,False
Stencil2D_4826.cpp,xcu200-fsgd2104-2-e,3.33,3.27454218,101,0,0,1,1,block_128_1,block_64_1,unroll_64,pipeline_1,3,0.5,1,True
Stencil2D_4989.cpp,xcu200-fsgd2104-2-e,3.33,1.72227267,496,0,1,2,9,block_128_1,cyclic_16_1,pipeline_1,pipeline_1,1,3,0.649636231457,False
Stencil2D_4967.cpp,xcu200-fsgd2104-2-e,3.33,3.3855777,65,0,0,0,1,block_128_1,cyclic_16_1,unroll_16,pipeline_1,1,0.25,0.96751645858,False
Stencil2D_4353.cpp,xcu200-fsgd2104-2-e,3.33,3.38751576,48.5,0,0,0,0,block_128_1,cyclic_16_1,unroll_8,pipeline_1,2,0,0.999971025725,False
Stencil2D_4437.cpp,xcu200-fsgd2104-2-e,3.33,68.27671494,50,0,0,0,0,block_128_1,cyclic_16_1,unroll_8,unroll_4,1,0,0.579363531247,False
Stencil2D_4950.cpp,xcu200-fsgd2104-2-e,3.33,1.72050444,505,0,0,1,8,block_128_1,cyclic_2_1,pipeline_1,pipeline_1,1,2.25,0.729147746563,False
Stencil2D_4403.cpp,xcu200-fsgd2104-2-e,3.33,71.61802029,130,0,0,0,1,block_128_1,cyclic_32_1,unroll_32,unroll_2,1,0.25,0.559764767445,False
Stencil2D_4796.cpp,xcu200-fsgd2104-2-e,3.33,3.27501171,94,0,0,1,2,block_128_1,cyclic_4_1,unroll_64,pipeline_1,1,0.75,0.904362501477,False
Stencil2D_4955.cpp,xcu200-fsgd2104-2-e,3.33,3.38432895,98,0,0,0,2,block_128_1,cyclic_64_1,unroll_16,pipeline_1,1,0.5,0.935250852254,False
Stencil2D_4510.cpp,xcu200-fsgd2104-2-e,3.33,3.27658014,380,0,0,1,6,block_128_1,cyclic_64_1,unroll_64,pipeline_1,1,1.75,0.756909593025,False
Stencil2D_4627.cpp,xcu200-fsgd2104-2-e,3.33,1.72044783,489,0,0,2,8,block_128_1,cyclic_8_1,pipeline_1,pipeline_1,3,2.5,0.675549413996,False
Stencil2D_4836.cpp,xcu200-fsgd2104-2-e,3.33,3.38399262,51,0,0,0,0,block_128_1,cyclic_8_1,unroll_16,pipeline_1,4,0,0.999997429481,False
Stencil2D_4694.cpp,xcu200-fsgd2104-2-e,3.33,3.38370624,73,0,0,0,1,block_128_1,cyclic_8_1,unroll_32,pipeline_1,1,0.25,0.967523344436,False
Stencil2D_4726.cpp,xcu200-fsgd2104-2-e,3.33,3.27433239,113,0,0,1,2,block_128_1,cyclic_8_1,unroll_64,pipeline_1,3,0.75,0.904364897999,False
Stencil2D_4501.cpp,xcu200-fsgd2104-2-e,3.33,1.72239921,430,0,1,3,9,block_16_1,block_2_1,pipeline_1,pipeline_1,1,3.25,0.624325533453,False
Stencil2D_4378.cpp,xcu200-fsgd2104-2-e,3.33,1.78398756,485.5,0,1,3,9,block_16_1,block_2_1,pipeline_1,unroll_2,2,3.25,0.624151921691,False
Stencil2D_4400.cpp,xcu200-fsgd2104-2-e,3.33,1.76202954,496,0,4,6,12,block_16_1,cyclic_64_1,pipeline_1,unroll_2,1,5.5,0.285314394208,False
Stencil2D_4415.cpp,xcu200-fsgd2104-2-e,3.33,3.44723598,45,0,0,0,0,block_2_1,block_32_1,unroll_2,pipeline_1,1,0,0.999523518519,False
Stencil2D_4442.cpp,xcu200-fsgd2104-2-e,3.33,242.23253832,130,0,0,1,3,block_2_1,block_32_1,unroll_2,unroll_16,1,1,0.1,False
Stencil2D_4529.cpp,xcu200-fsgd2104-2-e,3.33,1.94485986,471,0,1,3,10,block_2_1,cyclic_16_1,pipeline_1,pipeline_1,1,3.5,0.598998469895,False
Stencil2D_4445.cpp,xcu200-fsgd2104-2-e,3.33,1.75671486,433,0,1,3,9,block_2_1,cyclic_16_1,pipeline_1,unroll_16,1,3.25,0.624228809086,False
Stencil2D_4436.cpp,xcu200-fsgd2104-2-e,3.33,3.61061577,55,0,0,0,1,block_2_1,cyclic_16_1,unroll_8,pipeline_1,1,0.25,0.96667791916,False
Stencil2D_4477.cpp,xcu200-fsgd2104-2-e,3.33,1.72240254,445,0,0,2,8,block_2_1,cyclic_2_1,pipeline_1,pipeline_1,1,2.5,0.675549523395,False
Stencil2D_4409.cpp,xcu200-fsgd2104-2-e,3.33,71.17666209,77,0,0,2,4,block_2_1,cyclic_2_1,unroll_2,unroll_32,1,1.5,0.516367665977,False
Stencil2D_4422.cpp,xcu200-fsgd2104-2-e,3.33,56.84502141,53,0,0,0,1,block_2_1,cyclic_2_1,unroll_8,unroll_2,1,0.25,0.641858903729,False
Stencil2D_4358.cpp,xcu200-fsgd2104-2-e,3.33,3.6098865,125,0,0,1,3,block_2_1,cyclic_32_1,unroll_32,pipeline_1,1,1,0.872512995676,False
Stencil2D_4492.cpp,xcu200-fsgd2104-2-e,3.33,1.94485986,461,0,0,3,9,block_2_1,cyclic_4_1,pipeline_1,unroll_64,1,3,0.648994227212,False
Stencil2D_4374.cpp,xcu200-fsgd2104-2-e,3.33,3.6106191,55,0,0,0,1,block_2_1,cyclic_4_1,unroll_8,pipeline_1,1,0.25,0.966677906598,False
Stencil2D_4365.cpp,xcu200-fsgd2104-2-e,3.33,1.94407731,557,0,3,6,13,block_2_1,cyclic_64_1,pipeline_1,unroll_64,3,5.5,0.285316260895,False
Stencil2D_4362.cpp,xcu200-fsgd2104-2-e,3.33,15.41392398,53,0,0,0,1,block_2_1,cyclic_64_1,unroll_2,unroll_8,1,0.25,0.902007294103,False
Stencil2D_4429.cpp,xcu200-fsgd2104-2-e,3.33,3.6096867,175,0,0,1,4,block_2_1,cyclic_64_1,unroll_32,pipeline_1,1,1.25,0.81407875152,False
Stencil2D_4360.cpp,xcu200-fsgd2104-2-e,3.33,1.76274882,473,0,2,4,10,block_32_1,block_4_1,pipeline_1,unroll_4,1,4,0.506727272402,False
Stencil2D_4539.cpp,xcu200-fsgd2104-2-e,3.33,1.72238589,481,0,2,4,10,block_32_1,cyclic_2_1,pipeline_1,pipeline_1,1,4,0.50672622044,False
Stencil2D_4484.cpp,xcu200-fsgd2104-2-e,3.33,15.56580861,355,0,7,4,9,block_4_1,block_64_1,unroll_32,unroll_16,1,5,0.345225496334,False
Stencil2D_4392.cpp,xcu200-fsgd2104-2-e,3.33,29.88886455,145,0,3,2,4,block_4_1,block_64_1,unroll_64,unroll_4,1,2.25,0.63146272218,False
Stencil2D_4579.cpp,xcu200-fsgd2104-2-e,3.33,1.740642615,477.5,0,1,3,9,block_4_1,cyclic_16_1,pipeline_1,pipeline_1,2,3.25,0.624274113957,False
Stencil2D_4394.cpp,xcu200-fsgd2104-2-e,3.33,3.427680555,59,0,0,0,1,block_4_1,cyclic_16_1,unroll_16,pipeline_1,2,0.25,0.967361163062,False
Stencil2D_4402.cpp,xcu200-fsgd2104-2-e,3.33,15.18125355,51,0,0,0,0,block_4_1,cyclic_16_1,unroll_2,unroll_16,1,0,0.913754999328,False
Stencil2D_4524.cpp,xcu200-fsgd2104-2-e,3.33,3.49680303,96,0,1.5,0.5,2.5,block_4_1,cyclic_16_1,unroll_32,pipeline_1,2,1.125,0.843573532649,False
Stencil2D_4571.cpp,xcu200-fsgd2104-2-e,3.33,3.2758542,147,0,0,1,3,block_4_1,cyclic_16_1,unroll_64,pipeline_1,1,1,0.873675052877,False
Stencil2D_4357.cpp,xcu200-fsgd2104-2-e,3.33,3.385669275,110,0,0,0,2,block_4_1,cyclic_32_1,unroll_32,pipeline_1,2,0.5,0.93524601343,False
Stencil2D_4451.cpp,xcu200-fsgd2104-2-e,3.33,3.2758542,199,0,0,1,5,block_4_1,cyclic_32_1,unroll_64,pipeline_1,1,1.5,0.814096195457,False
Stencil2D_4521.cpp,xcu200-fsgd2104-2-e,3.33,3.27606399,110.5,0,0,1,2,block_4_1,cyclic_4_1,unroll_64,pipeline_1,2,0.75,0.904358789101,False
Stencil2D_4404.cpp,xcu200-fsgd2104-2-e,3.33,29.37157569,90,0,7,2,3,block_4_1,cyclic_4_1,unroll_8,unroll_4,1,3,0.563126880501,False
Stencil2D_4371.cpp,xcu200-fsgd2104-2-e,3.33,30.06927396,280,0,12.5,4,6,block_4_1,cyclic_8_1,unroll_32,unroll_4,2,5.625,0.259480926679,False
Stencil2D_4875.cpp,xcu200-fsgd2104-2-e,3.33,1.72034793,502,0,0,1,8,block_64_1,block_128_1,pipeline_1,unroll_2,1,2.25,0.729148226555,False
Stencil2D_4761.cpp,xcu200-fsgd2104-2-e,3.33,3.383994285,64,0,0,0,0.5,block_64_1,block_128_1,unroll_32,pipeline_1,2,0.125,0.967525255501,False
Stencil2D_4815.cpp,xcu200-fsgd2104-2-e,3.33,3.27454218,94,0,0,1,1,block_64_1,block_128_1,unroll_64,pipeline_1,5,0.5,1,True
Stencil2D_4356.cpp,xcu200-fsgd2104-2-e,3.33,72.34787304,64,0,0,0,0,block_64_1,block_16_1,unroll_2,unroll_8,1,0,0.557354756651,False
Stencil2D_4798.cpp,xcu200-fsgd2104-2-e,3.33,3.49593723,574,0,7,3,6,block_64_1,block_16_1,unroll_64,pipeline_1,1,4,0.506524047709,False
Stencil2D_4650.cpp,xcu200-fsgd2104-2-e,3.33,3.27908097,272,0,0,1,4,block_64_1,block_32_1,unroll_64,pipeline_1,1,1.25,0.814101745197,False
Stencil2D_4359.cpp,xcu200-fsgd2104-2-e,3.33,3.45045609,40,0,0,0,0,block_64_1,block_4_1,unroll_2,pipeline_1,1,0,0.999499392125,False
Stencil2D_4784.cpp,xcu200-fsgd2104-2-e,3.33,1.720502775,474.5,0,0,1,8,block_64_1,block_64_1,pipeline_1,pipeline_1,2,2.25,0.729147751669,False
Stencil2D_4396.cpp,xcu200-fsgd2104-2-e,3.33,1.72218276,488,0,0,1,8,block_64_1,block_64_1,pipeline_1,unroll_16,1,2.25,0.729142599365,False
Stencil2D_5115.cpp,xcu200-fsgd2104-2-e,3.33,3.38380947,54,0,0,0,0,block_64_1,block_64_1,unroll_16,pipeline_1,1,0,0.999998802088,False
Stencil2D_4712.cpp,xcu200-fsgd2104-2-e,3.33,3.38576418,63.5,0,0,0,0.5,block_64_1,block_64_1,unroll_32,pipeline_1,2,0.125,0.967525251839,False
Stencil2D_4536.cpp,xcu200-fsgd2104-2-e,3.33,3.27470202,97,0,0,1,1,block_64_1,block_64_1,unroll_64,pipeline_1,10,0.5,0.935645417873,False
Stencil2D_4361.cpp,xcu200-fsgd2104-2-e,3.33,1.72217277,489,0,7,7,13,block_64_1,cyclic_128_1,pipeline_1,pipeline_1,3,6.75,0.166437209812,False
Stencil2D_4468.cpp,xcu200-fsgd2104-2-e,3.33,1.72238589,489,0,7,7,13,block_64_1,cyclic_128_1,pipeline_1,unroll_4,1,6.75,0.166437211331,False
Stencil2D_4410.cpp,xcu200-fsgd2104-2-e,3.33,69.8119182,61,0,0,0,0,block_64_1,cyclic_128_1,unroll_2,unroll_2,1,0,0.571003445703,False
