model,target,target_group,kernel,count,kendall_tau_b,spearman_rho,mae,rmse,top1_best_actual,top1_regret,top1_oracle_recall,top5_best_actual,top5_regret,top5_oracle_recall,top10_best_actual,top10_regret,top10_oracle_recall
HARP-Rep,area,machsuite-sort-radix::xcu200-fsgd2104-2-e::10,machsuite-sort-radix,590,0.5486965898303765,0.685329050042109,0.7091506749587209,0.7344571925665899,0.0625,0.0,1.0,0.0625,0.0,1.0,0.0625,0.0,1.0
HARP-Rep,area,machsuite-sort-radix::xcu200-fsgd2104-2-e::3.33,machsuite-sort-radix,648,0.5287543100508497,0.6455891755224343,0.6776456575757072,0.699308369057191,0.0625,0.0,1.0,0.0625,0.0,1.0,0.0625,0.0,1.0
HARP-Rep,area,machsuite-sort-radix::xcu200-fsgd2104-2-e::5,machsuite-sort-radix,623,0.550587695690334,0.7016170607408376,0.7142645643870535,0.7501477690797661,0.0625,0.0,1.0,0.0625,0.0,1.0,0.0625,0.0,1.0
HARP-Rep,area,machsuite-sort-radix::xczu7ev-ffvc1156-2-e::10,machsuite-sort-radix,683,0.4964110751372265,0.6596910207932791,0.8711500838521858,1.759550803367854,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0
HARP-Rep,area,machsuite-sort-radix::xczu7ev-ffvc1156-2-e::3.33,machsuite-sort-radix,731,0.4681927361816585,0.6282056197830183,0.9336136974661831,1.6635772905502493,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0
HARP-Rep,area,machsuite-sort-radix::xczu7ev-ffvc1156-2-e::5,machsuite-sort-radix,760,0.29891452471861435,0.39666165167123213,0.6204340561008346,1.3307436711827758,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0
HARP-Rep,area,machsuite-viterbi::xcu200-fsgd2104-2-e::10,machsuite-viterbi,615,0.05440764283331016,0.08081233893211516,0.9659694606480959,1.14832670807177,1.5,23.0,0.0,0.75,11.0,0.0,0.75,11.0,0.0
HARP-Rep,area,machsuite-viterbi::xcu200-fsgd2104-2-e::3.33,machsuite-viterbi,478,0.11487714817006651,0.16546517475199166,0.8096156868191039,1.0270575018428083,1.0,15.0,0.0,1.0,15.0,0.0,1.0,15.0,0.0
HARP-Rep,area,machsuite-viterbi::xcu200-fsgd2104-2-e::5,machsuite-viterbi,571,-0.01652821681466394,-0.020460604148906724,1.0915170237545113,1.3365115237639555,1.25,19.0,0.0,1.25,19.0,0.0,1.0,15.0,0.0
HARP-Rep,area,machsuite-viterbi::xczu7ev-ffvc1156-2-e::10,machsuite-viterbi,519,0.11583066342877732,0.1528674190520138,6.648787276183673,8.571242865409827,6.5,2.25,0.0,6.5,2.25,0.0,4.75,1.375,0.0
HARP-Rep,area,machsuite-viterbi::xczu7ev-ffvc1156-2-e::3.33,machsuite-viterbi,615,-0.04933482565349284,-0.07331691667571505,8.06659337440595,10.228143028514033,7.625,2.8125,0.0,7.5,2.75,0.0,7.5,2.75,0.0
HARP-Rep,area,machsuite-viterbi::xczu7ev-ffvc1156-2-e::5,machsuite-viterbi,531,0.02897315469960235,0.03355662511647636,6.152802601089103,7.771494158518622,7.0,3.0,0.0,5.25,2.0,0.0,5.25,2.0,0.0
HARP-Rep,area,rodinia_pathfinder_0_baseline_0::xcu200-fsgd2104-2-e::10,rodinia_pathfinder_0_baseline_0,227,0.05775873562090367,0.13357637961294416,3.4132278696594107,4.06509147893576,0.25,3.0,0.0,0.25,3.0,0.0,0.25,3.0,0.0
HARP-Rep,area,rodinia_pathfinder_0_baseline_0::xcu200-fsgd2104-2-e::3.33,rodinia_pathfinder_0_baseline_0,234,0.1499359376488601,0.2588927104431895,3.539049290477189,4.278854608389932,0.25,3.0,0.0,0.25,3.0,0.0,0.25,3.0,0.0
HARP-Rep,area,rodinia_pathfinder_0_baseline_0::xcu200-fsgd2104-2-e::5,rodinia_pathfinder_0_baseline_0,265,0.24706863707011703,0.36442332651011444,3.59445537091005,4.128402769182353,0.25,3.0,0.0,0.25,3.0,0.0,0.25,3.0,0.0
HARP-Rep,area,rodinia_pathfinder_0_baseline_0::xczu7ev-ffvc1156-2-e::10,rodinia_pathfinder_0_baseline_0,388,0.22214787411799916,0.3397598729593394,7.431859602479408,10.134943778433026,1.75,1.3333333333333335,0.0,1.75,1.3333333333333335,0.0,1.75,1.3333333333333335,0.0
HARP-Rep,area,rodinia_pathfinder_0_baseline_0::xczu7ev-ffvc1156-2-e::3.33,rodinia_pathfinder_0_baseline_0,261,0.34593656567466297,0.5010870589057431,8.378424321285305,11.153774007767359,1.75,2.5,0.0,1.75,2.5,0.0,1.75,2.5,0.0
HARP-Rep,area,rodinia_pathfinder_0_baseline_0::xczu7ev-ffvc1156-2-e::5,rodinia_pathfinder_0_baseline_0,360,0.19058360570868005,0.29568446753219674,7.043149437798129,10.03946252202546,1.75,2.5,0.0,1.75,2.5,0.0,1.75,2.5,0.0
HARP-Rep,area,rodinia_pathfinder_4_doublebuffer_0::xcu200-fsgd2104-2-e::10,rodinia_pathfinder_4_doublebuffer_0,622,0.4130704699527192,0.5513290372728703,5.283681615776529,5.409731228470473,0.5,7.0,0.0,0.0625,0.0,1.0,0.0625,0.0,1.0
HARP-Rep,area,rodinia_pathfinder_4_doublebuffer_0::xcu200-fsgd2104-2-e::3.33,rodinia_pathfinder_4_doublebuffer_0,731,0.37274597297202344,0.5139445360282854,5.750720627107621,6.031786905199492,0.5,7.0,0.0,0.0625,0.0,1.0,0.0625,0.0,1.0
HARP-Rep,area,rodinia_pathfinder_4_doublebuffer_0::xcu200-fsgd2104-2-e::5,rodinia_pathfinder_4_doublebuffer_0,748,0.49433830457254246,0.6668461498910954,5.988257133465011,6.206498380709505,0.25,3.0,0.0,0.0625,0.0,1.0,0.0625,0.0,1.0
HARP-Rep,area,rodinia_pathfinder_4_doublebuffer_0::xczu7ev-ffvc1156-2-e::10,rodinia_pathfinder_4_doublebuffer_0,751,0.4507105522024456,0.6322668286179486,4.177232869461424,6.680254451595679,3.5,0.16666666666666674,0.0,3.25,0.08333333333333326,0.0,3.25,0.08333333333333326,0.0
HARP-Rep,area,rodinia_pathfinder_4_doublebuffer_0::xczu7ev-ffvc1156-2-e::3.33,rodinia_pathfinder_4_doublebuffer_0,546,0.22369536213334024,0.31525639938001254,4.196715790004336,5.86449516623113,4.25,0.5454545454545454,0.0,2.75,0.0,1.0,2.75,0.0,1.0
HARP-Rep,area,rodinia_pathfinder_4_doublebuffer_0::xczu7ev-ffvc1156-2-e::5,rodinia_pathfinder_4_doublebuffer_0,514,0.5152980595806915,0.700522317825471,2.7040318082337627,4.809952972406699,4.0,0.4545454545454546,0.0,2.75,0.0,1.0,2.75,0.0,1.0
HARP-Rep,perf,machsuite-sort-radix::xcu200-fsgd2104-2-e::10,machsuite-sort-radix,590,0.23348754345979794,0.34605229899162054,0.4644918408717746,0.5409647344779391,2.235990047454834,0.048338199387457426,0.0,2.143549919128418,0.004997882291158717,0.0,2.143549919128418,0.004997882291158717,0.0
HARP-Rep,perf,machsuite-sort-radix::xcu200-fsgd2104-2-e::3.33,machsuite-sort-radix,648,0.32175908976863804,0.47708874682364566,1.2926889411375186,1.3262264341609642,0.7720771431922913,0.08672011965469073,0.0,0.7145414352416992,0.005737005493373859,0.0,0.7145414352416992,0.005737005493373859,0.0
HARP-Rep,perf,machsuite-sort-radix::xcu200-fsgd2104-2-e::5,machsuite-sort-radix,623,0.13986902596713374,0.2209687369980438,1.3853841266295621,1.41828554783829,1.0729550123214722,0.006123306066597722,0.0,1.0675350427627563,0.0010409329674714307,0.0,1.0675350427627563,0.0010409329674714307,0.0
HARP-Rep,perf,machsuite-sort-radix::xczu7ev-ffvc1156-2-e::10,machsuite-sort-radix,683,0.2774836252373946,0.4106311327804564,0.6391605958927746,0.7392230017837741,2.144629955291748,0.005523137563338221,0.0,2.1337900161743164,0.00044076446421192905,0.0,2.1335299015045166,0.00031880807809581135,0.0
