kernel,representation,path,nodes,edges,nonpragma_relation_types,actions,action_ids,control_edges,data_edges,call_edges,loop_hierarchy_edges,array_scope_edges,region_edges,memory_view_edges,memory_access_edges,loop_carried_edges,memory_dependence_edges,memory_uncertainty_edges,pragma_edges,compiler_dependence_queries,compiler_proven_dependences,compiler_unresolved_queries,compiler_view_edges,graph_bytes
machsuite-gemm-blocked,HARP,GNN_branch/HARP_graphs/machsuite-gemm-blocked_processed_result.gexf,270,926,6,5,L1;L2;L3;L4;L5,122,236,2,8,0,0,0,0,0,0,0,20,0,0,0,0,230346
machsuite-gemm-blocked,MLIR,GNN_branch/MLIR_graphs/machsuite-gemm-blocked.gexf,73,265,10,5,L1;L2;L3;L4;L5,11,47,0,8,0,12,6,8,0,3,6,20,3,3,4,0,100696
machsuite-gemm-ncubed,HARP,GNN_branch/HARP_graphs/machsuite-gemm-ncubed_processed_result.gexf,194,666,6,3,L1;L2;L3,87,175,2,4,0,0,0,0,0,0,0,12,0,0,0,0,165836
machsuite-gemm-ncubed,MLIR,GNN_branch/MLIR_graphs/machsuite-gemm-ncubed.gexf,62,217,10,3,L1;L2;L3,9,41,0,4,0,8,6,6,3,0,6,12,0,0,4,0,83127
machsuite-md-knn,HARP,GNN_branch/HARP_graphs/machsuite-md-knn_processed_result.gexf,414,1462,6,2,L1;L2,184,440,2,2,0,0,0,0,0,0,0,8,0,0,0,0,366337
machsuite-md-knn,MLIR,GNN_branch/MLIR_graphs/machsuite-md-knn.gexf,167,636,10,2,L1;L2,38,150,0,2,0,6,42,20,9,0,29,8,0,0,48,0,237801
machsuite-sort-radix,HARP,GNN_branch/HARP_graphs/machsuite-sort-radix_processed_result.gexf,840,2913,6,11,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11,376,777,30,8,0,0,0,0,0,0,0,44,0,0,0,0,728361
machsuite-sort-radix,MLIR,GNN_branch/MLIR_graphs/machsuite-sort-radix.gexf,328,1221,12,11,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11,71,251,28,8,0,44,32,76,3,5,17,44,5,5,27,0,444248
machsuite-spmv-ellpack,HARP,GNN_branch/HARP_graphs/machsuite-spmv-ellpack_processed_result.gexf,173,594,6,2,L1;L2,76,162,2,2,0,0,0,0,0,0,0,8,0,0,0,0,148306
machsuite-spmv-ellpack,MLIR,GNN_branch/MLIR_graphs/machsuite-spmv-ellpack.gexf,68,240,11,2,L1;L2,10,50,0,2,0,6,6,10,3,1,10,8,1,1,6,0,91811
machsuite-stencil2d,HARP,GNN_branch/HARP_graphs/machsuite-stencil2d_processed_result.gexf,225,768,6,4,L1;L2;L3;L4,100,196,2,6,0,0,0,0,0,0,0,16,0,0,0,0,191040
machsuite-stencil2d,MLIR,GNN_branch/MLIR_graphs/machsuite-stencil2d.gexf,71,253,10,4,L1;L2;L3;L4,10,47,0,6,0,10,6,6,6,0,6,16,0,0,4,0,96363
machsuite-stencil3d,HARP,GNN_branch/HARP_graphs/machsuite-stencil3d_processed_result.gexf,815,2882,6,9,L1;L2;L3;L4;L5;L6;L7;L8;L9,362,844,2,10,0,0,0,0,0,0,0,36,0,0,0,0,716725
machsuite-stencil3d,MLIR,GNN_branch/MLIR_graphs/machsuite-stencil3d.gexf,149,611,10,9,L1;L2;L3;L4;L5;L6;L7;L8;L9,39,140,0,10,0,20,6,44,0,8,12,36,8,8,210,0,227350
machsuite-viterbi,HARP,GNN_branch/HARP_graphs/machsuite-viterbi_processed_result.gexf,695,2465,7,8,L1;L2;L3;L4;L5;L6;L7;L8,309,714,2,6,16,0,0,0,0,0,0,30,0,0,0,0,617116
machsuite-viterbi,MLIR,GNN_branch/MLIR_graphs/machsuite-viterbi.gexf,275,1067,12,8,L1;L2;L3;L4;L5;L6;L7;L8,77,249,0,6,18,28,12,46,15,14,24,30,14,14,64,0,409180
