kernel,expected_actions,harp_contract_match,mlir_contract_match,harp_actions,mlir_actions,harp_missing_actions,mlir_missing_actions,harp_extra_actions,mlir_extra_actions,harp_nodes,mlir_nodes,node_ratio_mlir_over_harp,harp_edges,mlir_edges,edge_ratio_mlir_over_harp,harp_relation_types,mlir_relation_types
machsuite-gemm-blocked,L1;L2;L3;L4;L5,True,True,L1;L2;L3;L4;L5,L1;L2;L3;L4;L5,,,,,270,73,0.270370,926,265,0.286177,6,10
machsuite-gemm-ncubed,L1;L2;L3,True,True,L1;L2;L3,L1;L2;L3,,,,,194,62,0.319588,666,217,0.325826,6,10
machsuite-md-knn,L1;L2,True,True,L1;L2,L1;L2,,,,,414,167,0.403382,1462,636,0.435021,6,10
machsuite-sort-radix,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11,True,True,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11,,,,,840,328,0.390476,2913,1221,0.419156,6,12
machsuite-spmv-ellpack,L1;L2,True,True,L1;L2,L1;L2,,,,,173,68,0.393064,594,240,0.404040,6,11
machsuite-stencil2d,L1;L2;L3;L4,True,True,L1;L2;L3;L4,L1;L2;L3;L4,,,,,225,71,0.315556,768,253,0.329427,6,10
machsuite-stencil3d,L1;L2;L3;L4;L5;L6;L7;L8;L9,True,True,L1;L2;L3;L4;L5;L6;L7;L8;L9,L1;L2;L3;L4;L5;L6;L7;L8;L9,,,,,815,149,0.182822,2882,611,0.212006,6,10
machsuite-viterbi,L1;L2;L3;L4;L5;L6;L7;L8,True,True,L1;L2;L3;L4;L5;L6;L7;L8,L1;L2;L3;L4;L5;L6;L7;L8,,,,,695,275,0.395683,2465,1067,0.432860,7,12
rodinia-backprop-0-baseline-back,L1;L2,True,True,L1;L2,L1;L2,,,,,197,97,0.492386,683,351,0.513909,6,10
rodinia-backprop-0-baseline-forward,L1;L2;L3;L4;L5;L6,True,True,L1;L2;L3;L4;L5;L6,L1;L2;L3;L4;L5;L6,,,,,300,209,0.696667,1076,778,0.723048,7,11
rodinia-backprop-1-tiling-back,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10,True,True,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10,,,,,506,409,0.808300,1895,1608,0.848549,7,10
rodinia-hotspot-0-baseline,L1;L2;L3,True,True,L1;L2;L3,L1;L2;L3,,,,,1896,641,0.338080,6773,2578,0.380629,6,11
rodinia-hotspot-1-tiling,L1;L2;L3;L4;L5;L6;L7;L8,True,True,L1;L2;L3;L4;L5;L6;L7;L8,L1;L2;L3;L4;L5;L6;L7;L8,,,,,887,549,0.618940,3209,2212,0.689311,7,12
rodinia-hotspot-2-pipeline,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19,True,True,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19,,,,,1344,672,0.500000,4914,2776,0.564917,7,12
rodinia-hotspot-3-unroll,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19,True,True,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19,,,,,1344,672,0.500000,4914,2776,0.564917,7,12
rodinia-kmeans-0-baseline,L1;L2;L3,True,True,L1;L2;L3,L1;L2;L3,,,,,213,79,0.370892,728,286,0.392857,6,10
rodinia-kmeans-1-tiling,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12,True,True,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12,,,,,601,262,0.435940,2122,974,0.459001,7,12
rodinia-kmeans-2-pipeline,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12,True,True,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12,,,,,601,262,0.435940,2122,974,0.459001,7,12
rodinia-kmeans-3-unroll,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12,True,True,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12,,,,,601,262,0.435940,2122,974,0.459001,7,12
rodinia-knn-0-baseline,L1;L2,True,True,L1;L2,L1;L2,,,,,143,57,0.398601,490,199,0.406122,6,10
rodinia-knn-1-tiling,L1;L2;L3;L4;L5;L6;L7;L8;L9,True,True,L1;L2;L3;L4;L5;L6;L7;L8;L9,L1;L2;L3;L4;L5;L6;L7;L8;L9,,,,,450,210,0.466667,1585,787,0.496530,7,12
rodinia-knn-2-pipeline,L1;L2;L3;L4;L5;L6;L7;L8;L9,True,True,L1;L2;L3;L4;L5;L6;L7;L8;L9,L1;L2;L3;L4;L5;L6;L7;L8;L9,,,,,450,210,0.466667,1585,787,0.496530,7,12
rodinia-knn-3-unroll,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10,True,True,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10,,,,,487,217,0.445585,1714,813,0.474329,7,12
rodinia-knn-4-doublebuffer,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12,True,True,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12,,,,,667,371,0.556222,2383,1440,0.604280,7,12
rodinia-knn-5-coalescing,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13,True,True,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13,,,,,756,408,0.539683,2700,1601,0.592963,7,13
rodinia_cfd_flux_0_baseline_0,L2;L3,False,True,L1;L2;L3,L2;L3,,,L1,,2516,1056,0.419714,9343,4318,0.462164,7,12
rodinia_cfd_step_factor_0_baseline_0,L1,True,True,L1,L1,,,,,431,306,0.709977,1548,1200,0.775194,5,10
rodinia_cfd_step_factor_1_tiling_0,L1;L2;L3;L4,False,True,L1;L2;L3;L4;L5,L1;L2;L3;L4,,,L5,,566,409,0.722615,2064,1617,0.783430,6,11
rodinia_cfd_step_factor_2_pipeline_0,L1;L2;L3;L4;L6;L7;L8,False,True,L1;L2;L3;L4;L5;L6;L7;L8;L9,L1;L2;L3;L4;L6;L7;L8,,,L5;L9,,677,416,0.614476,2506,1675,0.668396,7,11
rodinia_cfd_step_factor_3_unroll_0,L1;L2;L3;L4;L5;L6;L7;L8,False,True,L1;L2;L3;L4;L5;L6;L7;L8;L9,L1;L2;L3;L4;L5;L6;L7;L8,,,L9,,2432,645,0.265214,9035,3342,0.369895,7,12
rodinia_cfd_step_factor_4_doublebuffer_0,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18,True,True,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18,,,,,2936,1074,0.365804,10973,6071,0.553267,7,12
rodinia_cfd_step_factor_5_coalescing_0,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18,True,True,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18,,,,,2932,985,0.335948,10961,5826,0.531521,7,12
rodinia_dilate_0_baseline_0,L1;L2;L3;L4;L5,True,True,L1;L2;L3;L4;L5,L1;L2;L3;L4;L5,,,,,307,122,0.397394,1074,595,0.554004,7,12
rodinia_dilate_1_tiling_0,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12,True,True,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12,,,,,645,292,0.452713,2283,1218,0.533509,7,13
rodinia_dilate_2_pipeline_0,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19;L20,True,True,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19;L20,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19;L20,,,,,1018,416,0.408644,3628,1728,0.476295,7,13
rodinia_dilate_3_pipeline_0,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19;L20;L21;L22;L23;L24;L25;L26;L27;L28;L29;L30;L31;L32;L33;L34;L35,True,True,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19;L20;L21;L22;L23;L24;L25;L26;L27;L28;L29;L30;L31;L32;L33;L34;L35,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;L16;L17;L18;L19;L20;L21;L22;L23;L24;L25;L26;L27;L28;L29;L30;L31;L32;L33;L34;L35,,,,,1575,570,0.361905,5557,2418,0.435127,7,13
rodinia_lavaMD_0_baseline,L2;L3;L4;L5;L6,False,True,L1;L2;L3;L4;L5;L6,L2;L3;L4;L5;L6,,,L1,,954,406,0.425577,3453,2058,0.596003,7,12
rodinia_lavaMD_1_tiling_0,L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15,False,True,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15,L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15,,,L1,,1459,532,0.364633,5370,2714,0.505400,7,12
rodinia_lavaMD_1_tiling_1,L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15,False,True,L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15,L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15,,,L1,,1527,535,0.350360,5615,2724,0.485129,7,12
